series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-06T00:00:00.000000,42.813,,,,,,,,,,0.0,0.0,0.0,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-07T00:00:00.000000,43.467,0.015160234720331012,0.015160234720331012,,,,,,,,0.05217094017093871,0.010434188034187742,0.04173675213675097,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-08T00:00:00.000000,44.876,0.03190110117602307,0.03190110117602307,,,,,,,,0.204849928166162,0.04931733606058259,0.1555325921055794,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-09T00:00:00.000000,46.228,0.02968254443047691,0.02968254443047691,,,,,,,,0.4299875976420111,0.1254513883768683,0.3045362092651428,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-12T00:00:00.000000,47.607,0.029394134135619865,0.029394134135619865,,,,,,,,0.7114830640673446,0.24265772351496356,0.46882534055238106,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-13T00:00:00.000000,48.551,0.01963498259874541,0.01963498259874541,,,,,,,,0.9992247193684705,0.393971122685665,0.6052535966828054,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-14T00:00:00.000000,50.898,0.04720883820609245,0.04720883820609245,,,,,,,,1.4005012331301145,0.5952771447745548,0.8052240883555597,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-15T00:00:00.000000,51.521,0.012165861491963526,0.012165861491963526,,,,,,,,1.7486295418250748,0.8259476241846588,0.922681917640416,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-16T00:00:00.000000,52.208,0.013246248305348818,0.013246248305348818,,,,,,,,2.0562556578473377,1.0720092309171947,0.984246426930143,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-19T00:00:00.000000,51.703,-0.009719932940783771,-0.009719932940783771,,,,,,,,2.2335552569206527,1.3043184361178863,0.9292368208027664,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-20T00:00:00.000000,52.325,0.011958461421882394,0.011958461421882394,,,,,,,,2.3966298116712963,1.5227807112285685,0.8738491004427278,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-21T00:00:00.000000,51.718,-0.011668384936348808,-0.011668384936348808,,,,,,,,2.448661103152041,1.707956789613263,0.7407043135387781,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-22T00:00:00.000000,51.67,-0.000928541096621327,-0.000928541096621327,,,,,,,,2.457692330344628,1.857903897759536,0.599788432585092,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-23T00:00:00.000000,50.815,-0.016685755709363814,-0.016685755709363814,,,,,,,75.47651955469674,2.3685550601354635,1.9600341302347215,0.40852092990074196,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-26T00:00:00.000000,50.78,-0.0006890103131973468,-0.0006890103131973468,,,,,,,75.09056796677129,2.268934064272038,2.021814117042185,0.2471199472298533,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-27T00:00:00.000000,50.505,-0.005430234995384975,-0.005430234995384975,,,,,,,71.97627361559938,2.1430893060967477,2.0460691548530976,0.09702015124365015,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-28T00:00:00.000000,51.879,0.026841742730747242,0.026841742730747242,,,,,,,77.08904316661084,2.129677153040923,2.0627907544906625,0.06688639855026057,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-29T00:00:00.000000,51.542,-0.006517074728765948,-0.006517074728765948,,,,,,,73.5449039674367,2.068016039928345,2.0638358115781994,0.004180228350145754,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-01-30T00:00:00.000000,53.893,0.044603590068097,0.044603590068097,,,,,,,80.33666858728985,2.1836830762084745,2.0878052645042544,0.09587781170422005,,,
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-02T00:00:00.000000,53.371,-0.009733072062678705,-0.009733072062678705,,,,,,,75.69027571567733,2.207779095217596,2.111800030646923,0.09597906457067307,49.91850000000001,56.38307773277993,43.453922267220086
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-03T00:00:00.000000,52.189,-0.02239578257556074,-0.02239578257556074,-1.0913621750659763,-1.0913621750659763,0.020520944455681582,,0.32575989418741913,,66.33462413511063,2.1072072685698444,2.1108814782315073,-0.003674209661662875,50.3873,55.98387237582913,44.79072762417088
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-04T00:00:00.000000,53.177,0.01875422732562848,0.01875422732562848,0.9110603776008603,0.9110603776008603,0.02058505428039237,,0.3267776061041033,,69.7053542576405,2.0832127346598384,2.105347729517174,-0.0221349948573355,50.872800000000005,55.550977224877954,46.194622775122056
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-05T00:00:00.000000,52.848,-0.006206103390181017,-0.006206103390181017,-0.3069371474496084,-0.3069371474496084,0.02021946004824948,,0.32097397759004503,,67.2892813185664,2.0144282680960472,2.0871638372329486,-0.07273556913690138,51.27140000000001,55.074931345307235,47.46786865469278
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-06T00:00:00.000000,52.507,-0.006473374605621363,-0.006473374605621363,-0.3268143386061452,-0.3268143386061452,0.019807498756725727,,0.31443429482710405,,64.7828982930788,1.9103785775620779,2.0518067852987745,-0.14142820773669662,51.585350000000005,54.588403623090365,48.582296376909646
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-09T00:00:00.000000,54.302,0.03361456463130397,0.03361456463130397,1.6735119485877405,1.6735119485877405,0.02008624118858007,,0.3188591937542718,,70.92265377684556,1.9502783519008489,2.0315010986191893,-0.0812227467183404,51.920100000000005,54.52167198631876,49.31852801368125
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-10T00:00:00.000000,52.518,-0.033405090695760364,-0.033405090695760364,-1.538855869944858,-1.538855869944858,0.021707744921528858,,0.3445997675183441,,59.76961952736531,1.8170000742243815,1.988600893740228,-0.1716008195158465,52.118449999999996,54.18923093329231,50.047669066707684
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-11T00:00:00.000000,51.216,-0.025103984750848518,-0.025103984750848518,-1.2501651665793265,-1.2501651665793265,0.02008053449412406,,0.3187686027882388,,53.1948778799733,1.588009969785844,1.9084827089493512,-0.32047273916350716,52.13435,54.17026420303219,50.098435796967806
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-12T00:00:00.000000,51.212,-0.00007810364357485611,-0.00007810364357485611,-0.003927608352365048,-0.003927608352365048,0.019885802393669223,,0.31567732652773034,,53.17552508577404,1.3901857002709122,1.8048233072136637,-0.41463760694275154,52.1189,54.178958956744864,50.05884104325513
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-13T00:00:00.000000,51.204,-0.00015622559006933656,-0.00015622559006933656,-0.007958743472243072,-0.007958743472243072,0.01962942901906428,,0.31160752537583186,,53.13388993392852,1.2187144270011387,1.6876015311711587,-0.46888710417002,52.0687,54.168171422199634,49.969228577800365
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-16T00:00:00.000000,50.747,-0.008965151119719295,-0.008965151119719295,-0.4571155118029655,-0.4571155118029655,0.019612441250043647,,0.3113378529028814,,50.69214695570377,1.0340265128780786,1.556886527512543,-0.5228600146344644,52.020900000000005,54.19754221366604,49.84425778633397
#N_A N_A - IBM CDS USD SR 5Y D14 Corp CDS,2015-02-17T00:00:00.000000,50.697,-0.0009857656253475788,-0.0009857656253475788,-0.05087352419930703,-0.05087352419930703,0.01937679059712176,,0.3075970147593536,,50.41914716212532,0.8735556227488672,1.420220346559808,-0.5466647238109408,51.939499999999995,54.188810022862285,49.690189977137706
