series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-02T00:00:00.000000,1696204800000000.0,,,,,,,,,,0.0,0.0,0.0,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-03T00:00:00.000000,1696291200000000.0,0.0000509359480531657,0.0000509359480531657,,,,,,,,6892307692.25,1378461538.45,5513846153.8,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-04T00:00:00.000000,1696377600000000.0,0.000050933353719528895,0.000050933353719528895,,,,,,,,19106026736.75,4923974578.110001,14182052158.64,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-05T00:00:00.000000,1696464000000000.0,0.00005093075964168747,0.00005093075964168747,,,,,,,,35349755028.25,11009130668.138,24340624360.112,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-06T00:00:00.000000,1696550400000000.0,0.00005092816583385229,0.00005092816583385229,,,,,,,,54565784258.75,19720461386.2604,34845322872.4896,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-10T00:00:00.000000,1696896000000000.0,0.00020368673051507358,0.0002013186377567422,,,,,,,,96568476285.75,35090064366.158325,61478411919.591675,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-11T00:00:00.000000,1696982400000000.0,0.00005091520074529399,0.00005091520074529399,,,,,,,,135268380566.0,55125727606.12666,80142652959.87334,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-12T00:00:00.000000,1697068800000000.0,0.000050912608521969105,0.000050912608521969105,,,,,,,,170939606078.0,78288503300.50134,92651102777.49866,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-13T00:00:00.000000,1697155200000000.0,0.00005091001655443961,0.00005091001655443961,,,,,,,,203831425427.0,103397087725.80109,100434337701.19891,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-16T00:00:00.000000,1697414400000000.0,0.00015271450053688795,0.00015271450053688795,,,,,,,,247955427191.25,132308755618.89087,115646671572.35913,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-17T00:00:00.000000,1697500800000000.0,0.00005089965134885688,0.00005089965134885688,,,,,,,,286592118861.75,163165428267.4627,123426690594.2873,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-18T00:00:00.000000,1697587200000000.0,0.00005089706070293687,0.00005089706070293687,,,,,,,,320489331779.0,194630208969.77017,125859122809.22983,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-19T00:00:00.000000,1697673600000000.0,0.0000508944703270231,0.0000508944703270231,,,,,,,,350286984842.0,225761564144.21613,124525420697.78387,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-20T00:00:00.000000,1697760000000000.0,0.000050891880214010143,0.000050891880214010143,,,,,,,,376533157642.75,255915882843.9229,120617274798.82709,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-23T00:00:00.000000,1698019200000000.0,0.00015266010257874996,0.00015266010257874996,,,,,,,,413482345362.25,287429175347.5884,126053170014.66162,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-24T00:00:00.000000,1698105600000000.0,0.00005088152238386101,0.00005088152238386101,,,,,,,,444611397332.25,318865619744.52075,125745777587.72925,,,
AMD 3.924 06_01_32 - AMD 3.924 06_01_32 Corp Corp (Conv),2023-10-25T00:00:00.000000,1698192000000000.0,0.00005087893359245754,0.00005087893359245754,,,,,,,,470825766854.75,349257649166.56665,121568117688.18335,,,
