series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-02T00:00:00.000000,5.12,,,,,,,,,,0.0,0.0,0.0,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-03T00:00:00.000000,4.85,-0.054175734102024586,-0.054175734102024586,,,,,,,,-0.021538461538461284,-0.004307692307692257,-0.01723076923076903,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-06T00:00:00.000000,4.8,-0.010362787035546495,-0.010362787035546495,,,,,,,,-0.04215647600262962,-0.01187744904667973,-0.03027902695594989,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-07T00:00:00.000000,4.8,0.0,0.0,,,,,,,,-0.057829775357716606,-0.021067914308887107,-0.0367618610488295,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-08T00:00:00.000000,4.58,-0.0469169197877517,-0.0469169197877517,,,,,,,,-0.08700025462044714,-0.03425438237119911,-0.052745872249248024,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-09T00:00:00.000000,4.68,0.021599111803461746,0.021599111803461746,,,,,,,,-0.10088595484486085,-0.047580696865931464,-0.053305257978929384,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-10T00:00:00.000000,4.61,-0.015070252920998062,-0.015070252920998062,,,,,,,,-0.11619941280022861,-0.0613044400527909,-0.05489497274743771,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-13T00:00:00.000000,5.23,0.1261834210682744,0.1261834210682744,,,,,,,,-0.07741423697836325,-0.06452639943790538,-0.012887837540457872,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-14T00:00:00.000000,5.11,-0.02321187386121859,-0.02321187386121859,,,,,,,,-0.05571742700991145,-0.0627646049523066,0.00704717794239515,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-15T00:00:00.000000,4.87,-0.04810546712111452,-0.04810546712111452,,,,,,,,-0.05722884453309174,-0.06165745286846362,0.004428608335371884,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-16T00:00:00.000000,4.86,-0.002055499182096021,-0.002055499182096021,,,,,,,,-0.05855854379446601,-0.0610376710536641,0.002479127259198091,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-17T00:00:00.000000,4.84,-0.0041237171838621745,-0.0041237171838621745,,,,,,,,-0.060528438728084666,-0.06093582458854822,0.0004073858604635508,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-20T00:00:00.000000,5.2,0.0717439048588413,0.0717439048588413,,,,,,,,-0.032664072209089845,-0.05528147411265655,0.022617401903566703,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-21T00:00:00.000000,4.99,-0.041222715823954204,-0.041222715823954204,,,,,,,50.089600726978226,-0.027212912432565517,-0.04966776177663834,0.022454849344072825,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-22T00:00:00.000000,4.68,-0.06413779983387213,-0.06413779983387213,,,,,,,41.3117734900865,-0.04736128682494556,-0.049206466786299786,0.0018451799613542277,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-23T00:00:00.000000,3.99,-0.15950687902778315,-0.15950687902778315,,,,,,,29.091564824669092,-0.11765005551612706,-0.06289518453226525,-0.05475487098386181,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-24T00:00:00.000000,3.62,-0.09731720506409247,-0.09731720506409247,,,,,,,24.847142837208835,-0.20089453177826488,-0.09049505398146518,-0.1103994777967997,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-27T00:00:00.000000,3.54,-0.022347298691996587,-0.022347298691996587,,,,,,,24.030763527645917,-0.2702069330460004,-0.12643742979437222,-0.14376950325162818,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-28T00:00:00.000000,3.65,0.030600440448717015,0.030600440448717015,,,,,,,27.555358225446497,-0.312657310870625,-0.16368140600962278,-0.1489759048610022,,,
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-29T00:00:00.000000,3.86,0.05594001588233932,0.05594001588233932,,,,,,,33.86379806298265,-0.325600970865751,-0.19606531898084845,-0.12953565188490257,4.594,5.689337487045117,3.498662512954884
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-30T00:00:00.000000,3.76,-0.026248226074936376,-0.026248226074936376,-0.4290985913096729,-0.4290985913096729,0.06117061814354336,,0.9710534589114678,,32.416215331785494,-0.3400086706241465,-0.22485398930950806,-0.11515468131463846,4.526000000000001,5.652268174104193,3.3997318258958087
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-01-31T00:00:00.000000,3.46,-0.08315036833217015,-0.08315036833217015,-1.331134774014681,-1.331134774014681,0.0624657772866905,,0.9916134729175807,,28.48258878806122,-0.3713536357268872,-0.25415391859298386,-0.11719971713390331,4.4565,5.666985331113985,3.246014668886016
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-02-03T00:00:00.000000,3.7,0.067064230580546,0.067064230580546,1.0281279949385644,1.0281279949385644,0.06522945675120286,,1.035485524317156,,35.25173116608336,-0.37253440740878396,-0.2778300163561439,-0.09470439105264006,4.4015,5.64575881552031,3.1572411844796915
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-02-04T00:00:00.000000,3.78,0.021391189981317282,0.021391189981317282,0.32594492354164534,0.32594492354164534,0.06562823482226798,,1.0418159299432221,,37.37939281920123,-0.36283234069336157,-0.29483048122358746,-0.0680018594697741,4.350500000000001,5.609513398198002,3.091486601802
AUSTRALIAN DOLLAR 1 MO - AUD1M BGN Curncy BGN Curncy,2020-02-05T00:00:00.000000,3.7,-0.021391189981317282,-0.021391189981317282,-0.3282929401586955,-0.3282929401586955,0.06515884859106891,,1.0343646545236784,,36.10181283578214,-0.35747793126454486,-0.30735997123177894,-0.05011796003276592,4.3065000000000015,5.592952077369531,3.0200479226304724
