series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-04T00:00:00.000000,0.7649,,,,,,,,,,0.0,0.0,0.0,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-05T00:00:00.000000,0.7645,-0.000523080958703459,-0.000523080958703459,,,,,,,,-0.000031908831908733504,-6.381766381746701e-6,-0.000025527065526986802,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-06T00:00:00.000000,0.7608,-0.00485151413793633,-0.00485151413793633,,,,,,,,-0.0003517016907330639,-0.00007544575125201014,-0.00027625593948105376,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-07T00:00:00.000000,0.7575,-0.004346973847656477,-0.004346973847656477,,,,,,,,-0.0008614915181226479,-0.0002326549046261377,-0.0006288366134965102,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-10T00:00:00.000000,0.7575,0.0,0.0,,,,,,,,-0.0012510819353865887,-0.0004363403107782279,-0.0008147416246083608,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-11T00:00:00.000000,0.7617,0.005529239995218371,0.005529239995218371,,,,,,,,-0.0012070165137513245,-0.0005904755513728473,-0.0006165409623784772,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-12T00:00:00.000000,0.7669,0.006803637392071071,0.006803637392071071,,,,,,,,-0.0007439223342508017,-0.0006211649079484381,-0.00012275742630236356,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-13T00:00:00.000000,0.7655,-0.0018271996730752083,-0.0018271996730752083,,,,,,,,-0.0004843024234255644,-0.0005937924110438633,0.00010948998761829893,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-14T00:00:00.000000,0.7591,-0.008395694075015836,-0.008395694075015836,,,,,,,,-0.0007859187049906735,-0.0006322176698332254,-0.00015370103515744814,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-17T00:00:00.000000,0.758,-0.001450135380350881,-0.001450135380350881,,,,,,,,-0.001101020706729905,-0.0007259782772125613,-0.0003750424295173436,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-18T00:00:00.000000,0.7553,-0.0035683643229694195,-0.0035683643229694195,,,,,,,,-0.001550732865280846,-0.0008909291948262184,-0.0006598036704546277,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-19T00:00:00.000000,0.7606,0.006992574174757127,0.006992574174757127,,,,,,,,-0.0014626072588430628,-0.0010052648076295874,-0.00045734245121347534,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-20T00:00:00.000000,0.7587,-0.0025011531501301643,-0.0025011531501301643,,,,,,,,-0.0015284620428723805,-0.001109904254678146,-0.00041855778819423445,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-21T00:00:00.000000,0.7694,0.014004547974165504,0.014004547974165504,,,,,,,60.6276134837638,-0.0007090780469650726,-0.0010297390131355315,0.0003206609661704589,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-24T00:00:00.000000,0.7702,0.0010392310626138324,0.0010392310626138324,,,,,,,61.59726265639561,4.7877965174691894e-6,-0.0008228336512049315,0.0008276214477224007,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-25T00:00:00.000000,0.7652,-0.0065129838147107155,-0.0065129838147107155,,,,,,,52.83858106457328,0.0001651694368924872,-0.0006252330335854478,0.000790402470477935,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-26T00:00:00.000000,0.7751,0.01285481572136793,0.01285481572136793,,,,,,,63.81102715987584,0.0010786858851988823,-0.0002844492498285818,0.0013631351350274642,,,
AUSTRALIAN DOLLAR_US DOLLAR - AUDUSD Curncy Curncy,2005-01-27T00:00:00.000000,0.7774,0.002962965130657025,0.002962965130657025,,,,,,,65.80169369418965,0.00196558696708915,0.0001655579935549646,0.0018000289735341855,,,
