series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Ansell Ltd - ANN AU Equity Equity,2013-01-03T00:00:00.000000,15.5,379206.0,,,,,,,,,,0.0,0.0,0.0,,,
Ansell Ltd - ANN AU Equity Equity,2013-01-04T00:00:00.000000,15.5,571345.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,
Ansell Ltd - ANN AU Equity Equity,2013-01-07T00:00:00.000000,15.55,1577980.0,0.0032206147000422014,0.0032206147000422014,,,,,,,,0.0039886039886045666,0.0007977207977209133,0.0031908831908836533,,,
Ansell Ltd - ANN AU Equity Equity,2013-01-08T00:00:00.000000,15.71,752340.0,0.01023681364228679,0.01023681364228679,,,,,,,,0.01983165721057567,0.004604508080291865,0.015227149130283805,,,
Ansell Ltd - ANN AU Equity Equity,2013-01-09T00:00:00.000000,15.76,668997.0,0.0031776321622030146,0.0031776321622030146,,,,,,,,0.03600690794333694,0.010884988052900882,0.025121919890436058,,,
Ansell Ltd - ANN AU Equity Equity,2013-01-10T00:00:00.000000,15.85,417197.0,0.00569441589355657,0.00569441589355657,,,,,,,,0.05544897723033593,0.01979778588838789,0.03565119134194804,,,
Ansell Ltd - ANN AU Equity Equity,2013-01-11T00:00:00.000000,15.87,391962.0,0.0012610342150281006,0.0012610342150281006,,,,,,,,0.07164491211638513,0.03016721113398734,0.04147770098239779,,,
Ansell Ltd - ANN AU Equity Equity,2013-01-14T00:00:00.000000,16.07,563698.0,0.012523645211103496,0.012523645211103496,,,,,,,,0.09947198460982598,0.04402816582915507,0.05544381878067091,,,
Ansell Ltd - ANN AU Equity Equity,2013-01-15T00:00:00.000000,16.24,1393987.0,0.010523154984110938,0.010523154984110938,,,,,,,,0.13370149172451917,0.061962831008227894,0.07173866071629129,,,
Ansell Ltd - ANN AU Equity Equity,2013-01-16T00:00:00.000000,16.4,794780.0,0.009804000096620857,0.009804000096620857,,,,,,,,0.17175935066936887,0.08392213494045608,0.08783721572891279,,,
Ansell Ltd - ANN AU Equity Equity,2013-01-17T00:00:00.000000,16.55,519140.0,0.009104766992919178,0.009104766992919178,,,,,,,,0.21158520197180763,0.1094547483467264,0.10213045362508123,,,
