series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-05T00:00:00.000000,1.7,,,,,,,,,,0.0,0.0,0.0,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-06T00:00:00.000000,1.67,-0.017804624633506627,-0.017804624633506627,,,,,,,,-0.002393162393162118,-0.0004786324786324237,-0.0019145299145296945,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-07T00:00:00.000000,1.64,-0.01812738459255675,-0.01812738459255675,,,,,,,,-0.006634037061387321,-0.0017097133951834032,-0.004924323666203918,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-08T00:00:00.000000,1.61,-0.018462062839735283,-0.018462062839735283,,,,,,,,-0.012274220495906762,-0.0038226148153280752,-0.008451605680578688,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-11T00:00:00.000000,1.58,-0.018809331957496234,-0.018809331957496234,,,,,,,,-0.018946452867727892,-0.006847382425808039,-0.012099070441919853,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-12T00:00:00.000000,1.57,-0.006349227678658753,-0.006349227678658753,,,,,,,,-0.024755792157699297,-0.01042906437218629,-0.014326727785513006,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-13T00:00:00.000000,1.58,0.006349227678658753,0.006349227678658753,,,,,,,,-0.028227430722119085,-0.01398873764217285,-0.014238693079946234,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-14T00:00:00.000000,1.59,0.006309169193264741,0.006309169193264741,,,,,,,,-0.029827974546412284,-0.017156585023020737,-0.012671389523391547,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-15T00:00:00.000000,1.6,0.00626961301359541,0.00626961301359541,,,,,,,,-0.029944321137566288,-0.019714132245929848,-0.01023018889163644,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-18T00:00:00.000000,1.59,-0.00626961301359541,-0.00626961301359541,,,,,,,,-0.03049195084701628,-0.021869695966147136,-0.008622254880869144,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-19T00:00:00.000000,1.58,-0.006309169193264741,-0.006309169193264741,,,,,,,,-0.03137123964106414,-0.02377000470113054,-0.0076012349399336016,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-20T00:00:00.000000,1.61,0.018809331957496234,0.018809331957496234,,,,,,,,-0.029309471720263103,-0.024877898104957052,-0.00443157361530605,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-21T00:00:00.000000,1.62,0.006191970247921064,0.006191970247921064,,,,,,,,-0.026562394611712392,-0.025214797406308123,-0.001347597205404269,,,
BBG EA Corp Avg OAS - LECPOAS INDEX Index,2010-01-22T00:00:00.000000,1.64,0.012270092591814219,0.012270092591814219,,,,,,,49.386257922515426,-0.022511979274680405,-0.024674233779982582,0.0021622545053021774,,,
