series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
BE 10 Year - USGGBE10 Index Index,2005-01-04T00:00:00.000000,2.5709,,,,,,,,,,0.0,0.0,0.0,,,
BE 10 Year - USGGBE10 Index Index,2005-01-05T00:00:00.000000,2.5455,-0.009928937795603443,-0.009928937795603443,,,,,,,,-0.0020262108262105727,-0.0004052421652421146,-0.0016209686609684581,,,
BE 10 Year - USGGBE10 Index Index,2005-01-06T00:00:00.000000,2.5506,0.0020015312504088056,0.0020015312504088056,,,,,,,,-0.003183769612259635,-0.0009609476546456187,-0.002222821957614016,,,
BE 10 Year - USGGBE10 Index Index,2005-01-07T00:00:00.000000,2.5251,-0.010047959707159326,-0.010047959707159326,,,,,,,,-0.006088594648482992,-0.0019864770534130938,-0.0041021175950698985,,,
BE 10 Year - USGGBE10 Index Index,2005-01-10T00:00:00.000000,2.5411,0.006316392244961722,0.006316392244961722,,,,,,,,-0.0070187157492447305,-0.0029929247925794215,-0.004025790956665309,,,
BE 10 Year - USGGBE10 Index Index,2005-01-11T00:00:00.000000,2.5149,-0.010364016818680488,-0.010364016818680488,,,,,,,,-0.009757486232756296,-0.004345837080614797,-0.005411649152141499,,,
BE 10 Year - USGGBE10 Index Index,2005-01-12T00:00:00.000000,2.5359,0.008315562291070222,0.008315562291070222,,,,,,,,-0.010116836483567315,-0.005500036961205301,-0.004616799522362014,,,
BE 10 Year - USGGBE10 Index Index,2005-01-13T00:00:00.000000,2.5185,-0.006885117417286479,-0.006885117417286479,,,,,,,,-0.01167112130703929,-0.006734253830372098,-0.004936867476667191,,,
BE 10 Year - USGGBE10 Index Index,2005-01-14T00:00:00.000000,2.4855,-0.013189639650977858,-0.013189639650977858,,,,,,,,-0.015388340227913133,-0.008465071109880306,-0.0069232691180328276,,,
BE 10 Year - USGGBE10 Index Index,2005-01-17T00:00:00.000000,2.4844,-0.00044266484957944385,-0.00044266484957944385,,,,,,,,-0.018213074821442632,-0.010414671852192772,-0.00779840296924986,,,
BE 10 Year - USGGBE10 Index Index,2005-01-18T00:00:00.000000,2.4866,0.0008851338336893777,0.0008851338336893777,,,,,,,,-0.02004313098649879,-0.012340363679053976,-0.007702767307444815,,,
BE 10 Year - USGGBE10 Index Index,2005-01-19T00:00:00.000000,2.4764,-0.004110422873760178,-0.004110422873760178,,,,,,,,-0.022062199138762395,-0.014284730770995662,-0.007777468367766733,,,
BE 10 Year - USGGBE10 Index Index,2005-01-20T00:00:00.000000,2.4529,-0.009534894626039736,-0.009534894626039736,,,,,,,,-0.025267312943085596,-0.01648124720541365,-0.008786065737671947,,,
BE 10 Year - USGGBE10 Index Index,2005-01-21T00:00:00.000000,2.4536,0.00028533578100442547,0.00028533578100442547,,,,,,,19.887550560310785,-0.027434654949970216,-0.018671928754324964,-0.008762726195645252,,,
BE 10 Year - USGGBE10 Index Index,2005-01-24T00:00:00.000000,2.4479,-0.002325819675398133,-0.002325819675398133,,,,,,,18.97660221606297,-0.029274770141119344,-0.020792497031683843,-0.0084822731094355,,,
BE 10 Year - USGGBE10 Index Index,2005-01-25T00:00:00.000000,2.4426,-0.002167468387655358,-0.002167468387655358,,,,,,,18.14437820610877,-0.030805632240838765,-0.022795124073514826,-0.008010508167323939,,,
BE 10 Year - USGGBE10 Index Index,2005-01-26T00:00:00.000000,2.4775,0.014186941467154823,0.014186941467154823,,,,,,,37.562306033181436,-0.028869918703686714,-0.024010082999549206,-0.0048598357041375086,,,
BE 10 Year - USGGBE10 Index Index,2005-01-27T00:00:00.000000,2.5076,0.012076133195670469,0.012076133195670469,,,,,,,48.835539937191925,-0.024623192499892532,-0.02413270489961787,-0.0004904876002746611,,,
BE 10 Year - USGGBE10 Index Index,2005-01-28T00:00:00.000000,2.4928,-0.005919543723384435,-0.005919543723384435,,,,,,,44.574030339609045,-0.022196005958459608,-0.02374536511138622,0.0015493591529266125,,,
BE 10 Year - USGGBE10 Index Index,2005-01-31T00:00:00.000000,2.4913,-0.0006019141049689036,-0.0006019141049689036,,,,,,,44.153490882405904,-0.02016107626407848,-0.023028507341924676,0.002867431077846195,2.50008,2.574194835506144,2.425965164493856
BE 10 Year - USGGBE10 Index Index,2005-02-01T00:00:00.000000,2.4788,-0.005030090483507776,-0.005030090483507776,-0.6605966532914764,-0.6605966532914764,0.007614465587200514,,0.12087589386235181,,40.70685186893278,-0.019334153269744192,-0.02228963652748858,0.0029554832577443867,2.495475,2.5621320760645494,2.4288179239354504
BE 10 Year - USGGBE10 Index Index,2005-02-02T00:00:00.000000,2.4498,-0.01176818353436726,-0.01176818353436726,-1.5228441756543425,-1.5228441756543425,0.007727766059393867,,0.12267448309945062,,34.063430418140086,-0.020779337211280335,-0.02198757666424693,0.0012082394529665946,2.4906900000000003,2.555951930548665,2.4254280694513355
BE 10 Year - USGGBE10 Index Index,2005-02-03T00:00:00.000000,2.4422,-0.003107116154663636,-0.003107116154663636,-0.40479826754626325,-0.40479826754626325,0.007675715050604885,,0.12184819895097652,,32.56355107381677,-0.022281070074748666,-0.022046275346347278,-0.0002347947284013878,2.4852700000000003,2.5475179963743795,2.423022003625621
BE 10 Year - USGGBE10 Index Index,2005-02-04T00:00:00.000000,2.4284,-0.005666668142642606,-0.005666668142642606,-0.7555971326790872,-0.7555971326790872,0.007499589262006,,0.1190522887343898,,29.98201095840622,-0.02430458077889286,-0.022497936432856393,-0.0018066443460364665,2.480435,2.5446477803314647,2.4162222196685352
BE 10 Year - USGGBE10 Index Index,2005-02-07T00:00:00.000000,2.4391,0.004396514529151574,0.004396514529151574,0.5941394531736889,0.5941394531736889,0.007399802362335817,,0.11746822081061306,,34.32920257667958,-0.024759415880101887,-0.022950232322305496,-0.0018091835577963913,2.475335,2.5353239910953533,2.4153460089046463
BE 10 Year - USGGBE10 Index Index,2005-02-08T00:00:00.000000,2.4672,0.01145478558357993,0.01145478558357993,1.4854880549378007,1.4854880549378007,0.007711126013773,,0.12241033056434511,,44.1381362347963,-0.02259201414025025,-0.022878588685894447,0.00028657454564419774,2.47295,2.5300385738406277,2.4158614261593723
BE 10 Year - USGGBE10 Index Index,2005-02-09T00:00:00.000000,2.5055,0.01540441103076895,0.01540441103076895,1.8559055865949377,1.8559055865949377,0.008300212651997934,,0.13176179103683064,,54.183175341922855,-0.017581177858141395,-0.02181910652034384,0.004237928662202444,2.47143,2.5227931897682025,2.420066810231797
BE 10 Year - USGGBE10 Index Index,2005-02-10T00:00:00.000000,2.5289,0.009296110167727134,0.009296110167727134,1.1010383731807254,1.1010383731807254,0.0084430392202155,,0.1340290925175295,,59.03046539555291,-0.011588287006254028,-0.019772942617525876,0.008184655611271848,2.4719499999999996,2.52548434706614,2.4184156529338594
BE 10 Year - USGGBE10 Index Index,2005-02-11T00:00:00.000000,2.5229,-0.002375392066686688,-0.002375392066686688,-0.30195907380532266,-0.30195907380532266,0.007866602704637175,,0.12487844651650837,,57.35488784852392,-0.007239574378635094,-0.01726626896974772,0.010026694591112627,2.4738199999999995,2.531777356374361,2.415862643625638
