series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Bechtle AG - BC8 GY Equity Equity,2010-01-05T00:00:00.000000,3.329,263742.0,,,,,,,,,,0.0,0.0,0.0,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-06T00:00:00.000000,3.317,83958.0,-0.003611198627972545,-0.003611198627972545,,,,,,,,-0.0009572649572646696,-0.00019145299145293393,-0.0007658119658117357,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-07T00:00:00.000000,3.272,110106.0,-0.013659341224414812,-0.013659341224414812,,,,,,,,-0.0052860934570340135,-0.0012103810845691498,-0.004075712372464863,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-08T00:00:00.000000,3.218,56862.0,-0.0166413701703092,-0.0166413701703092,,,,,,,,-0.01292507768383766,-0.0035533204044228524,-0.009371757279414809,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-11T00:00:00.000000,3.217,56982.0,-0.00031080031330210645,-0.00031080031330210645,,,,,,,,-0.01884251458308528,-0.0066111592401553385,-0.01223135534292994,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-12T00:00:00.000000,3.25,57684.0,0.010205748084756827,0.010205748084756827,,,,,,,,-0.020631474950494777,-0.009415222382223226,-0.01121625256827155,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-13T00:00:00.000000,3.228,38424.0,-0.006792245933943786,-0.006792245933943786,,,,,,,,-0.023552951307291625,-0.012242768167236906,-0.01131018314005472,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-14T00:00:00.000000,3.191,136512.0,-0.011528403111595864,-0.011528403111595864,,,,,,,,-0.028525014534897863,-0.015499217440769097,-0.013025797094128766,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-15T00:00:00.000000,3.135,98892.0,-0.017705173211222558,-0.017705173211222558,,,,,,,,-0.03656267074416286,-0.01971190810144785,-0.01685076264271501,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-18T00:00:00.000000,3.098,103092.0,-0.011872432090207052,-0.011872432090207052,,,,,,,,-0.04539487807912446,-0.024848502096983173,-0.020546375982141284,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-19T00:00:00.000000,3.067,129558.0,-0.010056856862562302,-0.010056856862562302,,,,,,,,-0.05427031256572823,-0.030732864190732186,-0.023537448374996044,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-20T00:00:00.000000,2.992,136818.0,-0.024757825019883883,-0.024757825019883883,,,,,,,,-0.06658844143625009,-0.037903979639835765,-0.028684461796414325,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-21T00:00:00.000000,2.998,205230.0,0.002003339568175333,0.002003339568175333,,,,,,,,-0.07500192198795474,-0.04532356810945956,-0.029678353878495184,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-22T00:00:00.000000,2.95,216462.0,-0.016140229328677647,-0.016140229328677647,,,,,,,7.55023820192028,-0.08456801732632213,-0.05317245795283208,-0.03139555937349005,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-25T00:00:00.000000,2.915,306696.0,-0.01193535054927275,-0.01193535054927275,,,,,,,6.744210230460581,-0.09389110606918782,-0.06131618757610324,-0.03257491849308458,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-26T00:00:00.000000,2.917,233790.0,0.0006858710831285642,0.0006858710831285642,,,,,,,7.352860905001066,-0.09996599205212586,-0.06904614847130777,-0.03091984358081809,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-27T00:00:00.000000,2.835,292998.0,-0.02851375370586884,-0.02851375370586884,,,,,,,5.707954046587503,-0.11012761506380553,-0.07726244178980733,-0.0328651732739982,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-28T00:00:00.000000,3.063,507120.0,0.07735289067092288,0.05320403606346469,,,,,,,43.53330718612086,-0.09864595086994976,-0.08153914360583582,-0.01710680726411394,,,
Bechtle AG - BC8 GY Equity Equity,2010-01-29T00:00:00.000000,3.133,149256.0,0.02259618411941644,0.02259618411941644,,,,,,,50.14569712353385,-0.0829421290557324,-0.08181974069581513,-0.0011223883599172646,,,
Bechtle AG - BC8 GY Equity Equity,2010-02-01T00:00:00.000000,3.276,453894.0,0.044632154020768144,0.044632154020768144,,,,,,,60.358386216083844,-0.058285948100938345,-0.07711298217683979,0.018827034075901444,3.1200500000000004,3.4153147161981514,2.8247852838018495
Bechtle AG - BC8 GY Equity Equity,2010-02-02T00:00:00.000000,3.33,180246.0,0.016349138001529706,0.016349138001529706,0.653217349145973,0.653217349145973,0.02502863407241837,,0.39731724846754074,,63.40684108852545,-0.03399650777338259,-0.06848968729614835,0.03449317952276576,3.1201000000000003,3.415514000309635,2.8246859996903657
Bechtle AG - BC8 GY Equity Equity,2010-02-03T00:00:00.000000,3.367,184722.0,0.01104983618658495,0.01104983618658495,0.4396837517370615,0.4396837517370615,0.025131327102560167,,0.39894744978234986,,65.3717894490802,-0.011627327940986198,-0.05711721542511592,0.04548988748412972,3.1226000000000003,3.4257743635877564,2.819425636412244
Bechtle AG - BC8 GY Equity Equity,2010-02-04T00:00:00.000000,3.277,350772.0,-0.027093770462260025,-0.027093770462260025,-1.0538398498351818,-1.0538398498351818,0.025709571019256323,,0.4081267873866337,,57.31039600352016,-0.0011485992638546882,-0.04592349219286368,0.04477489292900899,3.1228500000000006,3.426550874303361,2.81914912569664
Bechtle AG - BC8 GY Equity Equity,2010-02-05T00:00:00.000000,3.263,138804.0,-0.004281352105493852,-0.004281352105493852,-0.168334247114009,-0.168334247114009,0.02543363682016642,,0.4037464677725757,,56.15043581028096,0.005957511229782053,-0.035547291508334536,0.04150480273811659,3.1251,3.4324142742501413,2.817785725749859
Bechtle AG - BC8 GY Equity Equity,2010-02-08T00:00:00.000000,3.216,112554.0,-0.014508666294463568,-0.014508666294463568,-0.5654129375815237,-0.5654129375815237,0.02566030122430944,,0.4073446536391741,,52.32177698903908,0.007707797101095704,-0.026896273786448488,0.03460407088754419,3.1250500000000003,3.4323016369704997,2.817798363029501
Bechtle AG - BC8 GY Equity Equity,2010-02-09T00:00:00.000000,3.138,93858.0,-0.024552697005879143,-0.024552697005879143,-0.9405430754909202,-0.9405430754909202,0.02610480864267037,,0.4144009901486123,,46.6382583581934,0.0027690433296045924,-0.020963210363237873,0.023732253692842466,3.11945,3.421145192990686,2.817754807009314
