series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-02T00:00:00.000000,14784.6,,,,,,,,,,0.0,0.0,0.0,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-03T00:00:00.000000,15055.23,0.01813934064211864,0.01813934064211864,,,,,,,,21.588717948716294,4.317743589743259,17.270974358973035,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-04T00:00:00.000000,14946.35,-0.0072583162627708475,-0.0072583162627708475,,,,,,,,29.571346336473653,9.368464139089339,20.202882197384312,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-05T00:00:00.000000,16753.24,0.11412454953044282,0.09497102618367137,,,,,,,,179.62792018629625,43.42035534853072,136.20756483776552,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-07T00:00:00.000000,16200.0,-0.03358043016283929,-0.03358043016283929,,,,,,,,251.01346471038596,84.93897722090176,166.0744874894842,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-08T00:00:00.000000,14935.7,-0.08125692189961953,-0.08125692189961953,,,,,,,,203.22591737500807,108.59636525172303,94.62955212328504,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-09T00:00:00.000000,14554.08,-0.02588295365828408,-0.02588295365828408,,,,,,,,133.02694533304748,113.48248126798794,19.544464065059543,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-10T00:00:00.000000,14494.74,-0.004085541687420147,-0.004085541687420147,,,,,,,,71.77809891461038,105.14160479731243,-33.36350588270204,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-11T00:00:00.000000,13462.98,-0.0738421285500177,-0.0738421285500177,,,,,,,,-59.332514078916574,72.24678102206663,-131.5792951009832,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-12T00:00:00.000000,13746.58,0.020846369459098568,0.020846369459098568,,,,,,,,-138.75498848605275,30.046427120442758,-168.8014156064955,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-14T00:00:00.000000,13383.28,-0.026783899241415554,-0.026783899241415554,,,,,,,,-228.38051699892276,-21.638961703430343,-206.74155529549242,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-15T00:00:00.000000,13916.82,0.03909201387144989,0.03909201387144989,,,,,,,,-253.43572575403596,-67.99831451355148,-185.4374112404845,,,
Bitcoin_US DOLLAR - XBTUSD BGN Curncy BGN Curncy,2018-01-16T00:00:00.000000,10720.0,-0.2609870248894737,-0.1018079389341775,,,,,,,,-525.1946987017291,-159.437591351187,-365.75710735054207,,,
