series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-10-28T00:00:00.000000,1603843200000000.0,,,,,,,,,,0.0,0.0,0.0,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-10-29T00:00:00.000000,1603929600000000.0,0.00005386915184857344,0.00005386915184857344,,,,,,,,6892307692.25,1378461538.45,5513846153.8,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-10-30T00:00:00.000000,1604016000000000.0,0.00005386625011283286,0.00005386625011283286,,,,,,,,19106026736.5,4923974578.06,14182052158.439999,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-02T00:00:00.000000,1604275200000000.0,0.0001615813430930757,0.00016079324702644726,,,,,,,,49134370412.75,13766053744.998001,35368316667.752,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-03T00:00:00.000000,1604361600000000.0,0.00005385464631757486,0.00005385464631757486,,,,,,,,78993222348.0,26811487465.598404,52181734882.401596,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-04T00:00:00.000000,1604448000000000.0,0.000053851746159239156,0.000053851746159239156,,,,,,,,108379009791.75,43124991930.82873,65254017860.92127,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-05T00:00:00.000000,1604534400000000.0,0.0000538488462993314,0.0000538488462993314,,,,,,,,137059281894.25,61911849923.512985,75147431970.73701,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-06T00:00:00.000000,1604620800000000.0,0.00005384594675916787,0.00005384594675916787,,,,,,,,164859959103.75,82501471759.5604,82358487344.1896,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-09T00:00:00.000000,1604880000000000.0,0.00016152044614869965,0.00016079324702644726,,,,,,,,205439293566.0,107089036120.84833,98350257445.15167,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-10T00:00:00.000000,1604966400000000.0,0.00005383435171069095,0.00005383435171069095,,,,,,,,241783338588.25,134027896614.32867,107755441973.92133,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-11T00:00:00.000000,1605052800000000.0,0.000053831453733721446,0.000053831453733721446,,,,,,,,274394959747.0,162101309240.86295,112293650506.13705,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-12T00:00:00.000000,1605139200000000.0,0.000053828556062285315,0.000053828556062285315,,,,,,,,303710674788.75,190423182350.44037,113287492438.30963,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-13T00:00:00.000000,1605225600000000.0,0.00005382565870348799,0.00005382565870348799,,,,,,,,330110044980.75,218360554876.5023,111749490104.24771,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-16T00:00:00.000000,1605484800000000.0,0.00016145959509117347,0.00016079324702644726,,,,,,,,367708297467.5,248230103394.70184,119478194072.79816,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-17T00:00:00.000000,1605571200000000.0,0.00005381407238758129,0.00005381407238758129,,,,,,,,399867517535.75,278557586222.9115,121309931312.8385,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-18T00:00:00.000000,1605657600000000.0,0.00005381117659908341,0.00005381117659908341,,,,,,,,427398900580.5,308325849094.4292,119073051486.0708,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-19T00:00:00.000000,1605744000000000.0,0.00005380828110901348,0.00005380828110901348,,,,,,,,450990737432.25,336858826761.9934,114131910670.25659,,,
Bloomberg Nominal USD 5Y Spot - BTSIUS05 Index Curncy,2020-11-20T00:00:00.000000,1605830400000000.0,0.00005380538593158235,0.00005380538593158235,,,,,,,,471227182402.25,363732497890.04474,107494684512.20526,,,
