series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-02-09T00:00:00.000000,1675900800000000.0,,,,,,,,,,0.0,0.0,0.0,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-03-21T00:00:00.000000,1679356800000000.0,0.0020600511997770354,0.0020600511997770354,,,,,,,,275692307692.5,55138461538.5,220553846154.0,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-03-29T00:00:00.000000,1680048000000000.0,0.0004115014717811505,0.0004115014717811505,,,,,,,,543687223318.0,152848213894.40002,390839009423.6,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-04-06T00:00:00.000000,1680739200000000.0,0.00041133220796751857,0.00041133220796751857,,,,,,,,802597345551.0,282798040225.72003,519799305325.27997,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-04-11T00:00:00.000000,1681171200000000.0,0.0002569967375549709,0.0002569967375549709,,,,,,,,1030762286382.5,432390889457.07605,598371396925.424,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-05-26T00:00:00.000000,1685059200000000.0,0.0023100033372074336,0.0023100033372074336,,,,,,,,1507931259554.0,647498963476.4609,860432296077.5391,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-05-30T00:00:00.000000,1685404800000000.0,0.00020507562235394516,0.00020507562235394516,,,,,,,,1892166423610.75,896432455503.3188,995733968107.4312,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-07-17T00:00:00.000000,1689552000000000.0,0.00245763269467858,0.00245763269467858,,,,,,,,2502472988913.0,1217640562185.2551,1284832426727.7449,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-08-23T00:00:00.000000,1692748800000000.0,0.0018903114423949319,0.0018903114423949319,,,,,,,,3207130577239.25,1615538565196.0542,1591592012043.1958,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-08-29T00:00:00.000000,1693267200000000.0,0.00030620056375596505,0.00030620056375596505,,,,,,,,3764018082882.5,2045234468733.3435,1718783614149.1565,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-08-30T00:00:00.000000,1693353600000000.0,0.000051024313094671925,0.000051024313094671925,,,,,,,,4164323472399.25,2469052269466.525,1695271202932.725,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-08-31T00:00:00.000000,1693440000000000.0,0.00005102170975135323,0.00005102170975135323,,,,,,,,4437388681024.5,2862719551778.12,1574669129246.38,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-09-08T00:00:00.000000,1694131200000000.0,0.00040807998934155876,0.00040807998934155876,,,,,,,,4655898588853.25,3221355359193.146,1434543229660.104,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-09-13T00:00:00.000000,1694563200000000.0,0.0002549654535641821,0.0002549654535641821,,,,,,,,4808498675170.75,3538784022388.667,1269714652782.083,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-09-15T00:00:00.000000,1694736000000000.0,0.0001019679821396835,0.0001019679821396835,,,,,,,,4887044057041.5,3808436029319.2334,1078608027722.2666,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-09-20T00:00:00.000000,1695168000000000.0,0.0002548744757007171,0.0002548744757007171,,,,,,,,4927351190335.75,4032219061522.5366,895132128813.2134,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-09-28T00:00:00.000000,1695859200000000.0,0.00040766409043868634,0.00040766409043868634,,,,,,,,4957917164394.5,4217358682096.929,740558482297.5708,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-11-14T00:00:00.000000,1699920000000000.0,0.002391676075809812,0.002391676075809812,,,,,,,,5249302845900.5,4423747514857.644,825555331042.8564,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-11-21T00:00:00.000000,1700524800000000.0,0.00035571817333135414,0.00035571817333135414,,,,,,,,5466021509805.0,4632202313847.115,833819195957.8848,,,
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-12-04T00:00:00.000000,1701648000000000.0,0.000660283946075424,0.000660283946075424,,,,,,,,5663124491384.75,4838386749354.643,824737742030.1074,1690329600000000.0,1705725396603653.0,1674933803396347.0
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2023-12-14T00:00:00.000000,1702512000000000.0,0.0005076142240909576,0.0005076142240909576,0.5842447222962212,0.5842447222962212,0.000868838356118841,,0.013792381318827764,,,5821935949985.75,5035096589480.864,786839360504.8857,1691660160000000.0,1706390779232262.2,1676929540767737.8
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-02-08T00:00:00.000000,1707350400000000.0,0.002837887679703499,0.002837887679703499,3.009324134686442,3.009324134686442,0.0009430315754268838,,0.014970162162365906,,,6265983264274.25,5281273924439.541,984709339834.709,1693059840000000.0,1708182752633748.8,1677936927366251.2
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-03-13T00:00:00.000000,1710288000000000.0,0.0017190822314248067,0.0017190822314248067,1.7945469761342372,1.7945469761342372,0.0009579477463041985,,0.015206949034294218,,,6776814826588.25,5580382104869.283,1196432721718.9668,1694571840000000.0,1710253646070851.2,1678890033929148.8
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-04-03T00:00:00.000000,1712102400000000.0,0.001060311628968691,0.001060311628968691,1.1140281482271024,1.1140281482271024,0.0009517817217240896,,0.015109066428592942,,,7244548787642.5,5913215441423.927,1331333346218.5732,1696140000000000.0,1712263937984708.8,1680016062015291.2
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-04-22T00:00:00.000000,1713744000000000.0,0.0009583617792330301,0.0009583617792330301,1.0209156463871318,1.0209156463871318,0.0009387276829623775,,0.014901839987582014,,,7659401904848.5,6262452734108.842,1396949170739.6582,1697768640000000.0,1714105218358543.8,1681432061641456.2
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-07-05T00:00:00.000000,1720137600000000.0,0.0037238368313694536,0.0037238368313694536,3.4249569621750973,3.4249569621750973,0.0010872652919423974,,0.017259801429789737,,,8407173413715.5,6691396870030.174,1715776543685.3262,1699522560000000.0,1717557694209285.8,1681487425790714.2
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-07-22T00:00:00.000000,1721606400000000.0,0.000853520825003784,0.000853520825003784,0.7970044206681058,0.7970044206681058,0.0010709110299392092,,0.017000185568971163,,,9014395269224.0,7155996549868.939,1858398719355.0605,1701332640000000.0,1720624693792869.0,1682040586207131.0
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-08-06T00:00:00.000000,1722902400000000.0,0.0007525021048877534,0.0007525021048877534,0.7372394601547803,0.7372394601547803,0.00102070242513846,,0.016203148677101327,,,9490795352380.75,7622956310371.303,1867839042009.4473,1703000160000000.0,1723717452403299.0,1682282867596701.0
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-08-13T00:00:00.000000,1723507200000000.0,0.0003509739563227754,0.0003509739563227754,0.3488216548375506,0.3488216548375506,0.001006170206050502,,0.015972456850873472,,,9804132222633.0,8059191492823.643,1744940729809.3574,1704538080000000.0,1726575721581105.2,1682500438418894.8
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-10-04T00:00:00.000000,1728000000000000.0,0.002603385870116881,0.002603385870116881,2.446296484822209,2.446296484822209,0.0010642151866175327,,0.016893892351489113,,,10296296070008.75,8506612408260.664,1789683661748.086,1706274720000000.0,1729983409967991.0,1682566030032009.0
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-10-25T00:00:00.000000,1729814400000000.0,0.0010494491355714786,0.0010494491355714786,1.0093375590633862,1.0093375590633862,0.0010397404972676474,,0.016505368702876964,,,10709296280117.75,8947149182632.082,1762147097485.668,1708097760000000.0,1733189910588991.5,1683005609411008.5
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2024-12-05T00:00:00.000000,1733356800000000.0,0.002045755771725055,0.002045755771725055,1.9804219042331985,1.9804219042331985,0.0010329898731942946,,0.0163982058679215,,,11193413296241.75,9396402005354.016,1797011290887.7344,1710093600000000.0,1736587602213013.2,1683599597786986.8
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2025-02-18T00:00:00.000000,1739836800000000.0,0.0037314404349757524,0.0037314404349757524,3.2061148817853136,3.2061148817853136,0.0011638511321521684,,0.018475563952653647,,,11962070066182.25,9909535617519.664,2052534448662.586,1712378880000000.0,1740884049861335.2,1683873710138664.8
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2025-03-19T00:00:00.000000,1742342400000000.0,0.0014390990747585874,0.0014390990747585874,1.266797287500634,1.266797287500634,0.0011360137008170435,,0.018033658429944182,,,12627851067518.25,10453198707519.38,2174652359998.8691,1714767840000000.0,1744945764473321.0,1684589915526679.0
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2025-03-24T00:00:00.000000,1742774400000000.0,0.00024791134816837257,0.00024791134816837257,0.21982996600994376,0.21982996600994376,0.0011277413751551897,,0.017902339331151765,,,13040028762952.25,10970564718605.955,2069464044346.295,1717169760000000.0,1748267457466729.0,1686072062533271.0
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2025-04-29T00:00:00.000000,1745884800000000.0,0.001783149712167642,0.001783149712167642,1.6245696235682578,1.6245696235682578,0.0010976135995027863,,0.01742407571956093,,,13462478766349.5,11468947528154.664,1993531238194.836,1719705600000000.0,1751512364029783.2,1687898835970216.8
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2025-06-27T00:00:00.000000,1750982400000000.0,0.002915525994765744,0.002915525994765744,2.6206173787333307,2.6206173787333307,0.0011125340228701974,,0.01766093009767673,,,14046685706147.0,11984495163753.133,2062190542393.8672,1722461760000000.0,1755110102255289.5,1689813417744710.5
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2025-07-18T00:00:00.000000,1752796800000000.0,0.0010356817930627926,0.0010356817930627926,0.9389801186695508,0.9389801186695508,0.0011029858593068608,,0.017509357700080986,,,14489059967172.0,12485408124436.906,2003651842735.0938,1725105600000000.0,1758620337076098.2,1691590862923901.8
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2025-07-30T00:00:00.000000,1753833600000000.0,0.0005913369314427541,0.0005913369314427541,0.5420343940683978,0.5420343940683978,0.0010909583190917124,,0.017318426418322323,,,14753239687722.0,12938974437093.926,1814265250628.0742,1727771040000000.0,1761532960167294.0,1694009119832706.0
C 0 1_4 01_13_28 - 17330YUV0 Corp Corp (Conv),2025-08-06T00:00:00.000000,1754438400000000.0,0.00034478512839797304,0.00034478512839797304,0.31158042136893954,0.31158042136893954,0.0011065686569237806,,0.017566232849034455,,,14840336167495.25,13319246783174.191,1521089384321.0586,1730410560000000.0,1763825851197099.2,1696995268802900.8
