series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-17T00:00:00.000000,30.3,,,,,,,,,,,0.0,0.0,0.0,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-18T00:00:00.000000,29.59,,-0.023711246103204964,-0.023711246103204964,,,,,,,,-0.056638176638177384,-0.011327635327635477,-0.04531054131054191,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-21T00:00:00.000000,26.45,,-0.11218030810780988,-0.11218030810780988,,,,,,,,-0.35085169763232216,-0.07923244778857282,-0.27161924984374936,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-22T00:00:00.000000,25.5,,-0.03657770613992817,-0.03657770613992817,,,,,,,,-0.6531460323413292,-0.1940151646991241,-0.45913086764220506,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-23T00:00:00.000000,25.0,,-0.019802627296179764,-0.019802627296179764,,,,,,,,-0.9224291033259782,-0.33969795242449496,-0.5827311509014832,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-24T00:00:00.000000,23.68,,-0.054245014852395634,-0.054245014852395634,,,,,,,,-1.228193001068071,-0.5173969621532102,-0.7107960389148609,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-25T00:00:00.000000,24.1,,0.017581030480804394,0.017581030480804394,,,,,,,,-1.4202508354692185,-0.6979677368164119,-0.7222830986528066,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-28T00:00:00.000000,24.26,,0.006617063019294989,0.006617063019294989,,,,,,,,-1.5417747702795879,-0.8667291435090472,-0.6750456267705407,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-29T00:00:00.000000,24.16,,-0.004130530449290237,-0.004130530449290237,,,,,,,,-1.6273929554412199,-1.0188619058954818,-0.6085310495457381,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-30T00:00:00.000000,22.9,,-0.05356146250642002,-0.05356146250642002,,,,,,,,-1.77643976198733,-1.1703774771138513,-0.6060622848734787,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-03-31T00:00:00.000000,23.08,,0.007829531079704743,0.007829531079704743,,,,,,,,-1.8586110233896953,-1.3080241863690203,-0.550586837020675,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-01T00:00:00.000000,22.14,,-0.04158051435940813,-0.04158051435940813,,,,,,,,-1.9767952193785625,-1.441778392970929,-0.5350168264076336,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-04T00:00:00.000000,22.91,,0.03418756918491361,0.03418756918491361,,,,,,,,-1.9854375926532768,-1.5505102329073988,-0.43492735974587804,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-05T00:00:00.000000,22.95,,0.0017444400411497085,0.0017444400411497085,,,,,,,20.226396450212917,-1.9663917302029397,-1.633686532366507,-0.3327051978364326,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-06T00:00:00.000000,23.49,,0.023256862164267478,0.023256862164267478,,,,,,,27.07893151259944,-1.8859838125543504,-1.684145988404076,-0.20183782415027451,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-07T00:00:00.000000,23.81,,0.013530861827949714,0.013530861827949714,,,,,,,30.868658646846896,-1.7759663977293414,-1.7025100702691291,-0.07345632746021225,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-08T00:00:00.000000,24.05,,0.01002933605299905,0.01002933605299905,,,,,,,33.65361337428007,-1.6503861850005812,-1.6920852932154196,0.041699108214838354,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-11T00:00:00.000000,23.73,,-0.013394926104098204,-0.013394926104098204,,,,,,,31.813366035318694,-1.5587163751988378,-1.6654115096121032,0.10669513441326539,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-12T00:00:00.000000,24.13,,0.016715809189268516,0.016715809189268516,,,,,,,36.48847496969519,-1.437223317659594,-1.6197738712216014,0.18255055356200733,,,
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-13T00:00:00.000000,22.66,,-0.06285462403708042,-0.06285462403708042,,,,,,,28.70050810613033,-1.4429227931754625,-1.5844036556123737,0.14148086243691127,24.4445,28.710282953987015,20.178717046012988
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-14T00:00:00.000000,21.85,,-0.03640033405826104,-0.03640033405826104,-0.9988153228770882,-0.9988153228770882,0.036443507848287565,,0.5785227520163971,,25.474098026939913,-1.4955600142414482,-1.5666349273381888,0.07107491309674052,24.022000000000002,27.434352792275035,20.60964720772497
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-15T00:00:00.000000,21.07,,-0.03635069372550159,-0.03635069372550159,-0.9908410005449219,-0.9908410005449219,0.03668670725727963,,0.5823834229475424,,22.814394690590234,-1.5819788055126196,-1.569703702973075,-0.012275102539544669,23.596000000000004,26.083521700513543,21.108478299486464
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-18T00:00:00.000000,23.02,,0.08851317547763893,0.08851317547763893,2.41024929406949,2.41024929406949,0.036723659953113136,,0.5829700288082357,,39.750468831596606,-1.4761020316594085,-1.5509833687103418,0.07488133705093336,23.424500000000002,25.526634003440435,21.32236599655957
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-19T00:00:00.000000,21.3,,-0.07765633057835686,-0.07765633057835686,-1.9654255912637135,-1.9654255912637135,0.03951120353959878,,0.6272209113998002,,32.89437712603976,-1.5135364449463857,-1.5434939839575508,0.029957539011165046,23.214500000000005,25.282496487831477,21.146503512168533
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-20T00:00:00.000000,20.59,,-0.03390155167568132,-0.03390155167568132,-0.8509739637528749,-0.8509739637528749,0.039838529872491396,,0.6324170558461798,,30.551840820151497,-1.5822552992886472,-1.5512462470237702,-0.031009052264876935,22.994000000000003,25.196461780539238,20.79153821946077
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-21T00:00:00.000000,21.14,,0.02636145940239354,0.02636145940239354,0.6730539192602955,0.6730539192602955,0.039166935438642865,,0.6217558247230293,,34.44633166296204,-1.5741888142372673,-1.5558347604664697,-0.018354053770797574,22.867,25.192402964513562,20.54159703548644
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-25T00:00:00.000000,23.13,,0.08996349580125607,0.08996349580125607,2.0252657648556562,2.0252657648556562,0.04442058783710685,,0.7051549710497115,,46.20164067573348,-1.3911830061287844,-1.5229044095989328,0.13172140347014838,22.8185,25.075067257910547,20.561932742089454
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-26T00:00:00.000000,22.35,,-0.03430415518376995,-0.03430415518376995,-0.763339619509831,-0.763339619509831,0.04493957120396545,,0.7133935765894327,,42.95052976905315,-1.2941706720708126,-1.477157662093309,0.1829869900224963,22.723000000000003,24.88226985710211,20.563730142897896
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-27T00:00:00.000000,22.02,,-0.014875189765044095,-0.014875189765044095,-0.33052942811633523,-0.33052942811633523,0.045004131250330086,,0.7144184355533024,,41.616266521040785,-1.2297402602354097,-1.427674181721729,0.1979339214863194,22.616,24.685674777401296,20.546325222598703
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-28T00:00:00.000000,21.95,,-0.0031839917733536005,-0.0031839917733536005,-0.07318405409479757,-0.07318405409479757,0.04350663286881152,,0.6906463857159834,,41.32301935158416,-1.1708305044072702,-1.3763054462588373,0.20547494185156712,22.5685,24.65427412109054,20.48272587890946
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-04-29T00:00:00.000000,21.85,,-0.004566217979581122,-0.004566217979581122,-0.10510170603907638,-0.10510170603907638,0.04344570751195438,,0.6896792256592923,,40.879853097659776,-1.1193105475116347,-1.3249064665093968,0.20559591899776208,22.507,24.601786510916114,20.41221348908389
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-05-02T00:00:00.000000,23.13,,0.056929554701748764,0.056929554701748764,1.2826503211997275,1.2826503211997275,0.04438431407283294,,0.704579142893402,,48.49408951991072,-0.9640819710548101,-1.2527415674184794,0.28865959636366934,22.556500000000003,24.661534316509936,20.45146568349007
Cboe Emerging Markets ETF EEM - VXEEM INDEX Index,2011-05-03T00:00:00.000000,25.56,,0.09989815326598617,0.09989815326598617,2.036108666145641,2.036108666145641,0.0490632719790411,,0.7788552969819995,,59.22948479840877,-0.6376312975224891,-1.1297195134392815,0.4920882159167923,22.689,25.18501703772883,20.19298296227117
