series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-03-31T00:00:00.000000,0.47,,,,,,,,,,0.0,0.0,0.0,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-01T00:00:00.000000,0.49,0.04167269640056803,0.04167269640056803,,,,,,,,0.0015954415954416157,0.0003190883190883232,0.0012763532763532925,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-03T00:00:00.000000,0.8,0.4902063365632551,0.33024168687057687,,,,,,,,0.027556594508161503,0.005766589556902959,0.021790004951258542,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-04T00:00:00.000000,0.65,-0.20763936477824452,-0.20763936477824452,,,,,,,,0.035616681895527025,0.011736608024627773,0.02388007387089925,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-07T00:00:00.000000,0.81,0.2200618847768017,0.2200618847768017,,,,,,,,0.054289209826989704,0.020247128385100163,0.03404208144188954,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-08T00:00:00.000000,0.65,-0.2200618847768017,-0.2200618847768017,,,,,,,,0.05553647006016438,0.02730499672011301,0.02823147334005137,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-09T00:00:00.000000,0.7,0.07410797215372178,0.07410797215372178,,,,,,,,0.0598693779914532,0.03381787297438105,0.026051505017072152,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-10T00:00:00.000000,0.8,0.13353139262452274,0.13353139262452274,,,,,,,,0.07055904229099341,0.041166106837703526,0.029392935453289887,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-11T00:00:00.000000,0.8,0.0,0.0,,,,,,,,0.07813004375312893,0.04855889422078861,0.029571149532340323,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-14T00:00:00.000000,0.75,-0.06453852113757119,-0.06453852113757119,,,,,,,,0.07918276519778633,0.05468366841618816,0.024499096781598173,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-15T00:00:00.000000,0.47,-0.4673405118262519,-0.41616039722491227,,,,,,,,0.05676899692567705,0.05510073411808594,0.0016682628075911088,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-16T00:00:00.000000,0.31,-0.41616039722491227,-0.41616039722491227,,,,,,,,0.02579787936860367,0.049240163168189494,-0.023442283799585822,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-17T00:00:00.000000,0.25,-0.2151113796169455,-0.2151113796169455,,,,,,,,-0.0035475589381472883,0.03868261874692214,-0.042230177685069425,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-21T00:00:00.000000,0.27,0.07696104113612834,0.07696104113612834,,,,,,,35.69796101774109,-0.024903129589440576,0.025965469079649597,-0.05086859866909017,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-22T00:00:00.000000,0.28,0.0363676441708749,0.0363676441708749,,,,,,,36.413980553596815,-0.04055318489071663,0.012661738285576355,-0.053214923176292984,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-23T00:00:00.000000,0.27,-0.0363676441708749,-0.0363676441708749,,,,,,,35.98248535449319,-0.05315020046988489,-0.0005006494655158955,-0.052649551004368994,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-24T00:00:00.000000,0.27,0.0,0.0,,,,,,,35.98248535449319,-0.0624139568299753,-0.012883310938407777,-0.049530645891567526,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-25T00:00:00.000000,0.33,0.2006706954621511,0.2006706954621511,,,,,,,40.85907842223678,-0.06417429065249647,-0.023141506881225515,-0.04103278377127095,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-28T00:00:00.000000,0.37,0.11441035117774423,0.11441035117774423,,,,,,,43.92579912380218,-0.061631255434785204,-0.030839456591937455,-0.03079179884284775,,,
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-29T00:00:00.000000,0.36,-0.027398974188114544,-0.027398974188114544,,,,,,,43.32100254227552,-0.05973421923361788,-0.036618409120273546,-0.023115810113344334,0.5049999999999998,0.9369112969361338,0.07308870306386572
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-04-30T00:00:00.000000,0.36,0.0,0.0,0.0,0.0,0.21842590578141352,,3.4674037595498737,,43.32100254227552,-0.05756720546650823,-0.040808168389520484,-0.016759037076987747,0.4994999999999997,0.9360643378158966,0.0629356621841029
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-01T00:00:00.000000,0.3,-0.18232155679395468,-0.18232155679395468,-0.8243041961153964,-0.8243041961153964,0.22118237132985677,,3.511161293582062,,39.533320085324,-0.059999690914311066,-0.0446464728944786,-0.015353218019832464,0.48999999999999977,0.9356101671333725,0.044389832866627066
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-02T00:00:00.000000,0.33,0.09531017980432499,0.09531017980432499,0.5071256487957472,0.5071256487957472,0.18794194304834436,,2.9834858533451025,,42.25205153961165,-0.05882856480174281,-0.047482891275931444,-0.011345673525811367,0.46649999999999975,0.892412024521003,0.04058797547899651
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-07T00:00:00.000000,0.35,0.058840500022933284,0.058840500022933284,0.31775366585432074,0.31775366585432074,0.18517646323523346,,2.9395852222975374,,44.057904329976296,-0.05564516326281621,-0.0491153456733084,-0.006529817589507811,0.4514999999999997,0.871288167130945,0.031711832869054324
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-08T00:00:00.000000,0.4,0.13353139262452285,0.13353139262452285,0.7420890925189131,0.7420890925189131,0.17993984006862307,,2.8564564066458735,,48.40203656653034,-0.04852830834470773,-0.04899793820758827,0.000469629862880544,0.4309999999999997,0.8156474804421922,0.04635251955780728
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-09T00:00:00.000000,0.48,0.18232155679395456,0.18232155679395456,1.0090546573974912,1.0090546573974912,0.180685511391613,,2.868293571928417,,54.49128315671233,-0.03601762932516733,-0.04640187643110409,0.010384247105936759,0.4224999999999997,0.7940614279454239,0.050938572054575526
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-12T00:00:00.000000,0.55,0.13613217432458002,0.13613217432458002,0.7446322607632828,0.7446322607632828,0.1828179915076983,,2.902145644306128,,59.045610042701895,-0.020221312380226397,-0.04116576362092855,0.020944451240702155,0.4149999999999997,0.7685980471486922,0.06140195285130717
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-13T00:00:00.000000,0.55,0.0,0.0,0.0,0.0,0.17963171496040628,,2.851565072191655,,59.045610042701895,-0.007614838279429603,-0.03445557855262876,0.02684074027319916,0.4024999999999997,0.7139566794241137,0.09104332057588571
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-14T00:00:00.000000,0.52,-0.05608946665104353,-0.05608946665104353,-0.31202135865877473,-0.31202135865877473,0.17976162558917239,,2.8536273394899294,,56.24774166258937,-0.00004435471579189443,-0.02757333378526139,0.027528979069469495,0.38849999999999973,0.6450581907933521,0.13194180920664728
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-15T00:00:00.000000,0.54,0.03774032798284699,0.03774032798284699,0.20975153013469355,0.20975153013469355,0.17992873739043405,,2.856280157093624,,57.68721845122215,0.007482882887807962,-0.02056209045064752,0.028044973338455483,0.3779999999999997,0.5845862888403834,0.17141371115961604
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-16T00:00:00.000000,0.55,0.01834913866819654,0.01834913866819654,0.1262730369876435,0.1262730369876435,0.14531319675151316,,2.3067754849218165,,58.42377139754119,0.014092737045752979,-0.01363112495136742,0.0277238619971204,0.38199999999999973,0.598925890813576,0.16507410918642357
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-19T00:00:00.000000,0.51,-0.07550755250814523,-0.07550755250814523,-0.6976633020381353,-0.6976633020381353,0.1082292164251143,,1.718085547513437,,54.34842933047229,0.015919913527952023,-0.007720917255503531,0.023640830783455555,0.39199999999999974,0.6133451698378046,0.17065483016219485
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-20T00:00:00.000000,0.55,0.07550755250814523,0.07550755250814523,0.8144803818853109,0.8144803818853109,0.09270641035375808,,1.4716686404252843,,57.538187037971625,0.02036092172878662,-0.0021045494586455016,0.02246547118743212,0.40699999999999975,0.6284877922262613,0.18551220777373825
Cboe Volatility Index - VIX 12_17_25 P15 Index Index,2025-05-21T00:00:00.000000,0.43,-0.24613306953890857,-0.24613306953890857,-2.1982039119346837,-2.1982039119346837,0.11197008075664913,,1.7774699277714752,,46.94160421939564,0.014035661239653774,0.0011234926810143534,0.012912168558639421,0.41499999999999976,0.627007944240429,0.2029920557595705
