series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
China Construction Bank Corp - 939 HK Equity Equity,2010-01-05T00:00:00.000000,6.548,218014438.0,,,,,,,,,,0.0,0.0,0.0,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-06T00:00:00.000000,6.519,313088437.0,-0.0044386695664861975,-0.0044386695664861975,,,,,,,,-0.0023133903133905065,-0.0004626780626781013,-0.0018507122507124053,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-07T00:00:00.000000,6.412,244784028.0,-0.016549755195095717,-0.016549755195095717,,,,,,,,-0.012635124714897472,-0.0028971673931219755,-0.009737957321775497,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-08T00:00:00.000000,6.335,367801564.0,-0.012081420974204171,-0.012081420974204171,,,,,,,,-0.026720413779155905,-0.007661816670328761,-0.019058597108827145,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-11T00:00:00.000000,6.364,280213051.0,0.004567296702438162,0.004567296702438162,,,,,,,,-0.03513800021093516,-0.013157053378450042,-0.021980946832485117,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-12T00:00:00.000000,6.228,422795956.0,-0.02160185650378854,-0.02160185650378854,,,,,,,,-0.0521815451337142,-0.020961951729502874,-0.031219593404211328,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-13T00:00:00.000000,5.985,800571744.0,-0.039798914961815424,-0.03892519032199182,,,,,,,,-0.08432470374690304,-0.03363450213298291,-0.05069020161392013,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-14T00:00:00.000000,5.927,372663512.0,-0.00973815620423557,-0.00973815620423557,,,,,,,,-0.11317390546667294,-0.049542382799720924,-0.06363152266695202,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-15T00:00:00.000000,5.956,360272130.0,0.0048809320160616565,0.0048809320160616565,,,,,,,,-0.13217343495690148,-0.06606859323115705,-0.06610484172574443,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-18T00:00:00.000000,5.985,396057778.0,0.004857224188173914,0.004857224188173914,,,,,,,,-0.14323946592551984,-0.0815027677700296,-0.06173669815549024,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-19T00:00:00.000000,6.228,427971425.0,0.039798914961815424,0.039798914961815424,,,,,,,,-0.13089245923796522,-0.09138070606361673,-0.03951175317434849,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-20T00:00:00.000000,6.034,445117781.0,-0.03164511323488273,-0.03164511323488273,,,,,,,,-0.13520301001850754,-0.10014516685459489,-0.03505784316391265,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-21T00:00:00.000000,5.937,527482682.0,-0.016206185448330857,-0.016206185448330857,,,,,,,,-0.14477733886345057,-0.10907160125636603,-0.03570573760708454,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-22T00:00:00.000000,6.015,699618962.0,0.013052394138103773,0.013052394138103773,,,,,,,35.02713252098064,-0.14440648723070204,-0.11613857845123324,-0.028267908779468803,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-25T00:00:00.000000,5.947,294918181.0,-0.011369458702185531,-0.011369458702185531,,,,,,,32.493921009900674,-0.14789477740754453,-0.1224898182424955,-0.025404959165049035,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-26T00:00:00.000000,5.772,392805089.0,-0.029868249812832204,-0.029868249812832204,,,,,,,27.06838103140784,-0.16290247167820393,-0.13057234892963718,-0.03233012274856675,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-27T00:00:00.000000,5.762,246002344.0,-0.0017340042492877128,-0.0017340042492877128,,,,,,,26.793078566508285,-0.17360191907911204,-0.13917826295953215,-0.0344236561195799,,,
China Construction Bank Corp - 939 HK Equity Equity,2010-01-28T00:00:00.000000,5.937,368069740.0,0.029919318626201674,0.029919318626201674,,,,,,,38.56816352227257,-0.16604619360598694,-0.1445518490888231,-0.021494344517163838,,,
