series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-05T00:00:00.000000,2196.0,565600.0,,,,,,,,,,0.0,0.0,0.0,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-06T00:00:00.000000,2200.0,553300.0,0.0018198367169857121,0.0018198367169857121,,,,,,,,0.31908831908867796,0.0638176638177356,0.2552706552709424,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-07T00:00:00.000000,2179.0,600900.0,-0.009591304401786793,-0.009591304401786793,,,,,,,,-1.109763719449802,-0.17089861283577193,-0.9388651066140301,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-08T00:00:00.000000,2199.0,1778700.0,0.009136655610141098,0.009136655610141098,,,,,,,,-0.6211462143792232,-0.2609481331444622,-0.36019808123476105,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-12T00:00:00.000000,2176.0,1155500.0,-0.010514382578928227,-0.010514382578928227,,,,,,,,-2.0660054771947216,-0.6219596019545142,-1.4440458752402074,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-13T00:00:00.000000,2191.0,813600.0,0.006869731619633335,0.006869731619633335,,,,,,,,-1.9778923015978762,-0.8931461418831866,-1.0847461597146895,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-14T00:00:00.000000,2185.0,717600.0,-0.0027422320657759514,-0.0027422320657759514,,,,,,,,-2.3649501577356205,-1.1875069450536735,-1.177443212681947,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-15T00:00:00.000000,2178.0,1005300.0,-0.003208804036784585,-0.003208804036784585,,,,,,,,-3.199654174279658,-1.5899363908988704,-1.6097177833807876,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-18T00:00:00.000000,2153.0,1323600.0,-0.01154480612854325,-0.01154480612854325,,,,,,,,-5.8114632564806925,-2.434241764015235,-3.3772214924654573,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-19T00:00:00.000000,2130.0,386900.0,-0.010740238660892132,-0.010740238660892132,,,,,,,,-9.626282756706587,-3.872649962553506,-5.753632794153081,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-20T00:00:00.000000,2235.0,1220500.0,0.04811924834419834,0.04811924834419834,,,,,,,,-4.1293318493994775,-3.9239863399227004,-0.2053455094767771,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-21T00:00:00.000000,2290.0,1637900.0,0.024310589500616153,0.024310589500616153,,,,,,,,4.6119183697087465,-2.216805397996411,6.828723767705157,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-22T00:00:00.000000,2229.0,1085400.0,-0.026998763162415784,-0.026998763162415784,,,,,,,,6.541821893286851,-0.46507993973975825,7.0069018330266095,,,
Dentsu Group Inc - 4324 JP Equity Equity,2010-01-25T00:00:00.000000,2201.0,654200.0,-0.012641251859407454,-0.012641251859407454,,,,,,,50.46804748774083,5.74568565799018,0.7770731798062293,4.9686124781839505,,,
