series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-07-22T00:00:00.000000,406.5,,,,,,,,,,,0.0,0.0,0.0,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-07-23T00:00:00.000000,346.4,,-0.15998975229958567,-0.15998975229958567,,,,,,,,-4.794301994302032,-0.9588603988604064,-3.835441595441625,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-07-24T00:00:00.000000,309.8,,-0.11166724870551192,-0.11166724870551192,,,,,,,,-11.415543705002506,-3.0501970600888266,-8.365346644913679,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-07-25T00:00:00.000000,320.1,,0.03270651899304955,0.03270651899304955,,,,,,,,-15.651382154069722,-5.570434078885006,-10.080948075184716,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-07-28T00:00:00.000000,347.1,,0.08097947589192334,0.08097947589192334,,,,,,,,-16.637849518392215,-7.783917166786448,-8.853932351605767,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-07-29T00:00:00.000000,290.5,,-0.1780093465757746,-0.1780093465757746,,,,,,,,-21.73621740191112,-10.574377213811385,-11.161840188099735,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-07-30T00:00:00.000000,268.4,,-0.0791251711944394,-0.0791251711944394,,,,,,,,-27.245921955643496,-13.908686162177808,-13.337235793465688,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-07-31T00:00:00.000000,309.9,,0.14377125969617577,0.14377125969617577,,,,,,,,-27.941605899956414,-16.71527010973353,-11.226335790222883,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-01T00:00:00.000000,521.0,,0.5195003769596642,0.5195003769596642,,,,,,,,-11.32834852413373,-15.63788579261357,4.30953726847984,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-04T00:00:00.000000,404.2,,-0.25384023678384615,-0.25384023678384615,,,,,,,,-7.500544614026069,-14.010417556896071,6.509872942870002,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-05T00:00:00.000000,380.0,,-0.061738552249089196,-0.061738552249089196,,,,,,,,-6.346560985149381,-12.477646242546733,6.131085257397352,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-06T00:00:00.000000,354.8,,-0.06861700228500744,-0.06861700228500744,,,,,,,,-7.380373686341102,-11.458191731305607,4.077818044964506,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-07T00:00:00.000000,289.7,,-0.20270834566011953,-0.20270834566011953,,,,,,,,-13.29939647290064,-11.826432679624613,-1.4729637932760262,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-08T00:00:00.000000,273.7,,-0.056813288728671196,-0.056813288728671196,,,,,,,39.7447528232613,-19.061600690599334,-13.273466281819559,-5.788134408779776,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-11T00:00:00.000000,291.8,,0.06403602004205222,0.06403602004205222,,,,,,,42.09225301663476,-21.915047292037343,-15.001782483863117,-6.913264808174226,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-12T00:00:00.000000,271.1,,-0.07358087958406578,-0.07358087958406578,,,,,,,40.16501585590009,-25.552191526303204,-17.111864292351136,-8.440327233952068,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-13T00:00:00.000000,233.3,,-0.15016257747723571,-0.15016257747723571,,,,,,,36.84726069395462,-31.12599750441683,-19.914690934764277,-11.211306569652553,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-14T00:00:00.000000,207.5,,-0.11719383935663075,-0.11719383935663075,,,,,,,34.73807540378034,-37.196346945908545,-23.371022136993133,-13.825324808915411,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-15T00:00:00.000000,202.7,,-0.02340428621279944,-0.02340428621279944,,,,,,,34.344190778072985,-41.911334719773436,-27.079084653549195,-14.83225006622424,,,
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-18T00:00:00.000000,210.0,,0.03538047725951454,0.03538047725951454,,,,,,,35.54123870145091,-44.54545522955618,-30.572358768750597,-13.973096460805586,311.925,468.1506920039251,155.69930799607494
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-19T00:00:00.000000,182.9,,-0.1381679753206484,-0.1381679753206484,-0.8302008028684273,-0.8302008028684273,0.16642717622443165,,2.6419495181554065,,33.12663005773136,-48.26340770611472,-34.11056855622343,-14.152839149891292,300.745,460.4380539306085,141.05194606939156
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-20T00:00:00.000000,214.6,,0.1598362747997779,0.1598362747997779,0.9423254692057899,0.9423254692057899,0.16961896926599151,,2.6926176619015294,,38.39867271341961,-48.09754816260795,-36.907964477500336,-11.189583685107614,294.15500000000003,456.7665225411714,131.54347745882862
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-21T00:00:00.000000,208.2,,-0.0302766740157292,-0.0302766740157292,-0.17981664702006409,-0.17981664702006409,0.16837525622614297,,2.672874329466925,,37.751580403320254,-47.93002233037211,-39.112376048074694,-8.817646282297417,289.075,455.9214642465609,122.22853575343908
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-22T00:00:00.000000,168.3,,-0.21275105498410873,-0.21275105498410873,-1.2282326326800288,-1.2282326326800288,0.17321723045241158,,2.7497382874106715,,33.914403561433986,-50.43546479992665,-41.376993798445085,-9.058471001481564,281.485,456.0226843640304,106.94731563596966
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-25T00:00:00.000000,185.6,,0.09784571915534013,0.09784571915534013,0.5628592831686738,0.5628592831686738,0.17383691107395022,,2.7595754123119347,,36.908760890539654,-50.443598190034294,-43.190314676762924,-7.25328351327137,273.40999999999997,450.09625657689924,96.7237434231007
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-26T00:00:00.000000,205.8,,0.10331100304784879,0.10331100304784879,0.5981444931854413,0.5981444931854413,0.1727191409849184,,2.741831362240786,,40.30963825722607,-48.26371867299579,-44.2049954760095,-4.058723196986293,269.175,448.18161410891173,90.16838589108826
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-27T00:00:00.000000,219.6,,0.0649028862354264,0.0649028862354264,0.375149928031147,0.375149928031147,0.1730051944193304,,2.746372319735567,,42.58655888978192,-44.904967271635144,-44.344989835134626,-0.5599774365005175,266.735,447.1112182363937,86.35878176360629
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-28T00:00:00.000000,195.1,,-0.11829546200630947,-0.11829546200630947,-0.6931995916353231,-0.6931995916353231,0.17065137290003207,,2.7090065615113934,,39.69177663507984,-43.71614532160467,-44.21922093242864,0.50307561082397,260.99500000000006,442.8876285361489,79.10237146385123
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-08-29T00:00:00.000000,224.1,,0.1385801331778156,0.1385801331778156,1.1461577321960097,1.1461577321960097,0.12090843108679249,,1.9193618403998636,,44.500695909565984,-39.973152109226305,-43.370007167788174,3.3968550585618686,246.1500000000001,381.0999478364205,111.2000521635797
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-01T00:00:00.000000,196.5,,-0.1314299494975657,-0.1314299494975657,-1.1689801532035706,-1.1689801532035706,0.11243129247094924,,1.7847914367582023,,41.13855613394257,-38.78678247435178,-42.4533622291009,3.6665797547491152,235.7650000000001,349.8590752186544,121.67092478134576
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-02T00:00:00.000000,334.0,,0.530478561667385,0.530478561667385,3.1380896859111953,3.1380896859111953,0.16904506077344694,,2.683507147022044,,58.116086486932176,-26.44661501142332,-39.252012785565384,12.805397774142065,233.4650000000001,336.64956177875456,130.2804382212456
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-03T00:00:00.000000,278.9,,-0.18028769834325775,-0.18028769834325775,-1.0420994264194812,-1.0420994264194812,0.17300431587675177,,2.7463583733044916,,51.68292737315846,-20.87244830956854,-35.57609989036602,14.703651580797477,229.67000000000007,318.6733967418037,140.6666032581965
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-04T00:00:00.000000,222.7,,-0.22502772037012075,-0.22502772037012075,-1.2905509519427902,-1.2905509519427902,0.17436562270661607,,2.7679684492837393,,46.08005970788841,-20.750551910000638,-32.61099029429294,11.860438384292301,226.32000000000008,310.735204417463,141.90479558253713
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-05T00:00:00.000000,262.5,,0.16442550776835585,0.16442550776835585,0.9215616611143111,0.9215616611143111,0.17842051672325418,,2.832337896248229,,50.197662303924304,-17.243646731877618,-29.537521581809877,12.293874849932259,225.76000000000008,308.99208895359357,142.52791104640656
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-08T00:00:00.000000,187.0,,-0.33914246517709135,-0.33914246517709135,-1.7594318450846642,-1.7594318450846642,0.1927568073321827,,3.0599194542944828,,43.423327058331964,-20.322354677999158,-27.694488201047736,7.3721335230485785,220.52000000000007,299.324103553318,141.7158964466821
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-09T00:00:00.000000,196.1,,0.04751611634771358,0.04751611634771358,0.24624685540869773,0.24624685540869773,0.19296131221188886,,3.0631658686160925,,44.39732491854752,-21.77692808674962,-26.510976178188116,4.7340480914384955,216.77000000000007,292.5184229469322,141.0215770530679
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-10T00:00:00.000000,211.8,,0.07701769996500563,0.07701769996500563,0.4025180034038457,0.4025180034038457,0.19133976446696693,,3.0374245961836066,,46.120721830140596,-21.415959354725118,-25.49197281349552,4.076013458770401,215.69500000000008,291.06497796833526,140.3250220316649
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-11T00:00:00.000000,176.2,,-0.18402271966522665,-0.18402271966522665,-0.948714185840088,-0.948714185840088,0.19397066304249916,,3.079188816316561,,42.87557320322667,-23.728978617615013,-25.13937397431942,1.4103953567044059,214.13000000000005,291.49002231535036,136.76997768464975
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-12T00:00:00.000000,164.5,,-0.0687091432966529,-0.0687091432966529,-0.3534023104879008,-0.3534023104879008,0.1944218847969452,,3.0863517396069993,,41.83376915866361,-26.204090819393542,-25.352317343334242,-0.8517734760593001,212.22000000000008,292.5957648731714,131.84423512682878
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-15T00:00:00.000000,144.9,,-0.12686672087879014,-0.12686672087879014,-0.647975247575077,-0.647975247575077,0.19578945546695573,,3.1080612509659225,,40.07695543790799,-29.408191936805252,-26.163492262028445,-3.2446996747768075,208.96500000000006,294.8062310452754,123.1237689547247
Deutsche Boerse AG German Stoc - DAX 10_17_25 P23000 INDEX Index,2025-09-16T00:00:00.000000,254.8,,0.5644350743713717,0.5644350743713717,2.4251371963181443,2.4251371963181443,0.2327435640459022,,3.694689538297748,,52.198691166381536,-22.81643991270556,-25.49408179216387,2.6776418794583066,212.56000000000003,299.8156896048678,125.30431039513222
