series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-02T00:00:00.000000,1483315200000000.0,,,,,,,,,,0.0,0.0,0.0,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-03T00:00:00.000000,1483401600000000.0,0.00005824620673422487,0.00005824620673422487,,,,,,,,6892307692.25,1378461538.45,5513846153.8,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-04T00:00:00.000000,1483488000000000.0,0.0000582428143047764,0.0000582428143047764,,,,,,,,19106026736.5,4923974578.06,14182052158.439999,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-05T00:00:00.000000,1483574400000000.0,0.00005823942228744272,0.00005823942228744272,,,,,,,,35349755028.25,11009130668.098001,24340624360.152,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-06T00:00:00.000000,1483660800000000.0,0.00005823603064669669,0.00005823603064669669,,,,,,,,54565784259.0,19720461386.278404,34845322872.721596,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-09T00:00:00.000000,1483920000000000.0,0.0001746877460959695,0.00017320516194985203,,,,,,,,89676168593.5,33711602827.722725,55964565765.777275,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-10T00:00:00.000000,1484006400000000.0,0.000058222468069857314,0.000058222468069857314,,,,,,,,123054661521.25,51580214566.42818,71474446954.82182,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-11T00:00:00.000000,1484092800000000.0,0.00005821907840442009,0.00005821907840442009,,,,,,,,154695877786.25,72203347210.39255,82492530575.85745,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-12T00:00:00.000000,1484179200000000.0,0.00005821568915109765,0.00005821568915109765,,,,,,,,184615396195.75,94685757007.46405,89929639188.28595,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-13T00:00:00.000000,1484265600000000.0,0.00005821230027436286,0.00005821230027436286,,,,,,,,212845042856.0,118317614177.17123,94527428678.82877,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-16T00:00:00.000000,1484524800000000.0,0.00017461657155593002,0.00017320516194985203,,,,,,,,253213625933.5,145296816528.437,107916809405.06299,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-17T00:00:00.000000,1484611200000000.0,0.0000581987487393576,0.0000581987487393576,,,,,,,,288848115513.5,174007076325.44962,114841039188.05038,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-18T00:00:00.000000,1484697600000000.0,0.00005819536184503704,0.00005819536184503704,,,,,,,,320367466432.25,203279154346.80972,117088312085.44028,,,
Dow Jones Brookfield Global In - DJBGICUT INDEX Index,2017-01-19T00:00:00.000000,1484784000000000.0,0.00005819197534862042,0.00005819197534862042,,,,,,,,348303510982.0,232284025673.84778,116019485308.15222,,,
