series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
ESTR - ESTRON INDEX Index,2019-10-02T00:00:00.000000,-0.551,,,,,,,,,,0.0,0.0,0.0,,,
ESTR - ESTRON INDEX Index,2019-10-03T00:00:00.000000,-0.555,NaN,NaN,,,,,,,,-0.00031908831908833424,-0.00006381766381766685,-0.0002552706552706674,,,
ESTR - ESTRON INDEX Index,2019-10-04T00:00:00.000000,-0.553,NaN,NaN,,,,,,,,-0.0004059057962192414,-0.00013223529029798178,-0.0002736705059212596,,,
ESTR - ESTRON INDEX Index,2019-10-07T00:00:00.000000,-0.554,NaN,NaN,,,,,,,,-0.0005490715598264195,-0.00021560254420366934,-0.0003334690156227502,,,
ESTR - ESTRON INDEX Index,2019-10-08T00:00:00.000000,-0.552,NaN,NaN,,,,,,,,-0.0004954370833382127,-0.00027156945203057805,-0.00022386763130763463,,,
ESTR - ESTRON INDEX Index,2019-10-09T00:00:00.000000,-0.552,NaN,NaN,,,,,,,,-0.000447769763202599,-0.0003068095142649823,-0.0001409602489376167,,,
ESTR - ESTRON INDEX Index,2019-10-10T00:00:00.000000,-0.552,NaN,NaN,,,,,,,,-0.00040532078288890716,-0.0003265117679897673,-0.00007880901489913986,,,
ESTR - ESTRON INDEX Index,2019-10-11T00:00:00.000000,-0.55,NaN,NaN,,,,,,,,-0.00020789983497493392,-0.00030278938138680064,0.00009488954641186673,,,
ESTR - ESTRON INDEX Index,2019-10-14T00:00:00.000000,-0.549,NaN,NaN,,,,,,,,0.000028916005527124256,-0.00023644830400401567,0.0002653643095311399,,,
ESTR - ESTRON INDEX Index,2019-10-15T00:00:00.000000,-0.551,NaN,NaN,,,,,,,,0.00005458179503137206,-0.00017824228419693812,0.00023282407922831018,,,
ESTR - ESTRON INDEX Index,2019-10-16T00:00:00.000000,-0.548,NaN,NaN,,,,,,,,0.0003133845441297689,-0.00007991691853159672,0.00039330146266136563,,,
ESTR - ESTRON INDEX Index,2019-10-17T00:00:00.000000,-0.548,NaN,NaN,,,,,,,,0.0005125788969091438,0.00003858224455655139,0.00047399665235259243,,,
ESTR - ESTRON INDEX Index,2019-10-18T00:00:00.000000,-0.547,NaN,NaN,,,,,,,,0.0007425735733384009,0.0001793805103129213,0.0005631930630254796,,,
ESTR - ESTRON INDEX Index,2019-10-21T00:00:00.000000,-0.549,NaN,NaN,,,,,,,56.26785673600393,0.0007547622962007505,0.0002944568674904872,0.00046030542871026335,,,
ESTR - ESTRON INDEX Index,2019-10-22T00:00:00.000000,-0.548,NaN,NaN,,,,,,,59.65634488200564,0.000835482665438203,0.00040266202708003036,0.0004328206383581727,,,
ESTR - ESTRON INDEX Index,2019-10-23T00:00:00.000000,-0.547,NaN,NaN,,,,,,,62.763472332395374,0.0009689760297645345,0.0005159248276169312,0.00045305120214760323,,,
ESTR - ESTRON INDEX Index,2019-10-24T00:00:00.000000,-0.548,NaN,NaN,,,,,,,57.956509845847656,0.0009827503063192244,0.00060928992335739,0.0003734603829618345,,,
ESTR - ESTRON INDEX Index,2019-10-25T00:00:00.000000,-0.548,NaN,NaN,,,,,,,57.956509845847656,0.0009823426847443972,0.0006839004756347914,0.0002984422091096058,,,
ESTR - ESTRON INDEX Index,2019-10-28T00:00:00.000000,-0.548,NaN,NaN,,,,,,,57.956509845847656,0.000970828534681667,0.0007412860874441666,0.0002295424472375004,,,
