series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-09-19T00:00:00.000000,1568851200000000.0,,,,,,,,,,0.0,0.0,0.0,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-09-20T00:00:00.000000,1568937600000000.0,0.00005507062809329,0.00005507062809329,,,,,,,,6892307692.5,1378461538.5,5513846154.0,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-09-23T00:00:00.000000,1569196800000000.0,0.00016519368997336414,0.00016519368997336414,,,,,,,,32890642121.5,7680897655.1,25209744466.4,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-09-24T00:00:00.000000,1569283200000000.0,0.00005505849966880305,0.00005505849966880305,,,,,,,,59777193117.25,18100156747.530003,41677036369.72,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-09-25T00:00:00.000000,1569369600000000.0,0.00005505546840112174,0.00005505546840112174,,,,,,,,87053240842.0,31890773566.424004,55162467275.576,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-09-26T00:00:00.000000,1569456000000000.0,0.000055052437460290093,0.000055052437460290093,,,,,,,,114323611671.0,48377341187.3392,65946270483.6608,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-09-27T00:00:00.000000,1569542400000000.0,0.00005504940685341353,0.00005504940685341353,,,,,,,,141278761332.75,66957625216.421364,74321136116.32864,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-09-30T00:00:00.000000,1569801600000000.0,0.00016513004028695377,0.00016513004028695377,,,,,,,,181464377035.25,89858975580.1871,91605401455.0629,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-01T00:00:00.000000,1569888000000000.0,0.00005503728777256356,0.00005503728777256356,,,,,,,,217773171366.0,115441814737.3497,102331356628.6503,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-02T00:00:00.000000,1569974400000000.0,0.00005503425884256785,0.00005503425884256785,,,,,,,,250630794601.0,142479610710.07977,108151183890.92023,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-03T00:00:00.000000,1570060800000000.0,0.000055031230232316375,0.000055031230232316375,,,,,,,,280410063009.0,170065701169.86383,110344361839.13617,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-04T00:00:00.000000,1570147200000000.0,0.00005502820197023084,0.00005502820197023084,,,,,,,,307438150075.0,197540190950.89105,109897959124.10895,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-07T00:00:00.000000,1570406400000000.0,0.0001650664396137813,0.0001650664396137813,,,,,,,,345787356179.75,227189623996.66284,118597732183.08716,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-08T00:00:00.000000,1570492800000000.0,0.000055016092225912416,0.000055016092225912416,,,,,,,,378784741519.25,257508647501.1803,121276094018.0697,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-09T00:00:00.000000,1570579200000000.0,0.00005501306561228603,0.00005501306561228603,,,,,,,,407213066312.25,287449531263.3942,119763535048.85577,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-10T00:00:00.000000,1570665600000000.0,0.00005501003934682558,0.00005501003934682558,,,,,,,,431737673300.0,316307159670.7154,115430513629.2846,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-11T00:00:00.000000,1570752000000000.0,0.00005500701340821479,0.00005500701340821479,,,,,,,,452924329221.75,343630593580.92236,109293735640.82764,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-14T00:00:00.000000,1571011200000000.0,0.00016500288792542506,0.00016500288792542506,,,,,,,,485038953328.75,371912265530.4879,113126687798.26208,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-15T00:00:00.000000,1571097600000000.0,0.00005499491298621706,0.00005499491298621706,,,,,,,,511564781864.5,399842768797.29034,111722013067.20966,,,
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-16T00:00:00.000000,1571184000000000.0,0.00005499188871027627,0.00005499188871027627,,,,,,,,533409635767.75,426556142191.38226,106853493576.36774,1570034880000000.0,1571481823763647.2,1568587936236352.8
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-18T00:00:00.000000,1571356800000000.0,0.00010997470592855052,0.00010997470592855052,2.420652763665108,2.420652763665108,0.0000454318387086787,,0.0007212080809653701,,,558230422890.75,452890998331.25586,105339424559.49414,1570160160000000.0,1571609464173370.0,1568710855826630.0
ETSY 0 1_8 10_01_26 - ETSY 0.125 10_01_26 Corp Corp (Conv),2019-10-21T00:00:00.000000,1571616000000000.0,0.00016493938515083073,0.00016493938515083073,3.379709712741239,3.379709712741239,0.00004880282603237262,,0.000774720845752842,,,591992231344.75,480711244933.9547,111280986410.79529,1570294080000000.0,1571762585729035.8,1568825574270964.2
