series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-01T00:00:00.000000,1577836800000000.0,,,,,,,,,,0.0,0.0,0.0,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-02T00:00:00.000000,1577923200000000.0,0.000054757015760742433,0.000054757015760742433,,,,,,,,6892307692.5,1378461538.5,5513846154.0,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-03T00:00:00.000000,1578009600000000.0,0.00005475401759014176,0.00005475401759014176,,,,,,,,19106026737.0,4923974578.2,14182052158.8,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-06T00:00:00.000000,1578268800000000.0,0.00016424406705084493,0.00016330529961550155,,,,,,,,49134370413.25,13766053745.21,35368316668.04,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-07T00:00:00.000000,1578355200000000.0,0.000054742028204657345,0.000054742028204657345,,,,,,,,78993222348.5,26811487465.868,52181734882.632,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-08T00:00:00.000000,1578441600000000.0,0.000054739031682515815,0.000054739031682515815,,,,,,,,108379009792.25,43124991931.1444,65254017861.1056,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-09T00:00:00.000000,1578528000000000.0,0.00005473603548011852,0.00005473603548011852,,,,,,,,137059281894.5,61911849923.81552,75147431970.68448,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-10T00:00:00.000000,1578614400000000.0,0.000054733039611676304,0.000054733039611676304,,,,,,,,164859959103.75,82501471759.80243,82358487343.94757,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-13T00:00:00.000000,1578873600000000.0,0.00016418114689997765,0.00016330529961550155,,,,,,,,205439293565.75,107089036120.99194,98350257444.75806,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-14T00:00:00.000000,1578960000000000.0,0.000054721059413509465,0.000054721059413509465,,,,,,,,241783338588.0,134027896614.39357,107755441973.60643,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-15T00:00:00.000000,1579046400000000.0,0.00005471806518642097,0.00005471806518642097,,,,,,,,274394959747.0,162101309240.91486,112293650506.08514,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-16T00:00:00.000000,1579132800000000.0,0.00005471507127907671,0.00005471507127907671,,,,,,,,303710674788.75,190423182350.48187,113287492438.26813,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-17T00:00:00.000000,1579219200000000.0,0.000054712077705687534,0.000054712077705687534,,,,,,,,330110044980.75,218360554876.5355,111749490104.21451,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-20T00:00:00.000000,1579478400000000.0,0.0001641182749381187,0.00016330529961550155,,,,,,,,367708297467.75,248230103394.77838,119478194072.97162,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-21T00:00:00.000000,1579564800000000.0,0.000054700106680627414,0.000054700106680627414,,,,,,,,399867517536.0,278557586223.0227,121309931312.9773,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-22T00:00:00.000000,1579651200000000.0,0.00005469711474148653,0.00005469711474148653,,,,,,,,427398900580.5,308325849094.5182,119073051485.98181,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-23T00:00:00.000000,1579737600000000.0,0.000054694123129195305,0.000054694123129195305,,,,,,,,450990737432.25,336858826762.0646,114131910670.18542,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-24T00:00:00.000000,1579824000000000.0,0.00005469113184375374,0.00005469113184375374,,,,,,,,471227182402.25,363732497890.1017,107494684512.14832,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-27T00:00:00.000000,1580083200000000.0,0.00016405545110842468,0.00016330529961550155,,,,,,,,502388759716.0,391463750255.2814,110925009460.71863,,,
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-28T00:00:00.000000,1580169600000000.0,0.00005467916998469491,0.00005467916998469491,,,,,,,,527970180577.75,418765036319.7751,109205144257.97491,1578985920000000.0,1580432863763647.2,1577538976236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-29T00:00:00.000000,1580256000000000.0,0.000054676180333501634,0.000054676180333501634,1.2174493114713003,1.2174493114713003,0.000044910436778205484,,0.0007129310819185235,,,548888157827.5,444789660621.32007,104098497206.17993,1579106880000000.0,1580553823763647.2,1577659936236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-30T00:00:00.000000,1580342400000000.0,0.000054673191016263445,0.000054673191016263445,1.2173244741345208,1.2173244741345208,0.00004491258672436891,,0.0007129652112558071,,,565914058432.5,469014540183.5561,96899518248.94391,1579227840000000.0,1580662567526525.0,1577793112473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-01-31T00:00:00.000000,1580428800000000.0,0.00005467020201876949,0.00005467020201876949,1.217199668219489,1.2172062334921119,0.000044914736214758154,,0.0007129993333578998,,,579696583881.5,491150948923.1449,88545634958.3551,1579348800000000.0,1580758777558612.0,1577938822441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-03T00:00:00.000000,1580688000000000.0,0.00016399267536115758,0.00016330529961550155,3.6532976916176256,3.6532976916176256,0.00004488894396354108,,0.0007125898940630626,,,604565553006.75,513833869739.86597,90731683266.88403,1579469760000000.0,1580904487526525.0,1578035032473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-04T00:00:00.000000,1580774400000000.0,0.000054658249311501095,0.000054658249311501095,1.2175744773904977,1.2175744773904977,0.00004489109317455841,,0.0007126240117302637,,,624052459837.0,535877587759.29285,88174872077.70715,1579590720000000.0,1581037663763647.2,1578143776236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-05T00:00:00.000000,1580860800000000.0,0.00005465526194825543,0.00005465526194825543,1.2174496560800885,1.2174496560800885,0.00004489324193021087,,0.0007126581221687715,,,639100578181.5,556522185843.7344,82578392337.76562,1579711680000000.0,1581158623763647.2,1578264736236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-06T00:00:00.000000,1580947200000000.0,0.00005465227491896485,0.00005465227491896485,1.2173248665105794,1.2173248665105794,0.000044895390230238005,,0.0007126922253744518,,,650499524711.75,575317653617.3375,75181871094.41248,1579832640000000.0,1581267367526525.0,1578397912473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-07T00:00:00.000000,1581033600000000.0,0.00005464928820231307,0.00005464928820231307,1.217200108181189,1.2172062334921119,0.00004489753807529085,,0.0007127263213576389,,,658909530970.75,592036029088.02,66873501882.72998,1579953600000000.0,1581363577558612.0,1578543622441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-10T00:00:00.000000,1581292800000000.0,0.000163929947639474,0.00016330529961550155,3.6532983618631225,3.6532983618631225,0.000044871765566903326,,0.0007123171954705045,,,678666549766.75,609362133223.766,69304416542.98401,1580074560000000.0,1581509287526525.0,1578639832473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-11T00:00:00.000000,1581379200000000.0,0.00005463734463972969,0.00005463734463972969,1.2175747739648162,1.2175747739648162,0.00004487391313291821,,0.0007123512870241015,,,693303911504.25,626150488879.8628,67153422624.38721,1580195520000000.0,1581642463763647.2,1578748576236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-12T00:00:00.000000,1581465600000000.0,0.000054634359557326206,0.000054634359557326206,1.2174500002906228,1.2174500002906228,0.000044876060244185964,,0.0007123853713588114,,,703763338375.25,641673058778.9403,62090279596.30969,1580316480000000.0,1581763423763647.2,1578869536236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-13T00:00:00.000000,1581552000000000.0,0.000054631374815983236,0.000054631374815983236,1.2173252585023113,1.2173252585023113,0.0000448782069002633,,0.0007124194484675975,,,710830258705.75,655504498764.3022,55325759941.447754,1580437440000000.0,1581872167526525.0,1579002712473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-14T00:00:00.000000,1581638400000000.0,0.00005462839038727907,0.00005462839038727907,1.2172005479405819,1.2172062334921119,0.00004488035310180108,,0.0007124535183607918,,,715158697612.0,667435338533.8418,47723359078.1582,1580558400000000.0,1581968377558612.0,1579148422441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-17T00:00:00.000000,1581897600000000.0,0.00016386726787942507,0.00016330529961550155,3.6532990314538263,3.6532990314538263,0.00004485460031291615,,0.0007120447055110567,,,731076891084.25,680163649043.9235,50913242040.32654,1580679360000000.0,1582114087526525.0,1579244632473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-18T00:00:00.000000,1581984000000000.0,0.00005461645595516984,0.00005461645595516984,1.2175750703834984,1.2175750703834984,0.00004485674623575148,,0.0007120787709799868,,,742109357296.75,692552790694.4888,49556566602.26123,1580800320000000.0,1582247263763647.2,1579353376236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-19T00:00:00.000000,1582070400000000.0,0.00005461347315360854,0.00005461347315360854,1.2174503443740696,1.2174503443740696,0.000044858891704274875,,0.0007121128292369384,,,749188248405.75,703879882236.7411,45308366169.00891,1580921280000000.0,1582368223763647.2,1579474336236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-20T00:00:00.000000,1582156800000000.0,0.00005461049068600232,0.00005461049068600232,1.2173256500689518,1.2173256500689518,0.00004486103671840733,,0.0007121468802806576,,,753088938039.0,713721693397.193,39367244641.80701,1581042240000000.0,1582476967526525.0,1579607512473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-21T00:00:00.000000,1582243200000000.0,0.00005460750855235119,0.00005460750855235119,1.2172009874619512,1.2172062334921119,0.000044863181278069894,,0.0007121809241098909,,,754455131477.75,721868381013.3044,32586750464.445557,1581163200000000.0,1582573177558612.0,1579753222441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-24T00:00:00.000000,1582502400000000.0,0.00016380463603127282,0.00016330529961550155,3.6532997005412726,3.6532997005412726,0.00004483744818608874,,0.0007117724239388096,,,767604654753.5,731015635761.3435,36589018992.156494,1581284160000000.0,1582718887526525.0,1579849432473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-25T00:00:00.000000,1582588800000000.0,0.00005459558323650526,0.00005459558323650526,1.2175753665913434,1.2175753665913434,0.000044839592467567765,,0.0007118064633520162,,,776051664103.25,740022841429.7249,36028822673.52515,1581405120000000.0,1582852063763647.2,1579958176236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-26T00:00:00.000000,1582675200000000.0,0.00005459260271578614,0.00005459260271578614,1.2174506882702292,1.2174506882702292,0.00004484173629516943,,0.000711840495560143,,,780718105456.0,748161894234.98,32556211221.02002,1581526080000000.0,1582973023763647.2,1580079136236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-27T00:00:00.000000,1582761600000000.0,0.00005458962252191668,0.00005458962252191668,1.2173260414717382,1.2173260414717382,0.00004484387966917904,,0.0007118745205677192,,,782369384516.5,755003392291.284,27365992225.215942,1581647040000000.0,1583081767526525.0,1580212312473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-02-28T00:00:00.000000,1582848000000000.0,0.000054586642662002305,0.000054586642662002305,1.217201426353097,1.2172062334921119,0.000044846022589335435,,0.0007119085383705989,,,781639538942.5,760330621621.5272,21308917320.97278,1581768000000000.0,1583177977558612.0,1580358022441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-02T00:00:00.000000,1583107200000000.0,0.0001637420520594901,0.00016330529961550155,3.653300369416287,3.653300369416287,0.00004482030917311415,,0.0007115003505425223,,,792837072593.0,766831911815.8218,26005160777.178223,1581888960000000.0,1583323687526525.0,1580454232473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-03T00:00:00.000000,1583193600000000.0,0.00005457472645531425,0.00005457472645531425,1.2175756623053207,1.2175756623053207,0.00004482245181542486,,0.0007115343639347387,,,799467196420.75,773358968736.8075,26108227683.942505,1582009920000000.0,1583456863763647.2,1580562976236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-04T00:00:00.000000,1583280000000000.0,0.00005457174821543731,0.00005457174821543731,1.2174510316861307,1.2174510316861307,0.00004482459400429205,,0.0007115683701287622,,,802443308292.5,779175836647.946,23267471644.553955,1582130880000000.0,1583577823763647.2,1580683936236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-05T00:00:00.000000,1583366400000000.0,0.00005456877030951546,0.00005456877030951546,1.2173264327396385,1.2173264327396385,0.000044826735739818286,,0.0007116023691262211,,,802522674479.0,783845204214.1569,18677470264.84314,1582251840000000.0,1583686567526525.0,1580817112473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-06T00:00:00.000000,1583452800000000.0,0.00005456579271623241,0.00005456579271623241,1.2172018649791818,1.2172062334921119,0.00004482887702210813,,0.0007116363609287753,,,800331606112.5,787142484593.8256,13189121518.674438,1582372800000000.0,1583782777558612.0,1580962822441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-09T00:00:00.000000,1583712000000000.0,0.0001636795158788118,0.00016330529961550155,3.6533010375122763,3.6533010375122763,0.000044803183257591534,,0.0007112284850618395,,,810171292080.5,791748246091.1604,18423045989.3396,1582493760000000.0,1583928487526525.0,1581059032473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-10T00:00:00.000000,1583798400000000.0,0.0000545538856115968,0.0000545538856115968,1.217575957985174,1.217575957985174,0.000044805324262374346,,0.0007112624724591063,,,815540034168.5,796506603706.6284,19033430461.871582,1582614720000000.0,1584061663763647.2,1581167776236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-11T00:00:00.000000,1583884800000000.0,0.00005455090965256204,0.00005455090965256204,1.217451375101237,1.217451375101237,0.00004480746481396505,,0.0007112964526621712,,,817344717751.25,800674226515.5527,16670491235.697266,1582735680000000.0,1584182623763647.2,1581288736236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-12T00:00:00.000000,1583971200000000.0,0.00005454793400616609,0.00005454793400616609,1.2173268233860872,1.2173268233860872,0.00004480960491319567,,0.0007113304256842427,,,816336481609.5,803806677534.3423,12529804075.157715,1582856640000000.0,1584291367526525.0,1581421912473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-13T00:00:00.000000,1584057600000000.0,0.00005454495869372522,0.00005454495869372522,1.2172023033192172,1.2172062334921119,0.00004481174455962276,,0.0007113643915182807,,,813135880853.25,805672518198.1239,7463362655.126099,1582977600000000.0,1584387577558612.0,1581567622441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-16T00:00:00.000000,1584316800000000.0,0.00016361702744660533,0.00016330529961550155,3.653301705065094,3.653301705065094,0.00004478607042494182,,0.0007109568272653255,,,822038704980.5,808945755554.5991,13092949425.900879,1583098560000000.0,1584533287526525.0,1581663832473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-17T00:00:00.000000,1584403200000000.0,0.00005453306068403663,0.00005453306068403663,1.217576253546048,1.217576253546048,0.00004478820979401946,,0.0007109907886965777,,,826538197331.25,812464243909.9293,14073953421.320679,1583219520000000.0,1584666463763647.2,1581772576236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-18T00:00:00.000000,1584489600000000.0,0.00005453008698452777,0.00005453008698452777,1.2174517179299562,1.2174517179299562,0.0000447903487107035,,0.0007110247429463039,,,827536509602.25,815478697048.3936,12057812553.856445,1583340480000000.0,1584787423763647.2,1581893536236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-19T00:00:00.000000,1584576000000000.0,0.000054527113626079426,0.000054527113626079426,1.2173272141185745,1.2173272141185745,0.000044792487174913496,,0.0007110586900132275,,,825780355289.0,817539028696.5149,8241326592.485107,1583461440000000.0,1584896167526525.0,1582026712473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-20T00:00:00.000000,1584662400000000.0,0.00005452414057316446,0.00005452414057316446,1.2172027412878448,1.2172062334921119,0.00004479462518748186,,0.0007110926299105624,,,821886156265.5,818408454210.3119,3477702055.1881104,1583582400000000.0,1584992377558612.0,1582172422441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-23T00:00:00.000000,1584921600000000.0,0.0001635545867060273,0.00016330529961550155,3.6533023720382136,3.6533023720382136,0.00004476897066003835,,0.000710685376912852,,,830145844708.25,820755932309.8995,9389912398.350464,1583703360000000.0,1585138087526525.0,1582268632473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-24T00:00:00.000000,1585008000000000.0,0.00005451225164421203,0.00005451225164421203,1.2175765487591301,1.2175765487591301,0.00004477110839541641,,0.0007107193124099272,,,834049066768.0,823414559201.5197,10634507566.480347,1583824320000000.0,1585271263763647.2,1582377376236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-25T00:00:00.000000,1585094400000000.0,0.000054509280218439926,0.000054509280218439926,1.2174520607562096,1.2174520607562096,0.00004477324567883352,0.000044075362827454124,0.0007107532407323448,0.0006996746939183057,,834494621752.0,825630571711.6157,8864050040.384277,1583945280000000.0,1585392223763647.2,1582498336236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-26T00:00:00.000000,1585180800000000.0,0.00005450630911951748,0.00005450630911951748,1.2173276042224002,1.2173276042224002,0.000044775382510392356,0.00004407746954651629,0.0007107871618817347,0.0006997081370466303,,832226100765.0,826949677522.2926,5276423242.707397,1584066240000000.0,1585500967526525.0,1582631512473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-27T00:00:00.000000,1585267200000000.0,0.00005450333834033927,0.00005450333834033927,1.2172031789780478,1.2172062334921119,0.000044777518890560045,0.00004407957581966999,0.0007108210758655123,0.0006997415730963775,,827857019071.25,827131145832.0841,725873239.1658936,1584187200000000.0,1585597177558612.0,1582777222441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-30T00:00:00.000000,1585526400000000.0,0.00016349219361444511,0.00016330529961550155,3.6533030387724192,3.6533030387724192,0.000044751883947021725,0.00004405430179496892,0.0007104141337526588,0.0006993403603924451,,835676604421.75,828840237550.0173,6836366871.732666,1584308160000000.0,1585742887526525.0,1582873432473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-03-31T00:00:00.000000,1585612800000000.0,0.00005449145847791215,0.00005449145847791215,1.2175768437476095,1.2175768437476095,0.00004475402005034159,0.00004405640779486364,0.0007104480433416134,0.0006993737921043403,,839171987765.25,830906587593.064,8265400172.186035,1584429120000000.0,1585876063763647.2,1582982176236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-01T00:00:00.000000,1585699200000000.0,0.00005448848931877137,0.00005448848931877137,1.2174524032222176,1.2174524032222176,0.00004475615570231518,0.000044058513349132474,0.000710481945765668,0.0006994072167421441,,839239630125.5,832573196099.5511,6666434025.948853,1584550080000000.0,1585997023763647.2,1583103136236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-02T00:00:00.000000,1585785600000000.0,0.000054485520486480254,0.000054485520486480254,1.217327994142692,1.217327994142692,0.00004475829090322686,0.00004406061845781753,0.0007105158410293369,0.0006994406343065247,,836620949580.25,833382746795.691,3238202784.55896,1584671040000000.0,1586105767526525.0,1583236312473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-03T00:00:00.000000,1585872000000000.0,0.00005448255197393337,0.00005448255197393337,1.217203616344172,1.2172062334921119,0.000044760425652997805,0.000044062723121139634,0.0007105497291313684,0.0006994740448009874,,831927442605.0,833091685957.5529,-1164243352.5528564,1584792000000000.0,1586201977558612.0,1583382022441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-06T00:00:00.000000,1586131200000000.0,0.00016342984810080452,0.00016330529961550155,3.653303704854063,3.653303704854063,0.00004473481027149726,0.00004403746841277356,0.0007101430975562376,0.0006990731387343669,,839446462010.75,834362641168.1924,5083820842.557617,1584912960000000.0,1586347687526525.0,1583478232473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-07T00:00:00.000000,1586217600000000.0,0.00005447068117092613,0.00005447068117092613,1.2175771385751966,1.2175771385751966,0.00004473694474476375,0.000044039572803169564,0.0007101769812688971,0.0006991065448962622,,842663397875.5,836022792509.6539,6640605365.846069,1585033920000000.0,1586480863763647.2,1583586976236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-08T00:00:00.000000,1586304000000000.0,0.00005446771427841668,0.00005446771427841668,1.217452745545352,1.217452745545352,0.00004473907876729797,0.000044041676748425576,0.0007102108578264035,0.0006991399439917792,,842473095229.75,837312853053.6731,5160242176.076904,1585154880000000.0,1586601823763647.2,1583707936236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-09T00:00:00.000000,1586390400000000.0,0.00005446474770565146,0.00005446474770565146,1.217328383794154,1.217328383794154,0.00004474121233902098,0.00004404378024864359,0.000710244727227504,0.000699173336022537,,839615472413.25,837773376925.5885,1842095487.661499,1585275840000000.0,1586710567526525.0,1583841112473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-10T00:00:00.000000,1586476800000000.0,0.0000544617814597359,0.0000544617814597359,1.2172040534644424,1.2172062334921119,0.00004474334546021693,0.00004404588330398418,0.0007102785894767091,0.0006992067209910846,,834700634339.0,837158828408.2709,-2458194069.270874,1585396800000000.0,1586806777558612.0,1583986822441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-13T00:00:00.000000,1586736000000000.0,0.00016336755012247295,0.00016330529961550155,3.653304370519695,3.653304370519695,0.00004471774961888362,0.00004402064788997845,0.0007098722680921166,0.0006988061212129392,,842014642863.75,838129991299.3667,3884651564.383301,1585517760000000.0,1586952487526525.0,1584083032473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-14T00:00:00.000000,1586822400000000.0,0.00005444991969483226,0.00005444991969483226,1.2175774329979208,1.2175774329979208,0.000044719882464284504,0.00004402275067278736,0.0007099061259632107,0.0006988395018551805,,845041690649.5,839512331169.3934,5529359480.106567,1585638720000000.0,1587085663763647.2,1584191776236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-15T00:00:00.000000,1586908800000000.0,0.00005444695506895414,0.00005444695506895414,1.2174530874914693,1.2174530874914693,0.000044722014859020715,0.000044024853010882175,0.000709939976680225,0.0006988728754378044,,844675512240.75,840544967383.6648,4130544857.085205,1585759680000000.0,1587206623763647.2,1584312736236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-16T00:00:00.000000,1586995200000000.0,0.00005444399075571482,0.00005444399075571482,1.217328773076534,1.217328773076534,0.00004472414680392336,0.00004402695490448409,0.0007099738202563528,0.0006989062419643224,,841654996253.75,840766973157.6819,888023096.0681152,1585880640000000.0,1587315367526525.0,1584445912473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-17T00:00:00.000000,1587081600000000.0,0.00005444102677643059,0.00005444102677643059,1.217204490238554,1.2172062334921119,0.00004472627829836625,0.00004402905635363414,0.0007100076566816535,0.0006989396014353856,,836589292887.75,839931437103.6956,-3342144215.9455566,1586001600000000.0,1587411577558612.0,1584591622441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-20T00:00:00.000000,1587340800000000.0,0.00016330529961550155,0.00016330529961550155,3.6533050355291192,3.6533050355291192,0.000044700701974602445,0.0000440038402117769,0.0007096016451288718,0.000698539307593113,,843763578935.75,840697865470.1066,3065713465.6434326,1586122560000000.0,1587557287526525.0,1584687832473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-21T00:00:00.000000,1587427200000000.0,0.000054429174049630547,0.000054429174049630547,1.2175777274320059,1.2175777274320059,0.00004470283319359591,0.00004400594138873042,0.0007096354771815485,0.0006985726627431902,,846661226649.25,841890537705.9353,4770688943.314697,1586243520000000.0,1587690463763647.2,1584796576236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-22T00:00:00.000000,1587513600000000.0,0.000054426211683278325,0.000054426211683278325,1.217453429307902,1.217453429307902,0.000044704963962538214,0.000044008042121455225,0.0007096693020898846,0.0006986060108413553,,846175210166.75,842747472198.0983,3427737968.6517334,1586364480000000.0,1587811423763647.2,1584917536236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-23T00:00:00.000000,1587600000000000.0,0.00005442324962245948,0.00005442324962245948,1.2173291621029196,1.2173291621029196,0.000044707094282079015,0.00004401014241029171,0.0007097031198641929,0.0006986393518930118,,843043713376.5,842806720433.7787,236992942.72131348,1586485440000000.0,1587920167526525.0,1585050712473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-24T00:00:00.000000,1587686400000000.0,0.00005442028789559572,0.00005442028789559572,1.2172049264517453,1.2172062334921119,0.00004470922415195561,0.0000440122422552213,0.0007097369305003033,0.0006986726858978648,,837875233402.75,841820423027.573,-3945189624.822998,1586606400000000.0,1588016377558612.0,1585196422441388.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-27T00:00:00.000000,1587945600000000.0,0.0001632430965443632,0.0001632430965443632,3.65330570029315,3.65330570029315,0.00004468366732388811,0.00004398704536377492,0.0007093312284321059,0.0006982726976463907,,844954341874.5,842447206796.9585,2507135077.541504,1586727360000000.0,1588162087526525.0,1585292632473475.0
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-28T00:00:00.000000,1588032000000000.0,0.00005440844419979385,0.00005440844419979385,1.217578021469571,1.217578021469571,0.000044685796918479926,0.00004398914493678462,0.0007093650346982059,0.0006983060273346493,,847763850314.25,843510535500.4169,4253314813.83313,1586848320000000.0,1588295263763647.2,1585401376236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-29T00:00:00.000000,1588118400000000.0,0.0000544054840858621,0.0000544054840858621,1.2174537705865023,1.2174537705865023,0.00004468792606363404,0.00004399124406611032,0.0007093988338297036,0.0006983393499796427,,847196213333.0,844247671066.9335,2948542266.0665283,1586969280000000.0,1588416223763647.2,1585522336236352.8
EURO 1 MO - EUR1M BGN Curncy BGN Curncy,2020-04-30T00:00:00.000000,1588204800000000.0,0.00005440252429167458,0.00005440252429167458,1.217329550932043,1.217329550932043,0.000044690054759634755,0.000043993342751972174,0.000709432625831112,0.0006983726655848657,,843989133495.0,844195963552.5469,-206830057.546875,1587090240000000.0,1588524967526525.0,1585655512473475.0
