series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-04T00:00:00.000000,14.51,,,,,,,,,,,0.0,0.0,0.0,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-05T00:00:00.000000,14.42,,-0.00622193503929358,-0.00622193503929358,,,,,,,,-0.007179487179488575,-0.001435897435897715,-0.00574358974359086,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-06T00:00:00.000000,13.8,,-0.043947539693643733,-0.043947539693643733,,,,,,,,-0.062181313463366195,-0.013584980641391412,-0.048596332821974786,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-07T00:00:00.000000,13.57,,-0.016807118316381597,-0.016807118316381597,,,,,,,,-0.12291287179445831,-0.035450558872004795,-0.08746231292245352,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-10T00:00:00.000000,12.92,,-0.049084975492321714,-0.049084975492321714,,,,,,,,-0.22094571240377903,-0.07254958957835965,-0.14839612282541936,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-11T00:00:00.000000,13.68,,0.05715841383994835,0.05715841383994835,,,,,,,,-0.23460738852329044,-0.10496114936734582,-0.12964623915594461,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-12T00:00:00.000000,14.05,,0.02668748358535078,0.02668748358535078,,,,,,,,-0.2131217229357496,-0.12659326408102659,-0.08652845885472302,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-13T00:00:00.000000,13.64,,-0.029615743364439062,-0.029615743364439062,,,,,,,,-0.22656603937929098,-0.14658781914067948,-0.07997822023861151,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-14T00:00:00.000000,13.57,,-0.0051451785685383555,-0.0051451785685383555,,,,,,,,-0.2401014321555195,-0.1652905417436475,-0.074810890411872,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-17T00:00:00.000000,13.2,,-0.027644644254452455,-0.027644644254452455,,,,,,,,-0.2774855554741542,-0.18772954448974885,-0.08975601098440536,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-18T00:00:00.000000,13.17,,-0.0022753138371354176,-0.0022753138371354176,,,,,,,,-0.3060060446215278,-0.21138484451610465,-0.09462120010542316,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-19T00:00:00.000000,13.63,,0.03433172995325151,0.03433172995325151,,,,,,,,-0.2881687521344638,-0.2267416260397765,-0.06142712609468731,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-20T00:00:00.000000,14.17,,0.03885380799414806,0.03885380799414806,,,,,,,,-0.2278327679678558,-0.22695985442539235,-0.0008729135424634382,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-21T00:00:00.000000,13.96,,-0.014930956368362835,-0.014930956368362835,,,,,,,49.414224723963926,-0.19471673743312934,-0.22051123102693976,0.02579449359381042,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-24T00:00:00.000000,14.11,,0.010687668530496186,0.010687668530496186,,,,,,,51.90951003565035,-0.154586323339732,-0.2073262494894982,0.05273992614976622,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-25T00:00:00.000000,13.63,,-0.03461052015628141,-0.03461052015628141,,,,,,,44.36743597451063,-0.15967404650485406,-0.1977958088925694,0.038121762387715336,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-26T00:00:00.000000,13.32,,-0.02300658059619831,-0.02300658059619831,,,,,,,40.295460733224566,-0.1865698518734824,-0.19555061748875202,0.008980765615269615,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-27T00:00:00.000000,12.46,,-0.06674315175293577,-0.06674315175293577,,,,,,,31.624207190873932,-0.27411990050276813,-0.21126447409155524,-0.06285542641121289,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-28T00:00:00.000000,12.81,,0.027702602549335875,0.027702602549335875,,,,,,,37.51725713167347,-0.3116691420157096,-0.23134540767638612,-0.0803237343393235,,,
EURO STOXX 50 Volatility Index - V2X Index Index,2005-01-31T00:00:00.000000,12.72,,-0.007050557996667095,-0.007050557996667095,,,,,,,36.64270752029099,-0.3447157655142732,-0.25401947924396356,-0.09069628627030962,13.566999999999998,14.693823201001843,12.440176798998154
EURO STOXX 50 Volatility Index - V2X Index Index,2005-02-01T00:00:00.000000,12.36,,-0.02871010588243106,-0.02871010588243106,-0.8876404170359783,-0.8876404170359783,0.03234429768114915,,0.5134498079721826,,33.29899331473932,-0.39539655867680246,-0.28229489513053135,-0.1131016635462711,13.4595,14.61732873017607,12.301671269823931
EURO STOXX 50 Volatility Index - V2X Index Index,2005-02-02T00:00:00.000000,12.25,,-0.008939515038808743,-0.008939515038808743,-0.27640523971683695,-0.27640523971683695,0.03234206069308534,,0.5134142968875666,,32.328262478812135,-0.439372717893292,-0.31371045968308353,-0.1256622582102085,13.350999999999999,14.53622305251404,12.165776947485957
EURO STOXX 50 Volatility Index - V2X Index Index,2005-02-03T00:00:00.000000,12.38,,0.01055633026571412,0.01055633026571412,0.33563971464716125,0.33563971464716125,0.031451374211813356,,0.49927508733412945,,34.74922865420969,-0.45844950681910923,-0.34265826911028874,-0.1157912377088205,13.279999999999998,14.520797706062002,12.039202293937993
EURO STOXX 50 Volatility Index - V2X Index Index,2005-02-04T00:00:00.000000,11.6,,-0.0650771691441312,-0.0650771691441312,-1.9078553313876776,-1.9078553313876776,0.03411011729951104,,0.5414813253944899,,28.224730265229226,-0.5303934353869817,-0.38020530236562733,-0.15018813302135436,13.1815,14.622059467341575,11.740940532658424
EURO STOXX 50 Volatility Index - V2X Index Index,2005-02-07T00:00:00.000000,11.99,,0.033067870927103726,0.033067870927103726,0.9775413148755026,0.9775413148755026,0.03382759421407695,,0.5369964104523304,,34.81501552761921,-0.5496042804428711,-0.4140850979810761,-0.135519182461795,13.135,14.66816322473647,11.60183677526353
EURO STOXX 50 Volatility Index - V2X Index Index,2005-02-08T00:00:00.000000,11.92,,-0.005855307402219179,-0.005855307402219179,-0.19108745306882452,-0.19108745306882452,0.030642029647599392,,0.4864271406828969,,34.20789646987278,-0.5639762612650863,-0.4440633306378782,-0.11991293062720809,13.047,14.648947498975483,11.445052501024518
EURO STOXX 50 Volatility Index - V2X Index Index,2005-02-09T00:00:00.000000,12.19,,0.0223982818559767,0.0223982818559767,0.7365721576130317,0.7365721576130317,0.0304088087290206,,0.48272487337631176,,38.65175117054191,-0.5472708187609552,-0.4647048282624936,-0.08256599049846158,12.953999999999999,14.526465713792435,11.381534286207563
