series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-01T00:00:00.000000,1420070400000000.0,,,,,,,,,,0.0,0.0,0.0,,,
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-02T00:00:00.000000,1420156800000000.0,0.00006084020322560946,0.00006084020322560946,,,,,,,,6892307692.25,1378461538.45,5513846153.8,,,
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-05T00:00:00.000000,1420416000000000.0,0.00018249840364603642,0.00018203331259769584,,,,,,,,32890642121.25,7680897655.01,25209744466.239998,,,
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-06T00:00:00.000000,1420502400000000.0,0.000060825400709063615,0.000060825400709063615,,,,,,,,59777193117.0,18100156747.408,41677036369.591995,,,
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-07T00:00:00.000000,1420588800000000.0,0.000060821701197255607,0.000060821701197255607,,,,,,,,87053240841.5,31890773566.226402,55162467275.2736,,,
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-08T00:00:00.000000,1420675200000000.0,0.000060818002147300376,0.000060818002147300376,,,,,,,,114323611670.5,48377341187.08113,65946270483.41887,,,
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-09T00:00:00.000000,1420761600000000.0,0.00006081430354498707,0.00006081430354498707,,,,,,,,141278761332.25,66957625216.114914,74321136116.13509,,,
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-12T00:00:00.000000,1421020800000000.0,0.0001824207234975006,0.00018203331259769584,,,,,,,,181464377034.75,89858975579.84195,91605401454.90805,,,
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-13T00:00:00.000000,1421107200000000.0,0.00006079951362636393,0.00006079951362636393,,,,,,,,217773171365.5,115441814736.97357,102331356628.52643,,,
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-14T00:00:00.000000,1421193600000000.0,0.00006079581726936567,0.00006079581726936567,,,,,,,,250630794600.5,142479610709.67886,108151183890.82114,,,
EURO SWAP 5 YR - EUSA5 Curncy Curncy,2015-01-15T00:00:00.000000,1421280000000000.0,0.00006079212136000933,0.00006079212136000933,,,,,,,,280410063008.5,170065701169.4431,110344361839.05688,,,
