series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-05-27T00:00:00.000000,1.48,,,,,,,,,,,0.0,0.0,0.0,,,
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-05-28T00:00:00.000000,1.38,,-0.06995858860691045,-0.06995858860691045,,,,,,,,-0.007977207977208023,-0.0015954415954416046,-0.0063817663817664185,,,
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-05-29T00:00:00.000000,1.51,,0.09002615165771977,0.09002615165771977,,,,,,,,-0.0037658785237133507,-0.002029528981095954,-0.0017363495426173966,,,
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-05-30T00:00:00.000000,1.46,,-0.03367321510658794,-0.03367321510658794,,,,,,,,-0.004412091874693491,-0.002506041559815462,-0.0019060503148780293,,,
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-06-02T00:00:00.000000,1.39,,-0.049132688577644745,-0.049132688577644745,,,,,,,,-0.01045214972090669,-0.0040952631920337075,-0.006356886528872982,,,
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-06-03T00:00:00.000000,1.36,,-0.02181904739463958,-0.02181904739463958,,,,,,,,-0.017458438350037575,-0.006767898223634481,-0.010690540126403095,,,
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-06-04T00:00:00.000000,1.29,,-0.05284248137437997,-0.05284248137437997,,,,,,,,-0.028332784844655512,-0.011080875547838688,-0.017251909296816824,,,
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-06-05T00:00:00.000000,1.04,,-0.21542150522029943,-0.21542150522029943,,,,,,,,-0.05647271118836317,-0.020159242675943587,-0.03631346851241958,,,
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-06-06T00:00:00.000000,1.06,,0.019048194970694494,0.019048194970694494,,,,,,,,-0.07628065677174223,-0.031383525495103315,-0.04489713127663891,,,
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-06-09T00:00:00.000000,1.03,,-0.028710105882431395,-0.028710105882431395,,,,,,,,-0.09332356961602217,-0.04377153431928709,-0.04955203529673508,,,
EURO-BUND OPTION  Dec25C   132 - RXZ5C 132 Comdty Comdty,2025-06-10T00:00:00.000000,1.19,,0.14439450488189357,0.14439450488189357,,,,,,,,-0.09284922988301036,-0.05358707343203174,-0.03926215645097862,,,
