series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-05-27T00:00:00.000000,0.5,,,,,,,,,,0.0,0.0,0.0,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-05-28T00:00:00.000000,0.49,-0.020202707317519497,-0.020202707317519497,,,,,,,,-0.0007977207977207801,-0.00015954415954415603,-0.000638176638176624,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-05-29T00:00:00.000000,0.44,-0.10763066419236544,-0.10763066419236544,,,,,,,,-0.005402228878012338,-0.0012080811032377924,-0.004194147774774546,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-05-30T00:00:00.000000,0.44,0.0,0.0,,,,,,,,-0.008948185591881708,-0.0027561020009665756,-0.006192083590915132,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-02T00:00:00.000000,0.47,0.06595796779179741,0.06595796779179741,,,,,,,,-0.009231220788310623,-0.004051125758435386,-0.005180095029875238,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-03T00:00:00.000000,0.44,-0.06595796779179741,-0.06595796779179741,,,,,,,,-0.0117409353064436,-0.00558908766803703,-0.006151847638406571,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-04T00:00:00.000000,0.46,0.04445176257083394,0.04445176257083394,,,,,,,,-0.011977994426844774,-0.006866869019798579,-0.005111125407046195,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-05T00:00:00.000000,0.58,0.23180161405732413,0.23180161405732413,,,,,,,,-0.0024545735732919294,-0.005984409930497249,0.0035298363572053197,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-06T00:00:00.000000,0.52,-0.10919929196499178,-0.10919929196499178,,,,,,,,0.000248443603403814,-0.004737839223717037,0.004986282827120851,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-09T00:00:00.000000,0.52,0.0,0.0,,,,,,,,0.002363360837528361,-0.003317599211467958,0.005680960048996319,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-10T00:00:00.000000,0.44,-0.1670540846631663,-0.1670540846631663,,,,,,,,-0.002388351994283222,-0.003131749768031011,0.0007433977737477887,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-11T00:00:00.000000,0.43,-0.022989518224698746,-0.022989518224698746,,,,,,,,-0.006881707039214979,-0.003881741222267805,-0.0029999658169471742,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-12T00:00:00.000000,0.37,-0.15028220304933793,-0.15028220304933793,,,,,,,,-0.015110042677959623,-0.006127401513406169,-0.008982641164553454,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-13T00:00:00.000000,0.43,0.15028220304933793,0.15028220304933793,,,,,,,43.57832195261848,-0.01659822538434974,-0.008221566287594885,-0.008376659096754856,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-16T00:00:00.000000,0.42,-0.023530497410194084,-0.023530497410194084,,,,,,,42.36761434131641,-0.01837274772828107,-0.010251802575732123,-0.008120945152548947,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-17T00:00:00.000000,0.44,0.04652001563489283,0.04652001563489283,,,,,,,45.62155927328766,-0.01795822537405878,-0.011793087135397454,-0.006165138238661324,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-18T00:00:00.000000,0.38,-0.14660347419187536,-0.14660347419187536,,,,,,,38.58352411411562,-0.022215129793126176,-0.013877495666943199,-0.008337634126182977,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-19T00:00:00.000000,0.4,0.05129329438755059,0.05129329438755059,,,,,,,41.80623391641001,-0.023701705850308563,-0.015842337703616274,-0.007859368146692289,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-20T00:00:00.000000,0.38,-0.05129329438755059,-0.05129329438755059,,,,,,,39.570147127717554,-0.026191738876872483,-0.017912217938267517,-0.008279520938604967,,,
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-23T00:00:00.000000,0.36,-0.054067221270275856,-0.054067221270275856,,,,,,,37.41499475197667,-0.02943957969395966,-0.020217690289405947,-0.009221889404553714,0.4455,0.557791912817489,0.3332080871825111
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-24T00:00:00.000000,0.37,0.027398974188114544,0.027398974188114544,0.27359830928169265,0.27359830928169265,0.10014306835465485,,1.5897219263601539,,39.19812064886363,-0.030850969739324663,-0.02234434617938969,-0.008506623559934971,0.43899999999999995,0.5530452357158062,0.3249547642841937
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-25T00:00:00.000000,0.43,0.15028220304933793,0.15028220304933793,1.4081695548428335,1.4081695548428335,0.1067216675239872,,1.6941539506235308,,48.651285359337244,-0.026818856871854757,-0.023239248317882703,-0.0035796085539720537,0.43599999999999994,0.5475253098486718,0.3244746901513281
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-26T00:00:00.000000,0.42,-0.023530497410194084,-0.023530497410194084,-0.22591919813406777,-0.22591919813406777,0.10415448356996347,,1.6534011687509174,,47.33049260057949,-0.024151886883132134,-0.02342177603093259,-0.0007301108521995427,0.43499999999999994,0.5467327638891831,0.32326723611081676
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-27T00:00:00.000000,0.47,0.11247798342669024,0.11247798342669024,1.0484860987753601,1.0484860987753601,0.10727656147092975,,1.7029626189492812,,54.047882770076875,-0.017798541314951954,-0.022297129087736466,0.004498587772784512,0.4365,0.5493156390801053,0.3236843609198948
EURO-BUND OPTION  Dec25P 124.5 - RXZ5P 124.5 COMDTY Comdty,2025-06-30T00:00:00.000000,0.47,0.0,0.0,0.0,0.0,0.10625788424989921,,1.6867916193907222,,54.047882770076875,-0.01261801653857203,-0.02036130657790358,0.007743290039331548,0.4365,0.5493156390801053,0.3236843609198948
