series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-08T00:00:00.000000,1518048000000000.0,,,,,,,,,,0.0,0.0,0.0,,,
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-09T00:00:00.000000,1518134400000000.0,0.00005691357674919573,0.00005691357674919573,,,,,,,,6892307692.25,1378461538.45,5513846153.8,,,
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-11T00:00:00.000000,1518307200000000.0,0.00011381743695437763,0.00011296244010594592,,,,,,,,25998334429.0,6302436116.56,19695898312.44,,,
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-12T00:00:00.000000,1518393600000000.0,0.000056903860944146345,0.000056903860944146345,,,,,,,,47563474072.75,14554643707.798,33008830364.952,,,
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-13T00:00:00.000000,1518480000000000.0,0.00005690062307195376,0.00005690062307195376,,,,,,,,70809512550.5,25805617476.3384,45003895074.1616,,,
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-14T00:00:00.000000,1518566400000000.0,0.00005689738558345425,0.00005689738558345425,,,,,,,,95107582440.0,39666010469.070724,55441571970.929276,,,
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-15T00:00:00.000000,1518652800000000.0,0.00005689414845022611,0.00005689414845022611,,,,,,,,119952992382.5,55723406851.75658,64229585530.74342,,,
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-16T00:00:00.000000,1518739200000000.0,0.00005689091169358562,0.00005689091169358562,,,,,,,,144944091427.0,73567543766.80527,71376547660.19473,,,
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-18T00:00:00.000000,1518912000000000.0,0.00011377211457386238,0.00011296244010594592,,,,,,,,176656843198.0,94185403653.04422,82471439544.95578,,,
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-19T00:00:00.000000,1518998400000000.0,0.00005688120362634663,0.00005688120362634663,,,,,,,,206382140531.75,116624751028.78539,89757389502.96461,,,
Ethereum_US DOLLAR - XETUSD BGN Curncy BGN Curncy,2018-02-20T00:00:00.000000,1519084800000000.0,0.00005687796833342418,0.00005687796833342418,,,,,,,,234211565616.25,140142113946.27832,94069451669.97168,,,
