series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-04T00:00:00.000000,1.7686,,,,,,,,,,0.0,0.0,0.0,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-05T00:00:00.000000,1.7541,-0.008232368291900105,-0.008232368291900105,,,,,,,,-0.0011566951566948092,-0.00023133903133896184,-0.0009253561253558473,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-06T00:00:00.000000,1.7309,-0.013314400417381411,-0.013314400417381411,,,,,,,,-0.0039004683403540685,-0.0009651648931419832,-0.0029353034472120853,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-07T00:00:00.000000,1.7187,-0.0070733133497113965,-0.0070733133497113965,,,,,,,,-0.006978917776664151,-0.002167915469846417,-0.004811002306817734,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-10T00:00:00.000000,1.7149,-0.002213421220540357,-0.002213421220540357,,,,,,,,-0.009614410437287058,-0.003657214463334545,-0.005957195973952513,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-11T00:00:00.000000,1.7428,0.01613824538118558,0.01613824538118558,,,,,,,,-0.00934404815786305,-0.004794581202240246,-0.004549466955622803,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-12T00:00:00.000000,1.7616,0.010729471725128614,0.010729471725128614,,,,,,,,-0.007526025880161935,-0.005340870137824584,-0.0021851557423373507,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-13T00:00:00.000000,1.709,-0.030314082852824664,-0.030314082852824664,,,,,,,,-0.01021189417107804,-0.006315074944475276,-0.0038968192266027636,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-14T00:00:00.000000,1.6937,-0.008992919218515305,-0.008992919218515305,,,,,,,,-0.013420344892780545,-0.00773612893413633,-0.005684215958644215,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-17T00:00:00.000000,1.6765,-0.010207197990792283,-0.010207197990792283,,,,,,,,-0.01715322970445321,-0.009619549088199706,-0.007533680616253504,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-18T00:00:00.000000,1.6684,-0.004843203583493105,-0.004843203583493105,,,,,,,,-0.02052853000186694,-0.011801345270933154,-0.008727184730933786,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-19T00:00:00.000000,1.6452,-0.014003125966521202,-0.014003125966521202,,,,,,,,-0.024789764935716718,-0.014399029203889867,-0.01039073573182685,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-20T00:00:00.000000,1.7084,0.03769530261104237,0.03769530261104237,,,,,,,,-0.022804239428781736,-0.016080071248868243,-0.006724168179913493,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-21T00:00:00.000000,1.6991,-0.005458560875598373,-0.005458560875598373,,,,,,,42.19591733584704,-0.02173063124609742,-0.01721018324831408,-0.004520447997783339,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-24T00:00:00.000000,1.6664,-0.019433088144950705,-0.019433088144950705,,,,,,,35.93569866390891,-0.023250389721246822,-0.01841822454290063,-0.004832165178346191,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-25T00:00:00.000000,1.6729,0.0038930363904727816,0.0038930363904727816,,,,,,,37.9076995613364,-0.023657603458514753,-0.01946610032602346,-0.004191503132491295,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-26T00:00:00.000000,1.6822,0.005543813191101754,0.005543813191101754,,,,,,,40.719330966834335,-0.02296516289986683,-0.02016591284079213,-0.0027992500590746996,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-27T00:00:00.000000,1.6945,0.007285251518769131,0.007285251518769131,,,,,,,44.31100459052413,-0.02117974465135508,-0.02036867920290472,-0.0008110654484503599,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-28T00:00:00.000000,1.6637,-0.018343674381408825,-0.018343674381408825,,,,,,,38.08797407957438,-0.021996528135838966,-0.02069424898949157,-0.001302279146347396,,,
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-01-31T00:00:00.000000,1.6407,-0.013921057644860402,-0.013921057644860402,,,,,,,34.22281105301781,-0.0242205433657241,-0.021399507864738078,-0.002821035500986023,1.7006150000000002,1.775404058445428,1.6258259415545724
Euro IL ex Italy 10+ Yrs - BDIF5Y  Index Index,2005-02-01T00:00:00.000000,1.6486,0.004803462858290419,0.004803462858290419,0.32181742057206064,0.32181742057206064,0.014926049838295931,,0.2369436955721213,,36.602583556237036,-0.025056788422007648,-0.022130963976191992,-0.0029258244458156557,1.6946150000000002,1.7655964883205915,1.623633511679409
