series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-04T00:00:00.000000,2770.0,,,,,,,,,,0.0,0.0,0.0,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-05T00:00:00.000000,2667.88,-0.03756317066863346,-0.03756317066863346,,,,,,,,-8.146324786324385,-1.6292649572648772,-6.517059829059508,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-06T00:00:00.000000,2688.44,0.007676950210655953,0.007676950210655953,,,,,,,,-12.795823410523553,-3.8625766479166126,-8.933246762606942,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-07T00:00:00.000000,2686.7,-0.0006474250199177689,-0.0006474250199177689,,,,,,,,-16.431575057283226,-6.376376329789936,-10.05519872749329,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-10T00:00:00.000000,2681.09,-0.002090246467379764,-0.002090246467379764,,,,,,,,-19.54036537816637,-9.009174139465223,-10.531191238701147,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-11T00:00:00.000000,2651.39,-0.011139397470839363,-0.011139397470839363,,,,,,,,-24.122575853181388,-12.031854482208457,-12.09072137097293,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-12T00:00:00.000000,2640.08,-0.004274811053732286,-0.004274811053732286,,,,,,,,-28.3399478680426,-15.293473159375285,-13.046474708667315,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-13T00:00:00.000000,2653.35,0.0050137728460883935,0.0050137728460883935,,,,,,,,-30.262618844152257,-18.28730229633068,-11.975316547821578,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-14T00:00:00.000000,2677.16,0.008933538574126487,0.008933538574126487,,,,,,,,-29.52473862493207,-20.53478956205096,-8.98994906288111,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-18T00:00:00.000000,2710.33,0.012313867546192903,0.012313867546192903,,,,,,,,-25.964123198193192,-21.62065628927941,-4.343466908913783,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-19T00:00:00.000000,2716.68,0.0023401478522693253,0.0023401478522693253,,,,,,,,-22.37202708666655,-21.770930448756836,-0.6010966379097127,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-20T00:00:00.000000,2697.95,-0.0069183211803460765,-0.0069183211803460765,,,,,,,,-20.79688594986692,-21.576121548978854,0.7792355991119351,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-21T00:00:00.000000,2700.18,0.0008262120870945466,0.0008262120870945466,,,,,,,,-19.147907726450285,-21.09047878447314,1.9425710580228568,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-24T00:00:00.000000,2677.22,-0.00853949474682203,-0.00853949474682203,,,,,,,37.8952321234871,-19.469330397830618,-20.76624910714464,1.2969187093140206,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-25T00:00:00.000000,2627.38,-0.018791790771701677,-0.018791790771701677,,,,,,,28.95330279608588,-23.475125021871463,-21.308024290090007,-2.1671007317814563,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-26T00:00:00.000000,2631.58,0.0015972743253227506,0.0015972743253227506,,,,,,,30.442816791051243,-26.01100257607004,-22.248619947286016,-3.7623826287840245,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-27T00:00:00.000000,2605.33,-0.01002507961688881,-0.01002507961688881,,,,,,,26.67819130629546,-29.79539664188269,-23.757975286205355,-6.037421355677335,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-28T00:00:00.000000,2616.94,0.004446349624777746,0.004446349624777746,,,,,,,30.756708018622717,-31.49467522174291,-25.305315273312868,-6.189359948430042,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-01-31T00:00:00.000000,2615.03,-0.0007301265430994519,-0.0007301265430994519,,,,,,,30.456559811132408,-32.61946983306643,-26.768146185263582,-5.85132364780285,,,
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-01T00:00:00.000000,2633.77,0.007140710116183335,0.007140710116183335,,,,,,,36.957148061219016,-31.634058547544555,-27.741328657719777,-3.8927298898247784,2667.424,2749.959936517629,2584.888063482371
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-02T00:00:00.000000,2662.78,0.010954409982814717,0.010954409982814717,0.9418595443466352,0.9418595443466352,0.011630619500080295,,0.184630360744985,,45.456779440868004,-28.187322542676156,-27.830527434711055,-0.3567951079651017,2662.0629999999996,2729.0001793785623,2595.125820621437
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-03T00:00:00.000000,2654.84,-0.002986300600921865,-0.002986300600921865,-0.36894393125075825,-0.36894393125075825,0.00809418545196826,,0.12849121062926977,,43.7193953378331,-25.799055615299494,-27.424233070828745,1.6251774555292506,2661.411,2728.363639317498,2594.458360682502
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-04T00:00:00.000000,2693.59,0.014490487129632967,0.014490487129632967,1.6899888438775157,1.6899888438775157,0.008574309340637982,,0.13611294107679783,,53.133799056530606,-20.542731890257528,-26.047932834714505,5.505200944456977,2661.6684999999998,2729.0967630964974,2594.240236903502
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-07T00:00:00.000000,2682.86,-0.003991486667160871,-0.003991486667160871,-0.46294017132025544,-0.46294017132025544,0.008622035663436986,,0.13687057296350438,,50.60928959245356,-17.04637875080516,-24.24762201793264,7.201243267127477,2661.4764999999998,2728.6259437881104,2594.327056211889
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-08T00:00:00.000000,2688.52,0.0021074666453930746,0.0021074666453930746,0.24444599737556688,0.24444599737556688,0.00862139968753574,,0.13686047715905722,,51.90732477155915,-13.661300037550063,-22.130357621856128,8.469057584306064,2661.848,2729.534394994625,2594.161605005375
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-09T00:00:00.000000,2700.37,0.004397944326247405,0.004397944326247405,0.5335092479981639,0.5335092479981639,0.008243426599912548,,0.13086034040630007,,54.59765783957187,-9.908189364343343,-19.68592397035357,9.777734606010227,2664.297,2733.9071943834756,2594.6868056165245
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-10T00:00:00.000000,2711.44,0.0040910584221007795,0.0040910584221007795,0.5002392245764488,0.5002392245764488,0.008178203989430593,,0.12982496356313794,,57.016686210569326,-5.9717272771949865,-16.943084631721856,10.97135735452687,2667.8650000000002,2739.533664370362,2596.1963356296383
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-11T00:00:00.000000,2726.34,0.005480191287743352,0.005480191287743352,0.6691395800895571,0.6691395800895571,0.008189907533208375,,0.13001075156090294,,60.09829490031874,-1.6309466986349435,-13.880657045104474,12.24971034646953,2671.5145,2747.3816294123035,2595.647370587697
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-14T00:00:00.000000,2729.46,0.0011437370651838918,0.0011437370651838918,0.14308353443332308,0.14308353443332308,0.007993491841766554,,0.12689274912202783,,60.73312418668641,2.037424942101552,-10.697040647663268,12.73446558976482,2674.1295,2754.2993146305375,2593.9596853694625
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-15T00:00:00.000000,2737.3,0.002868245679292336,0.002868245679292336,0.3796575859651305,0.3796575859651305,0.007554822517245235,,0.11992908947917122,,62.353931112459875,5.51369987496264,-7.4548925431380875,12.968592418100727,2675.478,2759.0468974124756,2591.9091025875246
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-16T00:00:00.000000,2751.59,0.005206893301029858,0.005206893301029858,0.6834451284695048,0.6834451284695048,0.007618597432525542,,0.12094148487346666,,65.17550009698473,9.314385934897018,-4.101036847531066,13.415422782428085,2677.2235,2765.728461805599,2588.718538194401
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-17T00:00:00.000000,2748.4,-0.0011600022391702325,-0.0011600022391702325,-0.15624359881423175,-0.15624359881423175,0.0074243184871172554,,0.11785740222630935,,64.02193273867634,11.931511640715598,-0.8945271498817333,12.826038790597332,2679.746,2773.4606907317493,2586.031309268251
FTSE NAREIT All Reits Total Re - FNARTR Index Index,2005-02-18T00:00:00.000000,2723.89,-0.008957918494367334,-0.008957918494367334,-1.156365145965095,-1.156365145965095,0.007746617515777088,,0.12297374069209892,,55.84352559801448,11.890780935693783,1.66253446723337,10.228246468460414,2680.9315,2776.319507251271,2585.5434927487295
