series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-05T00:00:00.000000,50.05,,,,,,,,,,0.0,0.0,0.0,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-06T00:00:00.000000,47.925,-0.043385216829521234,-0.043385216829521234,,,,,,,,-0.16951566951566832,-0.03390313390313367,-0.13561253561253467,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-07T00:00:00.000000,48.65,0.015014519700305762,0.015014519700305762,,,,,,,,-0.24256053116451426,-0.07563461335540979,-0.16692591780910448,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-08T00:00:00.000000,48.8,0.003078504227087553,0.003078504227087553,,,,,,,,-0.28505937683054583,-0.11751956605043701,-0.16753981078010882,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-09T00:00:00.000000,48.35,-0.009264090959798299,-0.009264090959798299,,,,,,,,-0.3510050892260921,-0.16421667068556803,-0.18678841854052405,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-12T00:00:00.000000,46.075,-0.048195718343416516,-0.048195718343416516,,,,,,,,-0.5801533813966699,-0.24740401282778843,-0.3327493685688815,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-13T00:00:00.000000,45.9,-0.003805386489387441,-0.003805386489387441,,,,,,,,-0.7670341985514284,-0.35133004997251643,-0.41570414857891197,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-14T00:00:00.000000,48.475,0.05458308406221635,0.05458308406221635,,,,,,,,-0.6992965573074201,-0.4209233514394972,-0.2783732058679229,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-15T00:00:00.000000,46.25,-0.04698673717028168,-0.04698673717028168,,,,,,,,-0.815749441719575,-0.49988856949551275,-0.31586087222406223,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-16T00:00:00.000000,48.7,0.05161756613011015,0.05161756613011015,,,,,,,,-0.7022495711966883,-0.5403607698357479,-0.16188880136094042,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-20T00:00:00.000000,46.475,-0.04676449648103631,-0.04676449648103631,,,,,,,,-0.7828152045910457,-0.5888516567868075,-0.1939635478042382,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-21T00:00:00.000000,47.775,0.027587956518828616,0.027587956518828616,,,,,,,,-0.7333117526397146,-0.617743675957389,-0.1155680766823256,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-22T00:00:00.000000,46.3,-0.03136052903414832,-0.03136052903414832,,,,,,,,-0.8038339854113019,-0.6549617378481716,-0.14887224756313033,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-23T00:00:00.000000,45.6,-0.015234244571847633,-0.015234244571847633,,,,,,,38.83209133000443,-0.9057664015666802,-0.7051226705918734,-0.2006437309748068,,,
Generic 1st 'EC' Future - EC1 Comdty Comdty,2015-01-26T00:00:00.000000,45.15,-0.009917436657346013,-0.009917436657346013,,,,,,,37.41961159096269,-1.0112032928386512,-0.7663387950412289,-0.24486449779742225,,,
