series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-03T00:00:00.000000,98.59,,,,,,,,,,,0.0,0.0,0.0,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-04T00:00:00.000000,98.5875,,-0.000025357862840635903,-0.000025357862840635903,,,,,,,,-0.00019943019941592866,-0.000039886039883185734,-0.00015954415953274293,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-05T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.000353406222330932,-0.00010259007637273499,-0.000250816145958197,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-08T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.00047001528619716737,-0.00017607511833762148,-0.0002939401678595459,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-09T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.0005560193643106004,-0.0002520639675322173,-0.0003039553967783831,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-10T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.0006170650737828964,-0.00032506418878235316,-0.0002920008850005433,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-11T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.0006578608282268306,-0.00039162351667124866,-0.0002662373115555819,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-12T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.0006823263243944666,-0.00044976407821589227,-0.00023256224617857434,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-16T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.0006937186496003278,-0.0004985549924927794,-0.00019516365710754843,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-17T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.0006947386348770124,-0.000537791720969626,-0.00015694691390738633,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-18T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.0006876205192440921,-0.0005677574806245192,-0.00011986303861957282,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-19T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.0006742075167665007,-0.0005890474878529155,-0.00008516002891358521,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-22T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,,-0.0006560154776025229,-0.0006024410858028371,-0.00005357439179968582,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-23T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,0.0,-0.0006342864955826144,-0.0006088101677587925,-0.00002547632782382188,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-24T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,0.0,-0.0006100340282415573,-0.0006090549398553455,-9.7908838621178e-7,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-25T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,0.0,-0.0005840808526471619,-0.0006040601224137088,0.00001997926976654693,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-26T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,0.0,-0.0005570909760166387,-0.0005946662931342948,0.000037575317117656114,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-29T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,0.0,-0.0005295964461708991,-0.0005816523237416156,0.00005205587757071658,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-30T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,0.0,-0.0005020198607326165,-0.0005657258311398158,0.00006370597040719931,,,
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-01-31T00:00:00.000000,98.5875,,0.0,0.0,,,,,,,0.0,-0.00047469324978521854,-0.0005475193148688964,0.00007282606508367782,98.58762500000003,98.58874302043446,98.5865069795656
Generic 1st 'FF' Future - FF1 Comdty Comdty,2018-02-01T00:00:00.000000,98.58,,-0.00007607744687820883,-0.00007607744687820883,-4.31127828595751,-4.31127828595751,0.00001764614618499684,,0.00028012388642515687,,0.0,-0.0010461645004795628,-0.0006472483519910296,-0.00039891614848853313,98.58712500000004,98.59047909692532,98.58377090307476
