series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
ISM PMI - NAPMPMI Index Index,2000-02-29T00:00:00.000000,55.8,,,,,,,,,,0.0,0.0,0.0,,,
ISM PMI - NAPMPMI Index Index,2000-03-31T00:00:00.000000,54.9,-0.016260520871780315,-0.016260520871780315,,,,,,,,-0.07179487179487154,-0.014358974358974309,-0.057435897435897235,,,
ISM PMI - NAPMPMI Index Index,2000-04-30T00:00:00.000000,54.7,-0.003649639087549339,-0.003649639087549339,,,,,,,,-0.1431806560011637,-0.04012331068741219,-0.1030573453137515,,,
ISM PMI - NAPMPMI Index Index,2000-05-31T00:00:00.000000,53.2,-0.027805313080336624,-0.027805313080336624,,,,,,,,-0.31713612048187656,-0.09552587264630508,-0.22161024783557148,,,
ISM PMI - NAPMPMI Index Index,2000-06-30T00:00:00.000000,51.4,-0.03442022388647903,-0.03442022388647903,,,,,,,,-0.5934016710524403,-0.19510103232753212,-0.39830063872490823,,,
ISM PMI - NAPMPMI Index Index,2000-07-31T00:00:00.000000,52.5,0.02117499713645854,0.02117499713645854,,,,,,,,-0.7153373397780598,-0.29914829381763763,-0.41618904596042217,,,
ISM PMI - NAPMPMI Index Index,2000-08-31T00:00:00.000000,49.9,-0.050792166840105235,-0.050792166840105235,,,,,,,,-1.010126398297821,-0.4413439147136743,-0.5687824835841467,,,
ISM PMI - NAPMPMI Index Index,2000-09-30T00:00:00.000000,49.7,-0.0040160696548898756,-0.0040160696548898756,,,,,,,,-1.2455294908896803,-0.6021810299488756,-0.6433484609408048,,,
ISM PMI - NAPMPMI Index Index,2000-10-31T00:00:00.000000,48.7,-0.020325903014038804,-0.020325903014038804,,,,,,,,-1.4955401247905442,-0.7808528489172093,-0.7146872758733349,,,
ISM PMI - NAPMPMI Index Index,2000-11-30T00:00:00.000000,48.5,-0.004115232145106784,-0.004115232145106784,,,,,,,,-1.6903286257124108,-0.9627480042762497,-0.7275806214361611,,,
ISM PMI - NAPMPMI Index Index,2000-12-31T00:00:00.000000,43.9,-0.09964947786231182,-0.09964947786231182,,,,,,,,-2.1906292617541823,-1.2083242557718363,-0.9823050059823459,,,
ISM PMI - NAPMPMI Index Index,2001-01-31T00:00:00.000000,42.3,-0.03712723402889351,-0.03712723402889351,,,,,,,,-2.6852735861543806,-1.5037141218483452,-1.1815594643060354,,,
ISM PMI - NAPMPMI Index Index,2001-02-28T00:00:00.000000,42.1,-0.004739345363896419,-0.004739345363896419,,,,,,,,-3.0581684433208736,-1.814604986142851,-1.2435634571780225,,,
ISM PMI - NAPMPMI Index Index,2001-03-31T00:00:00.000000,43.1,0.023475256421366275,0.023475256421366275,,,,,,,14.02126393630816,-3.23569953149039,-2.098823895212359,-1.136875636278031,,,
ISM PMI - NAPMPMI Index Index,2001-04-30T00:00:00.000000,42.7,-0.009324076875123044,-0.009324076875123044,,,,,,,13.513671939784572,-3.369825603059212,-2.35302423678173,-1.0168013662774822,,,
ISM PMI - NAPMPMI Index Index,2001-05-31T00:00:00.000000,41.3,-0.03333642026759209,-0.03333642026759209,,,,,,,11.891105262895309,-3.5481884727719972,-2.5920570839797836,-0.9561313887922136,,,
ISM PMI - NAPMPMI Index Index,2001-06-30T00:00:00.000000,43.2,0.044977995283078,0.044977995283078,,,,,,,25.044630923768665,-3.4959293140253607,-2.772831529988899,-0.7230977840364616,,,
ISM PMI - NAPMPMI Index Index,2001-07-31T00:00:00.000000,43.5,0.006920442844573493,0.006920442844573493,,,,,,,26.90025759766945,-3.3912142544486414,-2.8965080748808476,-0.49470617956779384,,,
ISM PMI - NAPMPMI Index Index,2001-08-31T00:00:00.000000,46.3,0.062381022997549884,0.062381022997549884,,,,,,,41.46559442195302,-3.04716440145323,-2.926639340195324,-0.12052506125790607,,,
ISM PMI - NAPMPMI Index Index,2001-09-30T00:00:00.000000,46.2,-0.00216216300449501,-0.00216216300449501,,,,,,,41.15023655186015,-2.750861361055641,-2.8914837443673878,0.1406223833117468,47.695,57.40760168950358,37.98239831049642
ISM PMI - NAPMPMI Index Index,2001-10-31T00:00:00.000000,40.8,-0.12429771667757716,-0.12260232209233202,-2.8834767792106395,-2.4981895817231066,0.04310689011742416,,0.6843006662645533,,28.53144051726761,-2.918135487683678,-2.896814093030646,-0.021321394653031955,46.945,56.33356527349823,37.55643472650177
ISM PMI - NAPMPMI Index Index,2001-11-30T00:00:00.000000,44.1,0.07777770104268411,0.07777770104268411,1.623767382083906,1.623767382083906,0.04789953407172522,,0.7603815304179001,,40.532742371268384,-2.7526877465781965,-2.867988823740156,0.11530107716195959,46.405,55.082490541928635,37.72750945807137
ISM PMI - NAPMPMI Index Index,2001-12-31T00:00:00.000000,45.3,0.026847250036188264,0.026847250036188264,0.5521376475908673,0.5521376475908673,0.048624197522719945,,0.7718852060711995,,44.20204555814121,-2.4959672913351127,-2.7935845172591476,0.29761722592403483,45.934999999999995,53.69000517492789,38.1799948250721
ISM PMI - NAPMPMI Index Index,2002-01-31T00:00:00.000000,47.5,0.04742267855160698,0.04742267855160698,0.9481220299001473,0.9481220299001473,0.050017484096009625,,0.7940029447390187,,50.2613876214998,-2.0908903843345783,-2.653045690674234,0.5621553063396556,45.64999999999999,52.664421235081385,38.6355787649186
ISM PMI - NAPMPMI Index Index,2002-02-28T00:00:00.000000,50.7,0.06519619955654221,0.06519619955654221,1.2555364657774715,1.2555364657774715,0.051926966148426824,,0.8243150326008414,,57.492210084439485,-1.4944239713360403,-2.4213213468065953,0.926897375470555,45.614999999999995,52.514664370174316,38.715335629825674
ISM PMI - NAPMPMI Index Index,2002-03-31T00:00:00.000000,52.4,0.032980680729858936,0.032980680729858936,0.6311534548173795,0.6311534548173795,0.05225461490882863,,0.829516295425252,,60.75619934328115,-0.8744639728746719,-2.111949872020211,1.2374858991455389,45.61,52.488769779852305,38.731230220147694
ISM PMI - NAPMPMI Index Index,2002-04-30T00:00:00.000000,52.4,0.0,0.0,0.0,0.0,0.050877147339843165,,0.8076496756656985,,60.75619934328115,-0.37877492595622186,-1.7653148828074132,1.3865399568511914,45.735,53.02082618224553,38.44917381775447
ISM PMI - NAPMPMI Index Index,2002-05-31T00:00:00.000000,53.1,0.013270336920896852,0.013270336920896852,0.2606706421446838,0.2606706421446838,0.05090844450957092,,0.8081465028327374,,62.14432775594625,0.06974241765175293,-1.3983034227155802,1.468045840367333,45.904999999999994,53.71982397013601,38.090176029863976
ISM PMI - NAPMPMI Index Index,2002-06-30T00:00:00.000000,53.6,0.00937213982886309,0.00937213982886309,0.18516504213222015,0.18516504213222015,0.050615060601831956,,0.8034891776814637,,63.14706537194632,0.4602361493371845,-1.0265955083050273,1.4868316576422118,46.14999999999999,54.61404158779971,37.68595841220027
ISM PMI - NAPMPMI Index Index,2002-07-31T00:00:00.000000,50.2,-0.06553404137907304,-0.06553404137907304,-1.2366907876200999,-1.2366907876200999,0.052991452701921876,,0.8412132327679623,,52.888014100998596,0.4897086040840293,-0.723334685827216,1.2130432899112453,46.235,54.83151704256771,37.63848295743229
ISM PMI - NAPMPMI Index Index,2002-08-31T00:00:00.000000,50.3,0.0019900504080099246,0.0019900504080099246,0.04204697617799753,0.04204697617799753,0.04732921577012913,,0.7513280080528683,,53.129205661783104,0.5151960418021062,-0.4756285403013516,0.9908245821034578,46.55499999999999,55.261313498653934,37.84868650134605
ISM PMI - NAPMPMI Index Index,2002-09-30T00:00:00.000000,50.5,0.003968259175620936,0.003968259175620936,0.08589275864053868,0.08589275864053868,0.046200159808909,,0.7334048003148875,,53.64039885980255,0.5452480680279379,-0.2714532186354937,0.8167012866634316,46.964999999999996,55.59963649312585,38.33036350687414
ISM PMI - NAPMPMI Index Index,2002-10-31T00:00:00.000000,49.0,-0.030153038170687818,-0.030153038170687818,-0.6424087413798947,-0.6424087413798947,0.046937465554903655,,0.7451091661796124,,49.29774004597797,0.4429213299652375,-0.12857830891534747,0.571499638880585,47.309999999999995,55.67330330104454,38.94669669895545
ISM PMI - NAPMPMI Index Index,2002-11-30T00:00:00.000000,48.5,-0.010256500167189042,-0.010256500167189042,-0.21849020924731216,-0.21849020924731216,0.04694260764600012,,0.745190794345173,,47.90550499743389,0.31781723228117187,-0.0392992006760436,0.35711643295721546,47.58,55.716622860803255,39.44337713919674
