series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-07T00:00:00.000000,1141689600000000.0,,,,,,,,,,0.0,0.0,0.0,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-09T00:00:00.000000,1141862400000000.0,0.00015134317092702076,0.00015134317092702076,,,,,,,,13784615384.5,2756923076.9,11027692307.6,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-13T00:00:00.000000,1142208000000000.0,0.00030261764491967824,0.0002566570434368032,,,,,,,,51996668858.0,12604872233.12,39391796624.88,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-14T00:00:00.000000,1142294400000000.0,0.00007564010441996061,0.00007564010441996061,,,,,,,,88234640453.0,27730825877.096,60503814575.904,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-15T00:00:00.000000,1142380800000000.0,0.00007563438342117479,0.00007563438342117479,,,,,,,,122512998364.0,46687260374.47681,75825737989.5232,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-16T00:00:00.000000,1142467200000000.0,0.00007562866330346196,0.00007562866330346196,,,,,,,,154865409851.5,68322890269.88145,86542519581.61856,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-17T00:00:00.000000,1142553600000000.0,0.00007562294403840042,0.00007562294403840042,,,,,,,,185340200505.75,91726352317.05516,93613848188.69484,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-20T00:00:00.000000,1142812800000000.0,0.00022683452518634795,0.00022683452518634795,,,,,,,,227781245029.5,118937330859.54413,108843914169.95587,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-21T00:00:00.000000,1142899200000000.0,0.00007560007563256477,0.00007560007563256477,,,,,,,,265329285667.5,148215721821.1353,117113563846.36469,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-22T00:00:00.000000,1142985600000000.0,0.00007559436070181391,0.00007559436070181391,,,,,,,,298615878353.5,178295753127.60828,120320125225.89172,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-23T00:00:00.000000,1143072000000000.0,0.00007558864661660891,0.00007558864661660891,,,,,,,,328184395377.0,208273481577.48663,119910913799.51337,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-24T00:00:00.000000,1143158400000000.0,0.0000755829334124769,0.0000755829334124769,,,,,,,,354502927001.0,237519370662.18933,116983556338.81067,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-27T00:00:00.000000,1143417600000000.0,0.00022671452959599492,0.00022671452959599492,,,,,,,,391759862865.75,268367469102.9015,123392393762.84851,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-28T00:00:00.000000,1143504000000000.0,0.00007556008919351598,0.00007556008919351598,,,,,,,,423377577712.75,299369490824.8712,124008086887.87878,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-29T00:00:00.000000,1143590400000000.0,0.00007555438030237838,0.00007555438030237838,,,,,,,,450216783616.0,329538949383.097,120677834232.90302,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-03-30T00:00:00.000000,1143676800000000.0,0.00007554867226389206,0.00007554867226389206,,,,,,,,473006283584.75,358232416223.4276,114773867361.32239,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-03T00:00:00.000000,1144022400000000.0,0.0003021376259866315,0.0002566570434368032,,,,,,,,513040150698.75,389193963118.4921,123846187580.25787,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-04T00:00:00.000000,1144108800000000.0,0.0000755201450388654,0.0000755201450388654,,,,,,,,545451412389.75,420445452972.7437,125005959417.00629,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-05T00:00:00.000000,1144195200000000.0,0.00007551444217313019,0.00007551444217313019,,,,,,,,571521188217.25,450660600021.645,120860588195.60498,,,
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-06T00:00:00.000000,1144281600000000.0,0.0000755087401671517,0.0000755087401671517,,,,,,,,592325471977.25,478993574412.76605,113331897564.48395,1143059040000000.0,1144621071312308.2,1141497008687691.8
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-07T00:00:00.000000,1144368000000000.0,0.00007550303903514077,0.00007550303903514077,0.9510419071254885,0.9510419071254885,0.00007938981286676178,,0.001260274208864445,,,608767284359.25,504948316402.06287,103818967957.18713,1143192960000000.0,1144719500132594.2,1141666419867405.8
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-10T00:00:00.000000,1144627200000000.0,0.00022647491887539672,0.00022647491887539672,2.735311433195487,2.735311433195487,0.00008279675803161499,,0.0013143577866842583,,,635388450363.75,531036343194.4003,104352107169.34967,1143331200000000.0,1144851137062409.0,1141811262937591.0
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-18T00:00:00.000000,1145318400000000.0,0.0006036824813548947,0.0002566570434368032,4.610342819684575,4.2333294931728656,0.00013094090937823075,,0.0020786224959566625,,,704143056773.5,565657685910.2202,138485370863.2798,1143486720000000.0,1145152293862983.2,1141821146137016.8
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-19T00:00:00.000000,1145404800000000.0,0.0000754346924480842,0.0000754346924480842,0.5760752586482247,0.8451835864086567,0.00013094589867492944,,0.0020787016985863538,,,756878511290.75,603901850986.3262,152976660304.42383,1143642240000000.0,1145416371181763.5,1141868108818236.5
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-21T00:00:00.000000,1145577600000000.0,0.00015085231586908776,0.00015085231586908776,1.158619235447435,1.158619235447435,0.0001302000788989419,,0.002066862176685532,,,803354682080.0,643792417205.061,159562264874.93896,1143802080000000.0,1145671176760864.2,1141932983239135.8
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-25T00:00:00.000000,1145923200000000.0,0.00030163637963909196,0.0002566570434368032,2.249438941291615,2.249438941291615,0.00013409405078845753,,0.0021286770640771397,,,858181828059.5,686670299375.9489,171511528683.55115,1143974880000000.0,1145959785219638.2,1141989974780361.8
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-26T00:00:00.000000,1146009600000000.0,0.00007539488071728329,0.00007539488071728329,0.5622253950043115,0.8451835864086567,0.00013410080972366096,,0.0021287843588471953,,,898250027011.5,728986244903.0591,169263782108.44092,1144147680000000.0,1146211765540455.0,1142083594459545.0
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-27T00:00:00.000000,1146096000000000.0,0.00007538919676619571,0.00007538919676619571,0.5631538659527789,0.8451835864086567,0.00013386962484692803,,0.0021251144127029083,,,926298330725.75,768448662067.5973,157849668658.1527,1144311840000000.0,1146449827711451.0,1142173852288549.0
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-04-28T00:00:00.000000,1146182400000000.0,0.00007538351366065399,0.00007538351366065399,0.5630870817561544,0.8451835864086567,0.0001338754095113461,,0.0021252062414037175,,,944609698812.75,803680869416.6279,140928829396.12207,1144476000000000.0,1146660957291645.8,1142291042708354.2
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-05-01T00:00:00.000000,1146441600000000.0,0.00022611645093917332,0.00022611645093917332,1.6862780946486826,1.6862780946486826,0.00013409202886329504,,0.002128644967010243,,,968868352455.75,836718366024.4524,132149986431.2976,1144648800000000.0,1146883538964622.0,1142414061035378.0
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-05-02T00:00:00.000000,1146528000000000.0,0.00007536078981473793,0.00007536078981473793,0.561979687905535,0.8451835864086567,0.00013409877872206223,,0.0021287521176963395,,,983725493031.25,866119791425.812,117605701605.43799,1144821600000000.0,1147077337677918.0,1142565862322082.0
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-05-03T00:00:00.000000,1146614400000000.0,0.0000753551109937689,0.0000753551109937689,0.5619090640078218,0.8451835864086567,0.00013410552671334013,,0.002128859238736963,,,991047463647.0,891105325870.0497,99942137776.95032,1144994400000000.0,1147243159894042.2,1142745640105957.8
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-05-04T00:00:00.000000,1146700800000000.0,0.00007534943303255659,0.00007534943303255659,0.5628359228727745,0.8451835864086567,0.00013387459820966128,,0.0021251933623887397,,,992382369814.25,911360734658.8898,81021635155.36023,1145158560000000.0,1147402002263365.0,1142915117736635.0
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-05-05T00:00:00.000000,1146787200000000.0,0.00007534375592399556,0.00007534375592399556,0.5627692390975375,0.8451835864086567,0.00013388037349876757,,0.0021252850422610885,,,989011343366.25,926890856400.3618,62120486965.88818,1145322720000000.0,1147536687003605.2,1143108752996394.8
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-05-08T00:00:00.000000,1147046400000000.0,0.00022599721366134418,0.00022599721366134418,1.6853294109998387,1.6853294109998387,0.00013409676006737996,,0.0021287200725467062,,,995776364316.0,940667957983.4895,55108406332.5105,1145495520000000.0,1147679470083871.5,1143311569916128.5
Invesco S&P 500 Pure Growth ET - RPG US Equity Index,2006-05-09T00:00:00.000000,1147132800000000.0,0.00007532105603758055,0.00007532105603758055,0.5616636150313501,0.8451835864086567,0.00013410349900158013,,0.002128827049810678,,,996621023301.5,951858571047.0917,44762452254.408325,1145668320000000.0,1147792443443335.2,1143544196556664.8
