series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-11T00:00:00.000000,1739232000000000.0,,,,,,,,,,0.0,0.0,0.0,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-12T00:00:00.000000,1739318400000000.0,0.000049675864993048435,0.000049675864993048435,,,,,,,,6892307692.5,1378461538.5,5513846154.0,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-13T00:00:00.000000,1739404800000000.0,0.00004967339742023569,0.00004967339742023569,,,,,,,,19106026737.0,4923974578.2,14182052158.8,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-14T00:00:00.000000,1739491200000000.0,0.000049670930103218325,0.000049670930103218325,,,,,,,,35349755028.5,11009130668.26,24340624360.239998,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-18T00:00:00.000000,1739836800000000.0,0.000198659052053074,0.00019804921587507351,,,,,,,,75242707336.0,23855846001.808,51386861334.192,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-19T00:00:00.000000,1739923200000000.0,0.00004965859715611032,0.00004965859715611032,,,,,,,,112532710342.5,41591218869.946396,70941491472.5536,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-20T00:00:00.000000,1740009600000000.0,0.00004965613130281099,0.00004965613130281099,,,,,,,,147358408306.75,62744656757.30712,84613751549.44287,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-21T00:00:00.000000,1740096000000000.0,0.000049653665691096194,0.000049653665691096194,,,,,,,,179856508896.25,86167027185.0957,93689481711.1543,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-24T00:00:00.000000,1740355200000000.0,0.0001489462058685831,0.0001489462058685831,,,,,,,,223945259969.0,113722673741.87657,110222586227.12343,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-25T00:00:00.000000,1740441600000000.0,0.0000496438057098203,0.0000496438057098203,,,,,,,,262827953715.75,143543729736.65128,119284223979.09872,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-26T00:00:00.000000,1740528000000000.0,0.00004964134131313358,0.00004964134131313358,,,,,,,,297188719999.25,174272727789.17102,122915992210.07898,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-27T00:00:00.000000,1740614400000000.0,0.000049638877179347674,0.000049638877179347674,,,,,,,,327615089936.5,204941200218.63684,122673889717.86316,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-02-28T00:00:00.000000,1740700800000000.0,0.0000496364132871463,0.0000496364132871463,,,,,,,,354612216355.25,234875403445.95947,119736812909.29053,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-03T00:00:00.000000,1740960000000000.0,0.0001488944589169705,0.0001488944589169705,,,,,,,,392399569346.0,266380236625.9676,126019332720.03241,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-04T00:00:00.000000,1741046400000000.0,0.00004962656014839695,0.00004962656014839695,,,,,,,,424425563064.0,297989301913.5741,126436261150.4259,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-05T00:00:00.000000,1741132800000000.0,0.00004962409747122365,0.00004962409747122365,,,,,,,,451572702722.5,328705982075.35925,122866720647.14075,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-06T00:00:00.000000,1741219200000000.0,0.00004962163504274031,0.00004962163504274031,,,,,,,,474588009261.75,357882387512.63745,116705621749.11255,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-07T00:00:00.000000,1741305600000000.0,0.0000496191728558415,0.0000496191728558415,,,,,,,,494103841914.75,385126678393.06,108977163521.69,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-10T00:00:00.000000,1741564800000000.0,0.00014884274791171492,0.00014884274791171492,,,,,,,,524440134256.75,412989369565.798,111450764690.95203,,,
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-11T00:00:00.000000,1741651200000000.0,0.00004960932656672412,0.00004960932656672412,,,,,,,,549123666612.75,440216228975.1884,108907437637.56158,1740441600000000.0,1741959467712147.2,1738923732287852.8
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-12T00:00:00.000000,1741737600000000.0,0.000049606865601958816,0.000049606865601958816,1.0578805235458288,1.0578805235458288,0.000046892692036417643,,0.0007443984086082004,,,569097104594.0,465992404098.95074,103104700495.04926,1740566880000000.0,1742077976752763.0,1739055783247237.0
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-13T00:00:00.000000,1741824000000000.0,0.00004960440487877804,0.00004960440487877804,1.0577876336343957,1.0577876336343957,0.00004689448363878573,,0.0007444268494140861,,,585152680167.75,489824459312.71063,95328220855.03937,1740692160000000.0,1742182759345936.2,1739201560654063.8
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-14T00:00:00.000000,1741910400000000.0,0.000049601944404287224,0.000049601944404287224,1.0576947636860876,1.0576947636860876,0.00004689627490583715,,0.0007444552848969846,,,597955735900.75,511450714630.31854,86505021270.43146,1740817440000000.0,1742273235807544.2,1739361644192455.8
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-17T00:00:00.000000,1742169600000000.0,0.00014879107281018378,0.00014879107281018378,3.0012540294235435,3.0012540294235435,0.000049576300890052404,,0.0007869993784655327,,,621849232718.25,533530418247.9049,88318814470.3451,1740951360000000.0,1742386087526525.0,1739516632473475.0
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-18T00:00:00.000000,1742256000000000.0,0.000049592104950590965,0.000049592104950590965,1.2176463500263772,1.2176463500263772,0.00004072783936774144,,0.0006465344064241798,,,640374915606.75,554899317719.674,85475597887.07605,1741072320000000.0,1742519263763647.2,1739625376236352.8
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-19T00:00:00.000000,1742342400000000.0,0.000049589645691128226,0.000049589645691128226,1.2175330946433753,1.2175330946433753,0.00004072960801583255,,0.0006465624828422149,,,654483927378.75,574816239651.4893,79667687727.26074,1741193280000000.0,1742640223763647.2,1739746336236352.8
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-20T00:00:00.000000,1742428800000000.0,0.000049587186680355444,0.000049587186680355444,1.2174198653653754,1.2174198653653754,0.00004073137632387262,,0.0006465905538621073,,,664971797828.25,592847351286.8414,72124446541.40857,1741314240000000.0,1742748967526525.0,1739879512473475.0
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-21T00:00:00.000000,1742515200000000.0,0.00004958472791116719,0.00004958472791116719,1.2173066620095925,1.2173066620095925,0.0000407331442919323,,0.0006466186194849782,,,672503071851.75,608778495399.8231,63724576451.92688,1741435200000000.0,1742845177558612.0,1740025222441388.0
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-24T00:00:00.000000,1742774400000000.0,0.00014873943357684993,0.00014873943357684993,3.653460642944033,3.653460642944033,0.00004071192989696275,,0.0006462818514051535,,,691416713074.25,625306138934.7085,66110574139.541504,1741556160000000.0,1742990887526525.0,1740121432473475.0
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-25T00:00:00.000000,1742860800000000.0,0.000049574895285786624,0.000049574895285786624,1.2176465941207735,1.2176465941207735,0.000040713697656735274,,0.0006463099137215682,,,705248007900.0,641294512727.7668,63953495172.233154,1741677120000000.0,1743124063763647.2,1740230176236352.8
MEX 6.05 01_11_40 - 91086QAV0 Govt Govt,2025-03-26T00:00:00.000000,1742947200000000.0,0.00004957243773162645,0.00004957243773162645,1.2175333780030229,1.2175333780030229,0.00004071546507655856,,0.0006463379706414562,,,714939785807.25,656023567343.6636,58916218463.586426,1741798080000000.0,1743245023763647.2,1740351136236352.8
