series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Manufacturing SA - CPMINDX INDEX Index,2005-01-31T00:00:00.000000,1107129600000000.0,,,,,,,,,,0.0,0.0,0.0,,,
Manufacturing SA - CPMINDX INDEX Index,2005-02-28T00:00:00.000000,1109548800000000.0,0.002182726155027126,0.002182726155027126,,,,,,,,192984615384.625,38596923076.925,154387692307.7,,,
Manufacturing SA - CPMINDX INDEX Index,2005-03-31T00:00:00.000000,1112227200000000.0,0.00241104530564229,0.0023883828141535446,,,,,,,,555645671707.375,142006672803.015,413638998904.36,,,
Manufacturing SA - CPMINDX INDEX Index,2005-04-30T00:00:00.000000,1114819200000000.0,0.0023277477922079015,0.0023277477922079015,,,,,,,,1040218913308.125,321649120904.037,718569792404.088,,,
Manufacturing SA - CPMINDX INDEX Index,2005-05-31T00:00:00.000000,1117497600000000.0,0.002399660554694094,0.0023883828141535446,,,,,,,,1621677505293.875,581654797782.0046,1040022707511.8704,,,
Manufacturing SA - CPMINDX INDEX Index,2005-06-30T00:00:00.000000,1120089600000000.0,0.002316782254901284,0.002316782254901284,,,,,,,,2265524806647.0,918428799555.0038,1347096007091.996,,,
Manufacturing SA - CPMINDX INDEX Index,2005-07-31T00:00:00.000000,1122768000000000.0,0.0023883828141535446,0.0023883828141535446,,,,,,,,2957807167460.375,1326304473136.0781,1631502694324.2969,,,
Manufacturing SA - CPMINDX INDEX Index,2005-08-31T00:00:00.000000,1125446400000000.0,0.002382692030749922,0.002382692030749922,,,,,,,,3680147966759.0,1797073171860.6626,1883074794898.3374,,,
Manufacturing SA - CPMINDX INDEX Index,2005-09-30T00:00:00.000000,1128038400000000.0,0.0023004380975422123,0.0023004380975422123,,,,,,,,4410914713027.0,2319841480093.93,2091073232933.0698,,,
Manufacturing SA - CPMINDX INDEX Index,2005-10-31T00:00:00.000000,1130716800000000.0,0.0023715728515938395,0.0023715728515938395,,,,,,,,5146847466222.5,2885242677319.6445,2261604788902.8555,,,
Manufacturing SA - CPMINDX INDEX Index,2005-11-30T00:00:00.000000,1133308800000000.0,0.0022897277596669596,0.0022897277596669596,,,,,,,,5871548655008.375,3482503872857.3906,2389044782150.9844,,,
Manufacturing SA - CPMINDX INDEX Index,2005-12-31T00:00:00.000000,1135987200000000.0,0.0023605569689664208,0.0023605569689664208,,,,,,,,6586083789755.0,4103219856236.9126,2482863933518.0874,,,
Manufacturing SA - CPMINDX INDEX Index,2006-01-31T00:00:00.000000,1138665600000000.0,0.002354997859775665,0.002354997859775665,,,,,,,,7284511216810.125,4739478128351.556,2545033088458.5693,,,
Manufacturing SA - CPMINDX INDEX Index,2006-02-28T00:00:00.000000,1141084800000000.0,0.0021223383999142698,0.0021223383999142698,,,,,,,,7941682434966.5,5379918989674.545,2561763445291.955,,,
Manufacturing SA - CPMINDX INDEX Index,2006-03-31T00:00:00.000000,1143763200000000.0,0.002344489635063951,0.002344489635063951,,,,,,,,8579718204918.375,6019878832723.312,2559839372195.0635,,,
Manufacturing SA - CPMINDX INDEX Index,2006-04-30T00:00:00.000000,1146355200000000.0,0.0022636393880759442,0.0022636393880759442,,,,,,,,9188598443998.5,6653622754978.35,2534975689020.1504,,,
Manufacturing SA - CPMINDX INDEX Index,2006-05-31T00:00:00.000000,1149033600000000.0,0.002333723346218619,0.002333723346218619,,,,,,,,9774589532235.0,7277816110429.68,2496773421805.3203,,,
Manufacturing SA - CPMINDX INDEX Index,2006-06-30T00:00:00.000000,1151625600000000.0,0.002253268190855806,0.002253268190855806,,,,,,,,10329077256269.5,7888068339597.645,2441008916671.8555,,,
