series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Month % change - DGNOCHNG Index Index,2000-02-29T00:00:00.000000,-8.7,,,,,,,,,,0.0,0.0,0.0,,,
Month % change - DGNOCHNG Index Index,2000-03-31T00:00:00.000000,4.5,NaN,NaN,,,,,,,,1.0529914529914537,0.21059829059829074,0.842393162393163,,,
Month % change - DGNOCHNG Index Index,2000-04-30T00:00:00.000000,1.5,-1.0986122886681098,-1.0986122886681098,,,,,,,,1.6266686147028038,0.4938123554191934,1.1328562592836104,,,
Month % change - DGNOCHNG Index Index,2000-05-31T00:00:00.000000,-3.3,NaN,NaN,,,,,,,,1.6746872614600976,0.7299873366273743,0.9446999248327234,,,
Month % change - DGNOCHNG Index Index,2000-06-30T00:00:00.000000,16.5,NaN,NaN,,,,,,,,3.27271113272054,1.2385320958460075,2.0341790368745327,,,
Month % change - DGNOCHNG Index Index,2000-07-31T00:00:00.000000,-13.9,NaN,NaN,,,,,,,,2.0623570588337587,1.4032970884435578,0.6590599703902009,,,
Month % change - DGNOCHNG Index Index,2000-08-31T00:00:00.000000,-0.3,NaN,NaN,,,,,,,,2.175471592867377,1.5577319893283217,0.6177396035390552,,,
Month % change - DGNOCHNG Index Index,2000-09-30T00:00:00.000000,5.9,NaN,NaN,,,,,,,,2.733889286564743,1.7929634487756059,0.9409258377891372,,,
Month % change - DGNOCHNG Index Index,2000-10-31T00:00:00.000000,-6.9,NaN,NaN,,,,,,,,2.119157972093281,1.858202353439141,0.26095561865413996,,,
Month % change - DGNOCHNG Index Index,2000-11-30T00:00:00.000000,1.7,NaN,NaN,,,,,,,,2.2994208115006156,1.946446045051436,0.3529747664491796,,,
Month % change - DGNOCHNG Index Index,2000-12-31T00:00:00.000000,-0.4,NaN,NaN,,,,,,,,2.2469267875433925,2.0065421935498273,0.24038459399356515,,,
Month % change - DGNOCHNG Index Index,2001-01-31T00:00:00.000000,-6.2,NaN,NaN,,,,,,,,1.7175149250408,1.9487367398480218,-0.23122181480722181,,,
Month % change - DGNOCHNG Index Index,2001-02-28T00:00:00.000000,1.8,NaN,NaN,,,,,,,,1.9213373698032612,1.9432568658390696,-0.02191949603580845,,,
Month % change - DGNOCHNG Index Index,2001-03-31T00:00:00.000000,1.1,-0.4924764850977941,-0.4924764850977941,,,,,,,53.09902370219056,2.003291281001164,1.9552637488714886,0.048027532129675476,,,
Month % change - DGNOCHNG Index Index,2001-04-30T00:00:00.000000,-5.7,NaN,NaN,,,,,,,48.54791206914936,1.5022205130678832,1.8646551017107675,-0.36243458864288436,,,
Month % change - DGNOCHNG Index Index,2001-05-31T00:00:00.000000,3.4,NaN,NaN,,,,,,,54.20468986755166,1.8184503044242257,1.8554141422534594,-0.036963837829233626,,,
Month % change - DGNOCHNG Index Index,2001-06-30T00:00:00.000000,-0.8,NaN,NaN,,,,,,,51.396096696583655,1.710442872530486,1.826419888308865,-0.11597701577837882,,,
Month % change - DGNOCHNG Index Index,2001-07-31T00:00:00.000000,-3.5,NaN,NaN,,,,,,,49.61627979475084,1.3909448233541317,1.7393248753179185,-0.34838005196378674,,,
Month % change - DGNOCHNG Index Index,2001-08-31T00:00:00.000000,0.2,NaN,NaN,,,,,,,52.06597327379607,1.4199313110552318,1.6754461624653811,-0.2555148514101493,,,
Month % change - DGNOCHNG Index Index,2001-09-30T00:00:00.000000,-3.7,NaN,NaN,,,,,,,49.34269544136091,1.1153488577036126,1.5634267015130277,-0.44807784380941507,-0.8400000000000001,11.805348635180573,-13.485348635180573
Month % change - DGNOCHNG Index Index,2001-10-31T00:00:00.000000,4.5,NaN,NaN,NaN,NaN,NaN,,NaN,,54.70688458089228,1.5181364072691115,1.5543686426642445,-0.03623223539513298,-0.18000000000000008,12.110963732502192,-12.470963732502192
Month % change - DGNOCHNG Index Index,2001-11-30T00:00:00.000000,-4.5,NaN,NaN,NaN,NaN,NaN,,NaN,,48.62130486896566,1.0984612804925753,1.4631871702299106,-0.36472588973733533,-0.6300000000000001,11.598370808557409,-12.85837080855741
Month % change - DGNOCHNG Index Index,2001-12-31T00:00:00.000000,0.9,NaN,NaN,NaN,NaN,NaN,,NaN,,52.06665706757089,1.18790713523469,1.4081311632308666,-0.22022402799617669,-0.66,11.549297578829876,-12.869297578829876
Month % change - DGNOCHNG Index Index,2002-01-31T00:00:00.000000,-1.2,NaN,NaN,NaN,NaN,NaN,,NaN,,50.64435507965373,1.076927025585524,1.3418903357017982,-0.2649633101162743,-0.555,11.594676192349631,-12.70467619234963
Month % change - DGNOCHNG Index Index,2002-02-28T00:00:00.000000,5.6,NaN,NaN,NaN,NaN,NaN,,NaN,,54.93701406510134,1.5201542670218124,1.3775431219658012,0.14261114505601125,-1.1,8.548997766334951,-10.74899776633495
Month % change - DGNOCHNG Index Index,2002-03-31T00:00:00.000000,-2.6,NaN,NaN,NaN,NaN,NaN,,NaN,,49.361700550588026,1.1959573277821889,1.3412259631290788,-0.14526863534688994,-0.5349999999999999,7.0636910230090235,-8.133691023009023
Month % change - DGNOCHNG Index Index,2002-04-30T00:00:00.000000,2.4,NaN,NaN,NaN,NaN,NaN,,NaN,,52.52547631174711,1.3271881323348236,1.3384183969702277,-0.011230264635404108,-0.3999999999999999,7.311372326499011,-8.11137232649901
Month % change - DGNOCHNG Index Index,2002-05-31T00:00:00.000000,0.0,-inf,-2.3353749158170367,NaN,NaN,NaN,,NaN,,50.88217145209487,1.2234266472141262,1.3154200470190074,-0.09199339980488119,-0.695,6.430779735727542,-7.820779735727543
Month % change - DGNOCHNG Index Index,2002-06-30T00:00:00.000000,-3.4,NaN,NaN,NaN,NaN,NaN,,NaN,,48.564155909726615,0.8569647811256695,1.22372899384034,-0.3667642127146704,-0.5199999999999999,6.119467321690009,-7.159467321690008
Month % change - DGNOCHNG Index Index,2002-07-31T00:00:00.000000,4.9,NaN,NaN,NaN,NaN,NaN,,NaN,,54.065553726040164,1.222193065174592,1.2234218081071906,-0.0012287429325985588,-0.3599999999999999,6.648686339859015,-7.368686339859014
Month % change - DGNOCHNG Index Index,2002-08-31T00:00:00.000000,1.6,-1.1192315758708453,-1.1192315758708453,NaN,NaN,NaN,,NaN,,51.697991610051595,1.2311645918206184,1.2249703648498762,0.006194226970742234,-0.2599999999999999,6.803143775968321,-7.323143775968321
Month % change - DGNOCHNG Index Index,2002-09-30T00:00:00.000000,-5.8,NaN,NaN,NaN,NaN,NaN,,NaN,,46.75375046283504,0.633849809656444,1.1067462538111899,-0.47289644415474585,-0.23999999999999985,6.7542532801842725,-7.234253280184273
Month % change - DGNOCHNG Index Index,2002-10-31T00:00:00.000000,1.4,NaN,NaN,NaN,NaN,NaN,,NaN,,51.603561687023195,0.7330037574234705,1.031997754533646,-0.2989939971101756,-0.2599999999999999,6.711943774873693,-7.2319437748736926
Month % change - DGNOCHNG Index Index,2002-11-30T00:00:00.000000,0.5,-1.0296194171811581,-1.0296194171811581,NaN,NaN,NaN,,NaN,,50.97850756357901,0.7305402833671695,0.9717062603003508,-0.24116597693318131,-0.28999999999999987,6.662439935204878,-7.242439935204878
Month % change - DGNOCHNG Index Index,2002-12-31T00:00:00.000000,-3.6,NaN,NaN,NaN,NaN,NaN,,NaN,,48.11906636755064,0.3932194386408121,0.8560088959684431,-0.462789457327631,-0.18499999999999986,6.480946452324921,-6.85094645232492
Month % change - DGNOCHNG Index Index,2003-01-31T00:00:00.000000,3.7,NaN,NaN,NaN,NaN,NaN,,NaN,,53.15710472530226,0.7067917746684147,0.8261654717084375,-0.11937369704002276,-0.16999999999999985,6.531170361252305,-6.871170361252305
Month % change - DGNOCHNG Index Index,2003-02-28T00:00:00.000000,2.4,-0.43286408229627904,-0.43286408229627904,NaN,NaN,NaN,,NaN,,52.18523840020856,0.8407097954915401,0.8290743364650581,0.011635459026481998,-0.009999999999999853,6.780054646706696,-6.800054646706696
Month % change - DGNOCHNG Index Index,2003-03-31T00:00:00.000000,-1.1,NaN,NaN,NaN,NaN,NaN,,NaN,,49.55817877921676,0.6568483041650255,0.7946291300050516,-0.13778082584002616,0.11000000000000014,6.72287420590759,-6.502874205907589
Month % change - DGNOCHNG Index Index,2003-04-30T00:00:00.000000,-1.7,NaN,NaN,NaN,NaN,NaN,,NaN,,49.10183944059481,0.45744857957399504,0.7271930199188404,-0.2697444403448454,0.015000000000000135,6.676839480440663,-6.646839480440662
Month % change - DGNOCHNG Index Index,2003-05-31T00:00:00.000000,1.3,NaN,NaN,NaN,NaN,NaN,,NaN,,51.506273214223256,0.535326874215507,0.6888197907781738,-0.15349291656266684,0.2650000000000001,6.711631107142628,-6.181631107142627
Month % change - DGNOCHNG Index Index,2003-06-30T00:00:00.000000,1.1,-0.16705408466316612,-0.16705408466316612,NaN,NaN,NaN,,NaN,,51.332175197253804,0.5742876250119564,0.6659133576249304,-0.09162573261297402,0.09500000000000013,6.243846704014803,-6.053846704014804
Month % change - DGNOCHNG Index Index,2003-07-31T00:00:00.000000,-0.1,NaN,NaN,NaN,NaN,NaN,,NaN,,50.234999861197274,0.5025413457212891,0.6332389552442022,-0.1306976095229131,0.3150000000000001,6.074120912449274,-5.444120912449273
Month % change - DGNOCHNG Index Index,2003-08-31T00:00:00.000000,-0.2,NaN,NaN,NaN,NaN,NaN,,NaN,,50.138824471813635,0.43262569846254645,0.5931163038878711,-0.16049060542532462,0.2600000000000001,6.0166071879006555,-5.496607187900656
Month % change - DGNOCHNG Index Index,2003-09-30T00:00:00.000000,3.3,NaN,NaN,NaN,NaN,NaN,,NaN,,53.49474959801988,0.6521205537616792,0.6049171538626328,0.04720339989904643,0.48500000000000015,6.352044445571877,-5.382044445571877
Month % change - DGNOCHNG Index Index,2003-10-31T00:00:00.000000,2.8,-0.16430305129127643,-0.16430305129127643,NaN,NaN,NaN,,NaN,,52.94650583797626,0.7767718443377898,0.6392880919576642,0.13748375238012556,0.34500000000000014,5.818563257772959,-5.128563257772959
Month % change - DGNOCHNG Index Index,2003-11-30T00:00:00.000000,-1.1,NaN,NaN,NaN,NaN,NaN,,NaN,,48.749745425999826,0.5544698999818901,0.6223244535625094,-0.06785455358061931,0.4200000000000002,5.763210152786631,-4.923210152786631
Month % change - DGNOCHNG Index Index,2003-12-31T00:00:00.000000,-0.1,NaN,NaN,NaN,NaN,NaN,,NaN,,49.84746111596164,0.45375504443260234,0.588610571736528,-0.13485552730392564,0.2950000000000002,5.559568758267513,-4.969568758267513
Month % change - DGNOCHNG Index Index,2004-01-31T00:00:00.000000,-1.6,NaN,NaN,NaN,NaN,NaN,,NaN,,48.180442048105334,0.2500182767580026,0.5208921127408229,-0.27087383598282033,0.21500000000000022,5.546643372603949,-5.116643372603949
Month % change - DGNOCHNG Index Index,2004-02-29T00:00:00.000000,1.7,NaN,NaN,NaN,NaN,NaN,,NaN,,51.98481832464885,0.35079410519803983,0.4868725112322663,-0.1360784060342265,0.4700000000000002,5.555831712761085,-4.615831712761084
Month % change - DGNOCHNG Index Index,2004-03-31T00:00:00.000000,5.1,1.0986122886681096,1.0986122886681096,NaN,NaN,NaN,,NaN,,55.601480236741345,0.6969769439450998,0.5288933977748331,0.16808354617026666,0.48000000000000015,5.603156921479694,-4.643156921479693
Month % change - DGNOCHNG Index Index,2004-04-30T00:00:00.000000,-3.4,NaN,NaN,NaN,NaN,NaN,,NaN,,46.226954413399724,0.28219737949968976,0.4795541941198045,-0.19735681462011473,0.23000000000000015,5.604834146767991,-5.14483414676799
Month % change - DGNOCHNG Index Index,2004-05-31T00:00:00.000000,-0.5,NaN,NaN,NaN,NaN,NaN,,NaN,,49.36376379865136,0.18535074206240634,0.42071350370832483,-0.2353627616459185,0.4950000000000001,5.0830737845670715,-4.093073784567071
