series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Monthly % Change - PCE CRCH Index Index,2000-02-29T00:00:00.000000,1.3,,,,,,,,,,0.0,0.0,0.0,,,
Monthly % Change - PCE CRCH Index Index,2000-03-31T00:00:00.000000,0.9,-0.36772478012531734,-0.36772478012531734,,,,,,,,-0.03190883190883187,-0.006381766381766374,-0.025527065527065497,,,
Monthly % Change - PCE CRCH Index Index,2000-04-30T00:00:00.000000,-0.1,NaN,NaN,,,,,,,,-0.13631707534841442,-0.03236882817509598,-0.10394824717331844,,,
Monthly % Change - PCE CRCH Index Index,2000-05-31T00:00:00.000000,0.5,NaN,NaN,,,,,,,,-0.16870168687118237,-0.05963539991431326,-0.1090662869568691,,,
Monthly % Change - PCE CRCH Index Index,2000-06-30T00:00:00.000000,0.6,0.18232155679395456,0.18232155679395456,,,,,,,,-0.1841745114332235,-0.08454322221809532,-0.09963128921512818,,,
Monthly % Change - PCE CRCH Index Index,2000-07-31T00:00:00.000000,0.3,-0.6931471805599454,-0.6931471805599454,,,,,,,,-0.2181298638800282,-0.1112605505504819,-0.1068693133295463,,,
Monthly % Change - PCE CRCH Index Index,2000-08-31T00:00:00.000000,0.5,0.5108256237659908,0.5108256237659908,,,,,,,,-0.22629283387248167,-0.13426700721488186,-0.09202582665759981,,,
Monthly % Change - PCE CRCH Index Index,2000-09-30T00:00:00.000000,1.3,0.9555114450274363,0.9555114450274363,,,,,,,,-0.16629182365149786,-0.14067197050220506,-0.0256198531492928,,,
Monthly % Change - PCE CRCH Index Index,2000-10-31T00:00:00.000000,0.1,-2.5649493574615363,-2.5649493574615363,,,,,,,,-0.21311391736837404,-0.15516035987543886,-0.05795355749293518,,,
Monthly % Change - PCE CRCH Index Index,2000-11-30T00:00:00.000000,0.2,0.6931471805599452,0.6931471805599452,,,,,,,,-0.2393920373189936,-0.1720066953641498,-0.0673853419548438,,,
Monthly % Change - PCE CRCH Index Index,2000-12-31T00:00:00.000000,0.6,1.0986122886681096,1.0986122886681096,,,,,,,,-0.22534336164134228,-0.1826740286195883,-0.042669333021753963,,,
Monthly % Change - PCE CRCH Index Index,2001-01-31T00:00:00.000000,0.5,-0.18232155679395456,-0.18232155679395456,,,,,,,,-0.21974575691792508,-0.19008837427925568,-0.029657382638669405,,,
Monthly % Change - PCE CRCH Index Index,2001-02-28T00:00:00.000000,0.2,-0.916290731874155,-0.916290731874155,,,,,,,,-0.2367875679532201,-0.1994282130140486,-0.0373593549391715,,,
Monthly % Change - PCE CRCH Index Index,2001-03-31T00:00:00.000000,-0.1,NaN,NaN,,,,,,,37.5722260321323,-0.27137260431473925,-0.21381709127418672,-0.057555513040552536,,,
