series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Net Change SA - NFP TCH Index Index,2000-02-29T00:00:00.000000,110.0,,,,,,,,,,0.0,0.0,0.0,,,
Net Change SA - NFP TCH Index Index,2000-03-31T00:00:00.000000,483.0,1.4795362878601557,1.4795362878601557,,,,,,,,29.754985754985768,5.9509971509971535,23.803988603988614,,,
Net Change SA - NFP TCH Index Index,2000-04-30T00:00:00.000000,279.0,-0.5488048718312069,-0.5488048718312069,,,,,,,,36.45470410142778,12.051738541083278,24.4029655603445,,,
Net Change SA - NFP TCH Index Index,2000-05-31T00:00:00.000000,222.0,-0.2285343999490861,-0.2285343999490861,,,,,,,,36.741324411586845,16.989655715183993,19.751668696402852,,,
Net Change SA - NFP TCH Index Index,2000-06-30T00:00:00.000000,-43.0,NaN,NaN,,,,,,,,15.407578792348659,16.673240330616927,-1.2656615382682688,,,
Net Change SA - NFP TCH Index Index,2000-07-31T00:00:00.000000,166.0,NaN,NaN,,,,,,,,15.189885457705088,16.376569356034558,-1.1866838983294699,,,
Net Change SA - NFP TCH Index Index,2000-08-31T00:00:00.000000,6.0,-3.3202283191284887,-2.364888976330201,,,,,,,,2.0826911304748705,13.517793710922621,-11.43510258044775,,,
Net Change SA - NFP TCH Index Index,2000-09-30T00:00:00.000000,104.0,2.8526314299133175,2.8526314299133175,,,,,,,,-0.3925487684145992,10.73572521505518,-11.128273983469779,,,
Net Change SA - NFP TCH Index Index,2000-10-31T00:00:00.000000,14.0,-2.005333569526114,-2.005333569526114,,,,,,,,-9.506852976736383,6.687209576696868,-16.194062553433252,,,
Net Change SA - NFP TCH Index Index,2000-11-30T00:00:00.000000,204.0,2.6790626642289577,2.6790626642289577,,,,,,,,-1.3826542456296806,5.073236812231559,-6.45589105786124,,,
Net Change SA - NFP TCH Index Index,2000-12-31T00:00:00.000000,160.0,-0.24294617861038947,-0.24294617861038947,,,,,,,,1.4882439539055383,4.356238240566356,-2.8679942866608172,,,
Net Change SA - NFP TCH Index Index,2001-01-31T00:00:00.000000,-13.0,NaN,NaN,,,,,,,,-10.080006675562942,1.4689892573404961,-11.548995932903438,,,
Net Change SA - NFP TCH Index Index,2001-02-28T00:00:00.000000,85.0,NaN,NaN,,,,,,,,-11.210915212319563,-1.0669916365915157,-10.143923575728047,,,
Net Change SA - NFP TCH Index Index,2001-03-31T00:00:00.000000,-37.0,NaN,NaN,,,,,,,44.01515849092056,-21.701388678868838,-5.19387104504698,-16.50751763382186,,,
Net Change SA - NFP TCH Index Index,2001-04-30T00:00:00.000000,-294.0,NaN,NaN,,,,,,,36.195578369855404,-50.174535825836294,-14.190004001204844,-35.984531824631446,,,
Net Change SA - NFP TCH Index Index,2001-05-31T00:00:00.000000,-48.0,NaN,NaN,,,,,,,46.071664080885455,-52.286835888835455,-21.809370378730968,-30.477465510104487,,,
Net Change SA - NFP TCH Index Index,2001-06-30T00:00:00.000000,-110.0,NaN,NaN,,,,,,,44.214131506280495,-58.29177940384807,-29.105852183754386,-29.18592722009368,,,
Net Change SA - NFP TCH Index Index,2001-07-31T00:00:00.000000,-128.0,NaN,NaN,,,,,,,43.66371841341529,-63.7681108825178,-36.03830392350707,-27.72980695901073,,,
Net Change SA - NFP TCH Index Index,2001-08-31T00:00:00.000000,-150.0,NaN,NaN,,,,,,,42.959796106477825,-69.08696761500813,-42.64803666180728,-26.438930953200853,,,
Net Change SA - NFP TCH Index Index,2001-09-30T00:00:00.000000,-258.0,NaN,NaN,,,,,,,39.58591011789141,-81.08223180581955,-50.334875690609735,-30.74735611520981,37.6,412.3163980230495,-337.11639802304944
Net Change SA - NFP TCH Index Index,2001-10-31T00:00:00.000000,-311.0,NaN,NaN,NaN,NaN,NaN,,NaN,,38.008356672170024,-93.78413700596161,-59.02472795368011,-34.7594090522815,16.55,420.31568243944344,-387.2156824394434
Net Change SA - NFP TCH Index Index,2001-11-30T00:00:00.000000,-308.0,NaN,NaN,NaN,NaN,NaN,,NaN,,38.15858537985391,-102.42769080087677,-67.70532052311945,-34.72237027775732,-23.0,341.431785545374,-387.431785545374
Net Change SA - NFP TCH Index Index,2001-12-31T00:00:00.000000,-161.0,NaN,NaN,NaN,NaN,NaN,,NaN,,45.17018811015761,-96.30594302423336,-73.42544502334223,-22.880498000891123,-45.0,294.97213508106654,-384.97213508106654
Net Change SA - NFP TCH Index Index,2002-01-31T00:00:00.000000,-124.0,NaN,NaN,NaN,NaN,NaN,,NaN,,46.80503646346775,-87.46063131291179,-76.23248228125615,-11.228149031655633,-62.3,254.91691067951064,-379.51691067951066
