series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-04-22T00:00:00.000000,1713744000000000.0,,,,,,,,,,0.0,0.0,0.0,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-04-24T00:00:00.000000,1713916800000000.0,0.00010082677967915288,0.00010082677967915288,,,,,,,,13784615384.75,2756923076.9500003,11027692307.8,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-04-25T00:00:00.000000,1714003200000000.0,0.00005040957783108979,0.00005040957783108979,,,,,,,,31319745781.5,8469487617.860001,22850258163.64,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-04-26T00:00:00.000000,1714089600000000.0,0.00005040703683079073,0.00005040703683079073,,,,,,,,51593483319.75,17094286758.238003,34499196561.51199,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-04-29T00:00:00.000000,1714348800000000.0,0.00015120586707695338,0.00015104599378901185,,,,,,,,87566428874.5,31188715181.490402,56377713693.0096,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-04-30T00:00:00.000000,1714435200000000.0,0.00005039687540175919,0.00005039687540175919,,,,,,,,121644760248.0,49279924194.79233,72364836053.20767,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-01T00:00:00.000000,1714521600000000.0,0.00005039433568754248,0.00005039433568754248,,,,,,,,153850350238.75,70194009403.58386,83656340835.16614,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-02T00:00:00.000000,1714608000000000.0,0.000050391796229121155,0.000050391796229121155,,,,,,,,184221677436.75,92999543010.2171,91222134426.5329,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-03T00:00:00.000000,1714694400000000.0,0.00005038925701938979,0.00005038925701938979,,,,,,,,212809792165.25,116961592841.2237,95848199324.0263,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-06T00:00:00.000000,1714953600000000.0,0.00015115253839326215,0.00015104599378901185,,,,,,,,253459628010.5,144261199875.07898,109198428135.42102,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-07T00:00:00.000000,1715040000000000.0,0.00005037910275973445,0.00005037910275973445,,,,,,,,289311668880.5,173271293676.1632,116040375204.33679,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-08T00:00:00.000000,1715126400000000.0,0.00005037656482898001,0.00005037656482898001,,,,,,,,320996183307.0,202816271602.33057,118179911704.66943,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-09T00:00:00.000000,1715212800000000.0,0.00005037402716112638,0.00005037402716112638,,,,,,,,349054464600.5,232063910201.96448,116990554398.53552,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-10T00:00:00.000000,1715299200000000.0,0.00005037148974906813,0.00005037148974906813,,,,,,,,373951927556.0,260441513672.7716,113510413883.2284,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-13T00:00:00.000000,1715558400000000.0,0.0001510992473114925,0.00015104599378901185,,,,,,,,409873849500.25,290327980838.2673,119545868661.98273,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-14T00:00:00.000000,1715644800000000.0,0.000050361342644578144,0.000050361342644578144,,,,,,,,440239186072.0,320310221885.01385,119928964186.98615,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-15T00:00:00.000000,1715731200000000.0,0.000050358806504391396,0.000050358806504391396,,,,,,,,465905028844.0,349429183276.8111,116475845567.1889,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-16T00:00:00.000000,1715817600000000.0,0.00005035627062710546,0.00005035627062710546,,,,,,,,487596443792.5,377062635379.9489,110533808412.55109,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-17T00:00:00.000000,1715904000000000.0,0.00005035373499850948,0.00005035373499850948,,,,,,,,505926795176.25,402835467339.20917,103091327837.04083,,,
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-20T00:00:00.000000,1716163200000000.0,0.00015104599378901185,0.00015104599378901185,,,,,,,,535199557141.75,429308285299.7174,105891271842.0326,1714940640000000.0,1716389944173370.0,1713491335826630.0
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-21T00:00:00.000000,1716249600000000.0,0.00005034359504918484,0.00005034359504918484,1.2104606298196805,1.2104606298196805,0.00004159044400864521,,0.0006602278305817891,,,558927224697.0,455232073179.17395,103695151517.82605,1715065920000000.0,1716512863763647.2,1713618976236352.8
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-22T00:00:00.000000,1716336000000000.0,0.00005034106069956579,0.00005034106069956579,1.2175207184782852,1.2175207184782852,0.00004134719018374029,,0.0006563662958248072,,,578040044295.0,479793667402.3392,98246376892.66083,1715186880000000.0,1716633823763647.2,1713739936236352.8
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-23T00:00:00.000000,1716422400000000.0,0.00005033852659863669,0.00005033852659863669,1.2174057741462687,1.2174057741462687,0.0000413490125212669,,0.0006563952245362085,,,593319432364.0,502498820394.6713,90820611969.32867,1715307840000000.0,1716742567526525.0,1713873112473475.0
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-24T00:00:00.000000,1716508800000000.0,0.000050335992760608406,0.000050335992760608406,1.2172908567766798,1.2172908567766798,0.00004135083450301712,,0.0006564241475998348,,,605421295582.25,523083315432.1871,82337980150.06293,1715428800000000.0,1716838777558612.0,1714018822441388.0
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-27T00:00:00.000000,1716768000000000.0,0.0001509927777973985,0.0001509927777973985,3.6534365723667457,3.6534365723667457,0.00004132897199843361,,0.000656077091098845,,,628680347442.0,544202721834.1497,84477625607.85028,1715549760000000.0,1716984487526525.0,1714115032473475.0
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-28T00:00:00.000000,1716854400000000.0,0.00005032585995934369,0.00005032585995934369,1.2176359411114581,1.2176359411114581,0.000041330793762055215,,0.0006561060106997868,,,646631110609.0,564688399589.1199,81942711019.88013,1715670720000000.0,1717117663763647.2,1714223776236352.8
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-29T00:00:00.000000,1716940800000000.0,0.00005032332738608147,0.00005032332738608147,1.2175210104301066,1.2175210104301066,0.00004133261517047993,,0.0006561349246621528,,,660218391032.0,583794397877.6959,76423993154.30408,1715791680000000.0,1717238623763647.2,1714344736236352.8
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-30T00:00:00.000000,1717027200000000.0,0.0000503207950828255,0.0000503207950828255,1.2174061068798914,1.2174061068798914,0.000041334436223417205,,0.0006561638329813307,,,670232147591.0,601081947820.3567,69150199770.64331,1715912640000000.0,1717347367526525.0,1714477912473475.0
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-05-31T00:00:00.000000,1717113600000000.0,0.00005031826302115405,0.00005031826302115405,1.2172912297590954,1.2172912297590954,0.000041336256921124903,,0.0006561927356614138,,,677332017856.75,616331961827.6354,61000056029.114624,1716033600000000.0,1717443577558612.0,1714623622441388.0
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-06-03T00:00:00.000000,1717372800000000.0,0.0001509395992940199,0.0001509395992940199,3.6534371405613992,3.6534371405613992,0.00004131440982472358,,0.0006558459237577333,,,695852633958.5,632236096253.8083,63616537704.69165,1716154560000000.0,1717589287526525.0,1714719832473475.0
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-06-04T00:00:00.000000,1717459200000000.0,0.000050308137346632975,0.000050308137346632975,1.2176361922526677,1.2176361922526677,0.00004131623030485094,,0.0006558748229838357,,,709325451315.0,647653967266.0466,61671484048.95337,1716275520000000.0,1717722463763647.2,1714828576236352.8
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-06-05T00:00:00.000000,1717545600000000.0,0.00005030560657104388,0.00005030560657104388,1.217521302384763,1.217521302384763,0.00004131805042959833,,0.0006559037165684559,,,718689904214.75,661861154655.7874,56828749558.96265,1716396480000000.0,1717843423763647.2,1714949536236352.8
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-06-06T00:00:00.000000,1717632000000000.0,0.000050303076044144746,0.000050303076044144746,1.2174064391148374,1.2174064391148374,0.00004131987019940485,,0.0006559326045185646,,,724728835640.75,674434690852.7799,50294144787.97009,1716517440000000.0,1717952167526525.0,1715082712473475.0
Options On 3 ESTR Dec25C    98 - TKYZ5C 98 COMDTY Comdty,2024-06-07T00:00:00.000000,1717718400000000.0,0.000050300545773040994,0.000050300545773040994,1.2172916026061755,1.2172916026061755,0.000041321689614345005,,0.0006559614868353443,,,728093481793.5,685166449040.924,42927032752.57605,1716638400000000.0,1718048377558612.0,1715228422441388.0
