series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-04T00:00:00.000000,9.88,,,,,,,,,,0.0,0.0,0.0,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-05T00:00:00.000000,9.84,-0.0040568006956145375,-0.0040568006956145375,,,,,,,,-0.003190883190882232,-0.0006381766381764464,-0.0025527065527057857,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-06T00:00:00.000000,9.86,0.0020304575503820033,0.0020304575503820033,,,,,,,,-0.004059057962191304,-0.001322352902979418,-0.0027367050592118857,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-07T00:00:00.000000,9.88,0.0020263431452325342,0.0020263431452325342,,,,,,,,-0.003097553205101633,-0.001677392963403861,-0.001420160241697772,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-10T00:00:00.000000,9.86,-0.0020263431452325342,-0.0020263431452325342,,,,,,,,-0.0039043793560420426,-0.0021227902419314977,-0.0017815891141105449,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-11T00:00:00.000000,9.82,-0.0040650462481695016,-0.0040650462481695016,,,,,,,,-0.007682896946024087,-0.0032348115827500155,-0.0044480853632740715,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-12T00:00:00.000000,9.8,-0.0020387366898479975,-0.0020387366898479975,,,,,,,,-0.012151161189503767,-0.005018081504100767,-0.0071330796854030005,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-13T00:00:00.000000,9.84,0.004073325387635496,0.004073325387635496,,,,,,,,-0.012322580056165933,-0.006478981214513801,-0.005843598841652132,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-14T00:00:00.000000,9.81,-0.0030534374868902425,-0.0030534374868902425,,,,,,,,-0.01470961671744142,-0.008125108315099326,-0.006584508402342095,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-17T00:00:00.000000,9.81,0.0,0.0,,,,,,,,-0.01641217117607674,-0.00978252088729481,-0.00662965028878193,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-18T00:00:00.000000,9.78,-0.0030627895305457287,-0.0030627895305457287,,,,,,,,-0.01995221046787421,-0.01181645880341069,-0.008135751664463519,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-19T00:00:00.000000,9.8,0.0020429016298004754,0.0020429016298004754,,,,,,,,-0.020902928312239055,-0.013633752705176364,-0.007269175607062691,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-20T00:00:00.000000,9.79,-0.0010209291341074511,-0.0010209291341074511,,,,,,,,-0.022207303508681164,-0.015348462865877325,-0.006858840642803839,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-21T00:00:00.000000,9.78,-0.0010219724956930243,-0.0010219724956930243,,,,,,,32.94012639378093,-0.023773896001522132,-0.017033549493006287,-0.006740346508515845,,,
PIMCO Total Return Fund - PTTRX US Equity US,2000-01-24T00:00:00.000000,9.82,0.004081638319648473,0.004081638319648473,,,,,,,45.55021643545505,-0.021539472501594048,-0.01793473409472384,-0.0036047384068702074,,,
