series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
QoQ % Change Annualized - GDP CQOQ Index Index,1985-03-31T00:00:00.000000,481075200000000.0,,,,,,,,,,0.0,0.0,0.0,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1985-06-30T00:00:00.000000,488937600000000.0,0.016211275128270586,0.015870610840678978,,,,,,,,627200000000.0,125440000000.0,501760000000.0,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1985-09-30T00:00:00.000000,496886400000000.0,0.01612655457122969,0.015870610840678978,,,,,,,,1745540740740.75,449460148148.15,1296080592592.6,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1985-12-31T00:00:00.000000,504835200000000.0,0.015870610840678978,0.015870610840678978,,,,,,,,3235933734304.0625,1006754865379.3325,2229178868924.73,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1986-03-31T00:00:00.000000,512611200000000.0,0.015285623704208717,0.015285623704208717,,,,,,,,4987051507217.8125,1802814193747.0286,3184237313470.784,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1986-06-30T00:00:00.000000,520473600000000.0,0.015221503221084731,0.015221503221084731,,,,,,,,6929377380501.0,2828126831097.823,4101250549403.177,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1986-09-30T00:00:00.000000,528422400000000.0,0.015156797569225944,0.015156797569225944,,,,,,,,9006267709933.688,4063755006864.996,4942512703068.691,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1986-12-31T00:00:00.000000,536371200000000.0,0.014930494814102246,0.014930494814102246,,,,,,,,11164917766213.625,5483987558734.723,5680930207478.902,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1987-03-31T00:00:00.000000,544147200000000.0,0.014393339797912574,0.014393339797912574,,,,,,,,13349239972515.938,7057038041490.966,6292201931024.972,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1987-06-30T00:00:00.000000,552009600000000.0,0.014345638941378525,0.014345638941378525,,,,,,,,15535675433607.312,8752765519914.236,6782909913693.076,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1987-09-30T00:00:00.000000,559958400000000.0,0.014297057825366721,0.014297057825366721,,,,,,,,17705742242911.25,10543360864513.64,7162381378397.609,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1987-12-31T00:00:00.000000,567907200000000.0,0.014095529835863374,0.014095529835863374,,,,,,,,19838254503842.812,12402339592379.477,7435914911463.336,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1988-03-31T00:00:00.000000,575769600000000.0,0.013749555583103756,0.013749555583103756,,,,,,,,21910149243845.062,14303901522672.594,7606247721172.469,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1988-06-30T00:00:00.000000,583632000000000.0,0.013563066547618519,0.013563066547618519,,,,,,,,23910940288076.438,16225309275753.363,7685631012323.074,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1988-09-30T00:00:00.000000,591580800000000.0,0.013527628726762941,0.013527628726762941,,,,,,,,25840114578707.062,18148270336344.105,7691844242362.957,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1988-12-31T00:00:00.000000,599529600000000.0,0.01334707177849026,0.01334707177849026,,,,,,,,27691193984999.375,20056855066075.16,7634338918924.215,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1989-03-31T00:00:00.000000,607305600000000.0,0.012886776276353373,0.012886776276353373,,,,,,,,29446208403205.562,21934725733501.242,7511482669704.32,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1989-06-30T00:00:00.000000,615168000000000.0,0.012863277230117376,0.012863277230117376,,,,,,,,31112850372988.75,23770350661398.742,7342499711590.008,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1989-09-30T00:00:00.000000,623116800000000.0,0.012838579917186621,0.012838579917186621,,,,,,,,32698153906317.562,25555911310382.508,7142242595935.055,,,
QoQ % Change Annualized - GDP CQOQ Index Index,1989-12-31T00:00:00.000000,631065600000000.0,0.012675837951597657,0.012675837951597657,,,,,,,,34201664607286.625,27285061969763.332,6916602637523.293,556040160000000.0,649416041712128.9,462664278287871.2
QoQ % Change Annualized - GDP CQOQ Index Index,1990-03-31T00:00:00.000000,638841600000000.0,0.012246717221771064,0.012246717221771064,10.16435380571762,10.363035758777299,0.0012048692377160345,,0.019126706192091555,,,35610173964373.125,28950084368685.293,6660089595687.832,563928480000000.0,657295141463548.4,470561818536451.6
QoQ % Change Annualized - GDP CQOQ Index Index,1990-06-30T00:00:00.000000,646704000000000.0,0.012232157357146889,0.012232157357146889,10.363035758777299,10.363035758777299,0.0011803642911090487,,0.018737702224413552,,,36935092988137.5,30547086092575.734,6388006895561.766,571816800000000.0,665165018234262.9,478468581765737.1
QoQ % Change Annualized - GDP CQOQ Index Index,1990-09-30T00:00:00.000000,654652800000000.0,0.012216325077645251,0.012216325077645251,10.81754387100284,10.81754387100284,0.0011293067283407964,,0.017927188542610353,,,38186314525410.125,32074931779142.617,6111382746267.508,579705120000000.0,673056412358851.6,486353827641148.4
QoQ % Change Annualized - GDP CQOQ Index Index,1990-12-31T00:00:00.000000,662601600000000.0,0.012068885833485865,0.012068885833485865,11.185263025702433,11.185263025702433,0.001078998840327042,,0.017128575578594665,,,39365536931815.5,33533052809677.195,5832484122138.305,587593440000000.0,680969321712128.9,494217558287871.2
QoQ % Change Annualized - GDP CQOQ Index Index,1991-03-31T00:00:00.000000,670377600000000.0,0.011667231129095512,0.011667231129095512,10.759981212555758,10.759981212555758,0.0010843170539629836,,0.01721299960279355,,,40461126715388.875,34918667590819.53,5542459124569.344,595481760000000.0,688842274125279.0,502121245874721.0
QoQ % Change Annualized - GDP CQOQ Index Index,1991-06-30T00:00:00.000000,678240000000000.0,0.01166007188250262,0.01166007188250262,10.953676202961981,10.953676202961981,0.0010644893701851094,,0.01689824488068944,,,41485599318298.0,36232053936315.23,5253545381982.773,603370080000000.0,696706000723410.2,510034159276589.75
QoQ % Change Annualized - GDP CQOQ Index Index,1991-09-30T00:00:00.000000,686188800000000.0,0.011651600914738935,0.011651600914738935,11.427969898599368,11.427969898599368,0.0010195687438909842,,0.016185152045220298,,,42449570738602.375,37475557296772.66,4974013441829.719,611258400000000.0,704591246092522.6,517925553907477.4
QoQ % Change Annualized - GDP CQOQ Index Index,1991-12-31T00:00:00.000000,694137600000000.0,0.01151740322803363,0.01151740322803363,11.810495334910419,11.810495334910419,0.0009751837582958571,,0.015480562242240953,,,43355155518172.75,38651476941052.67,4703678577120.078,619146720000000.0,712498012358851.5,525795427641148.5
QoQ % Change Annualized - GDP CQOQ Index Index,1992-03-31T00:00:00.000000,702000000000000.0,0.011263192278711642,0.011263192278711642,11.578598777343862,11.578598777343862,0.0009727595277548279,,0.015442078775447449,,,44197783416489.5,39760738236140.04,4437045180349.461,627039360000000.0,720383731647998.0,533694988352002.06
QoQ % Change Annualized - GDP CQOQ Index Index,1992-06-30T00:00:00.000000,709862400000000.0,0.011137744410454786,0.011137744410454786,11.629924416723448,11.629924416723448,0.0009576798619979918,,0.015202696502768058,,,44981483525809.125,40804887294073.86,4176596231735.2656,634932000000000.0,728258683055304.5,541605316944695.56
QoQ % Change Annualized - GDP CQOQ Index Index,1992-09-30T00:00:00.000000,717811200000000.0,0.011135433387607918,0.011135433387607918,12.121403276169245,12.121403276169245,0.0009186587669680333,,0.014583255822759926,,,45716976391791.125,41787305113617.31,3929671278173.8125,642824640000000.0,736153630453170.5,549495649546829.5
QoQ % Change Annualized - GDP CQOQ Index Index,1992-12-31T00:00:00.000000,725760000000000.0,0.011012799835405929,0.011012799835405929,12.513882351627453,12.513882351627453,0.0008800466175050538,,0.013970306952371727,,,46406318364947.375,42711107763883.33,3695210601064.047,650717280000000.0,744068572358851.5,557365987641148.5
QoQ % Change Annualized - GDP CQOQ Index Index,1993-03-31T00:00:00.000000,733536000000000.0,0.010657294473986667,0.010657294473986667,12.155122754712433,12.155122754712433,0.0008767739075160658,,0.013918354291907133,,,47037861866822.5,43576458584471.164,3461403282351.336,658605600000000.0,751953818234262.9,565257381765737.1
QoQ % Change Annualized - GDP CQOQ Index Index,1993-06-30T00:00:00.000000,741398400000000.0,0.01066145650172956,0.01066145650172956,12.348604402494063,12.348604402494063,0.000863373394614233,,0.013705627744433358,,,47623816896874.875,44385930246951.91,3237886649922.9688,666493920000000.0,759829840723410.4,573157999276589.6
QoQ % Change Annualized - GDP CQOQ Index Index,1993-09-30T00:00:00.000000,749347200000000.0,0.010664294877329894,0.010664294877329894,12.895658714180646,12.895658714180646,0.000826967827987178,,0.013127707290631879,,,48174269220740.75,45143598041709.67,3030671179031.078,674382240000000.0,767727384008434.4,581037095991565.6
QoQ % Change Annualized - GDP CQOQ Index Index,1993-12-31T00:00:00.000000,757296000000000.0,0.010551766670879204,0.010551766670879204,13.343910817013002,13.343910817013002,0.0007907551853108972,,0.012552849409604579,,,48690633073105.75,45853005047988.89,2837628025116.8594,682270560000000.0,775646441712128.8,588894678287871.2
QoQ % Change Annualized - GDP CQOQ Index Index,1994-03-31T00:00:00.000000,765072000000000.0,0.010215752861604699,0.010215752861604699,12.741464370960838,12.741464370960838,0.0008017722739065608,,0.012727740269181128,,,49160620329823.625,46514528104355.84,2646092225467.7812,690158880000000.0,783525541463548.4,596792218536451.6
QoQ % Change Annualized - GDP CQOQ Index Index,1994-06-30T00:00:00.000000,772934400000000.0,0.010224233775858238,0.010224233775858238,12.928795163684866,12.928795163684866,0.0007908110265817071,,0.012553735862297319,,,49595808974490.625,47130784278382.805,2465024696107.8203,698047200000000.0,791395418234262.9,604698981765737.1
QoQ % Change Annualized - GDP CQOQ Index Index,1994-09-30T00:00:00.000000,780883200000000.0,0.01023140597843053,0.01023140597843053,13.49809950264013,13.49809950264013,0.000757988632135164,,0.012032696503461995,,,50005666642255.5,47705760751157.34,2299905891098.1562,705935520000000.0,799286812358851.6,612584227641148.4
QoQ % Change Annualized - GDP CQOQ Index Index,1994-12-31T00:00:00.000000,788832000000000.0,0.010127783617789987,0.010127783617789987,13.964138627161448,13.964138627161448,0.000725270916323516,,0.011513318866439757,,,50391007360393.125,48242810073004.5,2148197287388.625,713823840000000.0,807199721712128.8,620447958287871.2
QoQ % Change Annualized - GDP CQOQ Index Index,1995-03-31T00:00:00.000000,796608000000000.0,0.009809342961624168,0.009809342961624168,13.305540893351314,13.305540893351314,0.0007372374441782994,,0.011703281607003862,,,50738963679613.25,48742040794326.25,1996922885287.0,721712160000000.0,815072674125278.9,628351645874721.1
QoQ % Change Annualized - GDP CQOQ Index Index,1995-06-30T00:00:00.000000,804470400000000.0,0.00982145933789269,0.00982145933789269,13.485942749084415,13.485942749084415,0.0007282738419276981,,0.011560988832565523,,,51060557221115.0,49205744079684.0,1854813141431.0,729600480000000.0,822936400723410.2,636264559276589.8
QoQ % Change Annualized - GDP CQOQ Index Index,1995-09-30T00:00:00.000000,812419200000000.0,0.009832290388544607,0.009832290388544607,14.075772948901552,14.075772948901552,0.0006985257878368876,,0.01108875311389123,,,51364723588717.625,49637539981490.73,1727183607226.8984,737488800000000.0,830821646092522.5,644155953907477.5
QoQ % Change Annualized - GDP CQOQ Index Index,1995-12-31T00:00:00.000000,820368000000000.0,0.009736556969308197,0.009736556969308197,14.557863879588053,14.557863879588053,0.0006688176953598301,,0.01061715176616881,,,51651769904204.25,50040385966033.44,1611383938170.8125,745377120000000.0,838728412358851.6,652025827641148.4
QoQ % Change Annualized - GDP CQOQ Index Index,1996-03-31T00:00:00.000000,828230400000000.0,0.009538356473193232,0.009538356473193232,14.180270214571184,14.180270214571184,0.0006726498387450986,,0.010677985156483381,,,51915239582671.5,50415356689361.05,1499882893310.4531,753269760000000.0,846614131647998.0,659925388352002.0
QoQ % Change Annualized - GDP CQOQ Index Index,1996-06-30T00:00:00.000000,836092800000000.0,0.009448235161364948,0.009448235161364948,14.181714471789238,14.181714471789238,0.000666226582135729,,0.010576019118910117,,,52157235033520.0,50763732358192.836,1393502675327.164,761162400000000.0,854489083055304.6,667835716944695.4
QoQ % Change Annualized - GDP CQOQ Index Index,1996-09-30T00:00:00.000000,844041600000000.0,0.009462170771996625,0.009462170771996625,14.789034272875899,14.789034272875899,0.000639809915739454,,0.010156667540398713,,,52386540471837.0,51088293980921.67,1298246490915.3281,769055040000000.0,862384030453170.9,675726049546829.1
QoQ % Change Annualized - GDP CQOQ Index Index,1996-12-31T00:00:00.000000,851990400000000.0,0.009373476679385817,0.009373476679385817,15.280869019409032,15.280869019409032,0.0006134125400512284,,0.009737622192383989,,,52603290425255.25,51391293269788.39,1211997155466.8594,776947680000000.0,870298972358851.9,683596387641148.1
QoQ % Change Annualized - GDP CQOQ Index Index,1997-03-31T00:00:00.000000,859766400000000.0,0.009085465282836935,0.009085465282836935,14.737546622441094,14.737546622441094,0.0006164842436530347,,0.009786383975374076,,,52793948759981.875,51671824367827.086,1122124392154.789,784836000000000.0,878184218234262.9,691487781765737.1
