series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
RS GROUP PLC - RS1 LN Equity Equity,2010-01-05T00:00:00.000000,,442777.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-06T00:00:00.000000,,287937.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-07T00:00:00.000000,,603170.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-08T00:00:00.000000,,595938.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-11T00:00:00.000000,,2473269.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-12T00:00:00.000000,,1218297.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-13T00:00:00.000000,,489606.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-14T00:00:00.000000,,543374.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-15T00:00:00.000000,,758244.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-18T00:00:00.000000,,885744.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-19T00:00:00.000000,,525829.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-20T00:00:00.000000,,1800590.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-21T00:00:00.000000,,605036.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-22T00:00:00.000000,,381592.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-25T00:00:00.000000,,544898.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-26T00:00:00.000000,,531156.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-27T00:00:00.000000,,566928.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-28T00:00:00.000000,,437546.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-01-29T00:00:00.000000,,1432538.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-01T00:00:00.000000,,288503.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-02T00:00:00.000000,,640498.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-03T00:00:00.000000,,471376.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-04T00:00:00.000000,,716075.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-05T00:00:00.000000,,1532894.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-08T00:00:00.000000,,1326414.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-09T00:00:00.000000,,1168093.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-10T00:00:00.000000,,752631.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-11T00:00:00.000000,,1133411.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-12T00:00:00.000000,,838975.0,,,,,,,,,,,,,,,
RS GROUP PLC - RS1 LN Equity Equity,2010-02-15T00:00:00.000000,,652691.0,,,,,,,,,,,,,,,
