series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Reliance Industries Ltd - RELIANCE IN Equity Equity,2010-01-05T00:00:00.000000,241.57,22942627.0,,,,,,,,,,0.0,0.0,0.0,,,
Reliance Industries Ltd - RELIANCE IN Equity Equity,2010-01-06T00:00:00.000000,245.47,26215427.0,0.016015454009703944,0.016015454009703944,,,,,,,,0.3111111111111029,0.06222222222222058,0.24888888888888233,,,
Reliance Industries Ltd - RELIANCE IN Equity Equity,2010-01-07T00:00:00.000000,249.54,30195459.0,0.016444482807946414,0.016444482807946414,,,,,,,,0.8759860715416039,0.22497499208609728,0.6510110794555066,,,
Reliance Industries Ltd - RELIANCE IN Equity Equity,2010-01-08T00:00:00.000000,248.89,17704517.0,-0.0026081911942599234,-0.0026081911942599234,,,,,,,,1.2567173246248728,0.4313234585938524,0.8253938660310205,,,
Reliance Industries Ltd - RELIANCE IN Equity Equity,2010-01-11T00:00:00.000000,244.01,182773467.0,-0.01980182372866146,-0.01980182372866146,,,,,,,,1.151401727187249,0.5753391123125318,0.5760626148747172,,,
Reliance Industries Ltd - RELIANCE IN Equity Equity,2010-01-12T00:00:00.000000,244.65,35348842.0,0.0026194096751783746,0.0026194096751783746,,,,,,,,1.1068222508223187,0.6816357400144891,0.42518651080782954,,,
Reliance Industries Ltd - RELIANCE IN Equity Equity,2010-01-13T00:00:00.000000,245.61,20895925.0,0.00391629432133378,0.00391629432133378,,,,,,,,1.1358631482478074,0.7724812216611529,0.3633819265866546,,,
Reliance Industries Ltd - RELIANCE IN Equity Equity,2010-01-14T00:00:00.000000,253.08,30401647.0,0.029960732222217068,0.029960732222217068,,,,,,,,1.7415691146267704,0.9662988002542765,0.7752703143724939,,,
Reliance Industries Ltd - RELIANCE IN Equity Equity,2010-01-15T00:00:00.000000,250.61,20407406.0,-0.009807698383019314,-0.009807698383019314,,,,,,,,1.999241092677238,1.1728872587388688,0.8263538339383691,,,
Reliance Industries Ltd - RELIANCE IN Equity Equity,2010-01-18T00:00:00.000000,248.07,15467217.0,-0.01018698149347852,-0.01018698149347852,,,,,,,,1.9757163906634787,1.333453085123791,0.6422633055396878,,,
