series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-03-10T00:00:00.000000,1741564800000000.0,,,,,,,,,,0.0,0.0,0.0,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-04-04T00:00:00.000000,1743724800000000.0,0.0012394954362164867,0.0012394954362164867,,,,,,,,172307692307.5,34461538461.5,137846153846.0,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-04-09T00:00:00.000000,1744156800000000.0,0.00024771483194996335,0.00024771483194996335,,,,,,,,339804514573.5,95530133683.90001,244274380889.59998,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-06-24T00:00:00.000000,1750723200000000.0,0.00375773000890689,0.00375773000890689,,,,,,,,990977187123.0,274619544371.72003,716357642751.28,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-06-27T00:00:00.000000,1750982400000000.0,0.00014804214293206996,0.00014804214293206996,,,,,,,,1510538942686.0,521803424034.57605,988735518651.424,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-07-25T00:00:00.000000,1753401600000000.0,0.0013806708307626536,0.0013806708307626536,,,,,,,,2093373492569.25,836117437741.511,1257256054827.739,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-07-29T00:00:00.000000,1753747200000000.0,0.00019708316973776618,0.00019708316973776618,,,,,,,,2553723370767.75,1179638624346.7588,1374084746420.9912,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-08-12T00:00:00.000000,1754956800000000.0,0.0006894853757515307,0.0006894853757515307,,,,,,,,2981786399319.0,1540068179341.207,1441718219977.793,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-08-27T00:00:00.000000,1756252800000000.0,0.0007382071744430618,0.0007382071744430618,,,,,,,,3386567559588.0,1909368055390.5657,1477199504197.4343,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-08-28T00:00:00.000000,1756339200000000.0,0.00004919444103990145,0.00004919444103990145,,,,,,,,3672002741455.75,2261894992603.6025,1410107748852.1475,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-09-12T00:00:00.000000,1757635200000000.0,0.0007376263519560666,0.0007376263519560666,,,,,,,,3957172724498.0,2600950538982.4824,1356222185515.5176,,,
S&P 500 INDEX - SPX 12_20_30 P4300 Index Index,2025-09-15T00:00:00.000000,1757894400000000.0,0.00014746000174170604,0.00014746000174170604,,,,,,,,4156177437998.0,2911995918785.586,1244181519212.414,,,
