series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-04T00:00:00.000000,1167868800000000.0,,,,,,,,,,0.0,0.0,0.0,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-05T00:00:00.000000,1167955200000000.0,0.00007397817647358806,0.00007397817647358806,,,,,,,,6892307692.25,1378461538.45,5513846153.8,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-08T00:00:00.000000,1168214400000000.0,0.0002219016984597033,0.0002219016984597033,,,,,,,,32890642121.25,7680897655.01,25209744466.239998,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-09T00:00:00.000000,1168300800000000.0,0.00007395629186390806,0.00007395629186390806,,,,,,,,59777193117.0,18100156747.408,41677036369.591995,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-10T00:00:00.000000,1168387200000000.0,0.00007395082273831122,0.00007395082273831122,,,,,,,,87053240841.75,31890773566.276405,55162467275.473595,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-11T00:00:00.000000,1168473600000000.0,0.00007394535441562766,0.00007394535441562766,,,,,,,,114323611670.5,48377341187.121124,65946270483.378876,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-12T00:00:00.000000,1168560000000000.0,0.00007393988690296283,0.00007393988690296283,,,,,,,,141278761332.25,66957625216.1469,74321136116.1031,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-15T00:00:00.000000,1168819200000000.0,0.00022178686373308665,0.00022178686373308665,,,,,,,,181464377034.75,89858975579.86752,91605401454.88248,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-16T00:00:00.000000,1168905600000000.0,0.00007391802494538524,0.00007391802494538524,,,,,,,,217773171365.5,115441814736.99403,102331356628.50597,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-17T00:00:00.000000,1168992000000000.0,0.00007391256147570857,0.00007391256147570857,,,,,,,,250630794600.5,142479610709.69525,108151183890.80475,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-18T00:00:00.000000,1169078400000000.0,0.00007390709880894519,0.00007390709880894519,,,,,,,,280410063008.75,170065701169.50623,110344361839.24377,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-19T00:00:00.000000,1169164800000000.0,0.00007390163695220053,0.00007390163695220053,,,,,,,,307438150074.75,197540190950.555,109897959124.195,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-22T00:00:00.000000,1169424000000000.0,0.00022167214780210998,0.00022167214780210998,,,,,,,,345787356179.75,227189623996.39398,118597732183.35602,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-23T00:00:00.000000,1169510400000000.0,0.0000738797976040928,0.0000738797976040928,,,,,,,,378784741519.25,257508647500.9652,121276094018.28479,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-24T00:00:00.000000,1169596800000000.0,0.00007387433978323088,0.00007387433978323088,,,,,,,,407213066312.25,287449531263.22217,119763535049.02783,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-25T00:00:00.000000,1169683200000000.0,0.00007386888276528225,0.00007386888276528225,,,,,,,,431737673300.25,316307159670.62775,115430513629.62225,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-26T00:00:00.000000,1169769600000000.0,0.00007386342655735234,0.00007386342655735234,,,,,,,,452924329221.75,343630593580.8522,109293735640.89783,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-29T00:00:00.000000,1170028800000000.0,0.00022155755048203218,0.00022155755048203218,,,,,,,,485038953328.75,371912265530.43176,113126687798.31824,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-30T00:00:00.000000,1170115200000000.0,0.00007384160978318732,0.00007384160978318732,,,,,,,,511564781864.75,399842768797.2954,111722013067.45459,,,
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-01-31T00:00:00.000000,1170201600000000.0,0.0000738361575969293,0.0000738361575969293,,,,,,,,533409635767.75,426556142191.38635,106853493576.36365,1169052480000000.0,1170499423763647.2,1167605536236352.8
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-02-01T00:00:00.000000,1170288000000000.0,0.00007383070622779542,0.00007383070622779542,1.2169650577047815,1.2169650577047815,0.00006066789326477581,,0.0009630729488688435,,,551338115198.5,451512536792.80914,99825578405.69086,1169173440000000.0,1170608167526525.0,1167738712473475.0
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-02-02T00:00:00.000000,1170374400000000.0,0.00007382525564736397,0.00007382525564736397,1.2167965622807921,1.2167965622807921,0.00006067181477648505,,0.00096313520093732,,,565993896915.5,474408808817.3473,91585088098.15271,1169294400000000.0,1170704377558612.0,1167884422441388.0
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-02-05T00:00:00.000000,1170633600000000.0,0.00022144307158811216,0.00022144307158811216,3.6526836444970288,3.6526836444970288,0.00006062476062544548,,0.0009623882394464962,,,591703197156.5,497867686485.17786,93835510671.32214,1169415360000000.0,1170850087526525.0,1167980632473475.0
SHIBOR Fixing 3M - SHIF3M INDEX Index,2007-02-06T00:00:00.000000,1170720000000000.0,0.00007380346141161453,0.00007380346141161453,1.2173027624527757,1.2173027624527757,0.000060628681448899346,,0.0009624504805892573,,,611995062619.5,520693161712.04236,91301900907.45764,1169536320000000.0,1170983263763647.2,1168089376236352.8
