series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-16T00:00:00.000000,1600214400000000.0,,,,,,,,,,0.0,0.0,0.0,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-17T00:00:00.000000,1600300800000000.0,0.000053991307410683476,0.000053991307410683476,,,,,,,,6892307692.25,1378461538.45,5513846153.8,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-18T00:00:00.000000,1600387200000000.0,0.000053988392508586,0.000053988392508586,,,,,,,,19106026736.75,4923974578.110001,14182052158.64,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-21T00:00:00.000000,1600646400000000.0,0.00016194769125377206,0.00016194769125377206,,,,,,,,49134370412.75,13766053745.038002,35368316667.712,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-22T00:00:00.000000,1600732800000000.0,0.000053976736040795004,0.000053976736040795004,,,,,,,,78993222348.0,26811487465.6304,52181734882.3696,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-23T00:00:00.000000,1600819200000000.0,0.00005397382270899698,0.00005397382270899698,,,,,,,,108379009791.75,43124991930.854324,65254017860.895676,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-24T00:00:00.000000,1600905600000000.0,0.000053970909689837754,0.000053970909689837754,,,,,,,,137059281894.0,61911849923.48347,75147431970.51654,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-25T00:00:00.000000,1600992000000000.0,0.00005396799699042276,0.00005396799699042276,,,,,,,,164859959103.5,82501471759.48677,82358487344.01323,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-28T00:00:00.000000,1601251200000000.0,0.0001618865179082718,0.0001618865179082718,,,,,,,,205439293565.75,107089036120.73941,98350257445.01059,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-29T00:00:00.000000,1601337600000000.0,0.00005395634932625626,0.00005395634932625626,,,,,,,,241783338588.0,134027896614.19154,107755441973.80846,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-09-30T00:00:00.000000,1601424000000000.0,0.00005395343819714071,0.00005395343819714071,,,,,,,,274394959746.75,162101309240.70325,112293650506.04675,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-01T00:00:00.000000,1601510400000000.0,0.00005395052737355854,0.00005395052737355854,,,,,,,,303710674788.75,190423182350.31262,113287492438.43738,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-02T00:00:00.000000,1601596800000000.0,0.00005394761687682603,0.00005394761687682603,,,,,,,,330110044980.75,218360554876.4001,111749490104.34991,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-05T00:00:00.000000,1601856000000000.0,0.0001618253907622602,0.0001618253907622602,,,,,,,,367708297467.5,248230103394.6201,119478194072.87991,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-06T00:00:00.000000,1601942400000000.0,0.00005393597800207317,0.00005393597800207317,,,,,,,,399867517536.0,278557586222.89606,121309931313.10394,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-07T00:00:00.000000,1602028800000000.0,0.000053933069075640105,0.000053933069075640105,,,,,,,,427398900580.75,308325849094.46686,119073051486.28314,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-08T00:00:00.000000,1602115200000000.0,0.00005393016045474042,0.00005393016045474042,,,,,,,,450990737432.25,336858826762.0235,114131910670.2265,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-09T00:00:00.000000,1602201600000000.0,0.00005392725215358496,0.00005392725215358496,,,,,,,,471227182402.0,363732497890.0188,107494684511.9812,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-12T00:00:00.000000,1602460800000000.0,0.00016176430975178846,0.00016176430975178846,,,,,,,,502388759715.75,391463750255.1651,110925009460.5849,,,
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-13T00:00:00.000000,1602547200000000.0,0.00005391562206824574,0.00005391562206824574,,,,,,,,527970180577.25,418765036319.5821,109205144257.66791,1601363520000000.0,1602810463763647.2,1599916576236352.8
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-14T00:00:00.000000,1602633600000000.0,0.00005391271532317887,0.00005391271532317887,1.2174618875952046,1.2174618875952046,0.000044282877248560226,,0.0007029688832285434,,,548888157827.0,444789660621.06573,104098497205.93427,1601484480000000.0,1602931423763647.2,1600037536236352.8
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-15T00:00:00.000000,1602720000000000.0,0.000053909808904961665,0.000053909808904961665,1.2173387925639754,1.2173387925639754,0.00004428496753267519,,0.0007030020654601693,,,565914058432.25,469014540183.3026,96899518248.94739,1601605440000000.0,1603040167526525.0,1600170712473475.0
SHOPCN 0 1_8 11_01_25 - 82509LAA5 Corp Corp (Conv),2020-10-16T00:00:00.000000,1602806400000000.0,0.00005390690279227783,0.00005390690279227783,1.2172157280573432,1.2172157280573432,0.00004428705737997026,,0.0007030352407574944,,,579696583881.25,491150948922.8921,88545634958.35791,1601726400000000.0,1603136377558612.0,1600316422441388.0
