series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
SPDR Gold Shares - GLD US Equity Equity,2005-01-04T00:00:00.000000,42.74,3456800.0,,,,,,,,,,0.0,0.0,0.0,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-05T00:00:00.000000,42.67,2108700.0,-0.0016391526910930487,-0.0016391526910930487,,,,,,,,-0.005584045584043906,-0.0011168091168087813,-0.004467236467235125,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-06T00:00:00.000000,42.16,2556400.0,-0.012024192966801905,-0.012024192966801905,,,,,,,,-0.05057913490961852,-0.01100927427537073,-0.03956986063424779,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-07T00:00:00.000000,41.84,4492700.0,-0.00761908447643922,-0.00761908447643922,,,,,,,,-0.11078236290077115,-0.030963892000450813,-0.07981847090032033,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-10T00:00:00.000000,41.95,1026100.0,0.002625613156547857,0.002625613156547857,,,,,,,,-0.14791272827388724,-0.054353659255138104,-0.09355906901874914,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-11T00:00:00.000000,42.21,1507300.0,0.0061787268811919205,0.0061787268811919205,,,,,,,,-0.15457711449756317,-0.07439835030362313,-0.08017876419394004,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-12T00:00:00.000000,42.6,1738000.0,0.009197093480917573,0.009197093480917573,,,,,,,,-0.12692582604606173,-0.08490384545211085,-0.042021980593950875,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-13T00:00:00.000000,42.6,718300.0,0.0,0.0,,,,,,,,-0.10381526300233901,-0.0886861289621565,-0.015129134040182513,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-14T00:00:00.000000,42.32,1262300.0,-0.006594465725281218,-0.006594465725281218,,,,,,,,-0.10686179893101411,-0.09232126295592802,-0.014540535975086089,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-18T00:00:00.000000,42.32,666800.0,0.0,0.0,,,,,,,,-0.10803088777620928,-0.09546318791998427,-0.01256769985622501,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-19T00:00:00.000000,42.26,1578900.0,-0.0014187753621333066,-0.0014187753621333066,,,,,,,,-0.11250204413325804,-0.09887095916263904,-0.013631084970619003,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-20T00:00:00.000000,42.25,1276200.0,-0.00023665838472775036,-0.00023665838472775036,,,,,,,,-0.11552073308384081,-0.10220091394687938,-0.013319819136961425,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-21T00:00:00.000000,42.74,889800.0,0.011530896087819098,0.011530896087819098,,,,,,,,-0.07748100809544667,-0.09725693277659285,0.01977592468114618,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-24T00:00:00.000000,42.77,2294900.0,0.0007016723478154852,0.0007016723478154852,,,,,,,58.269834693274156,-0.04440166791257383,-0.08668587980378904,0.042284211891215215,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-25T00:00:00.000000,42.24,1332500.0,-0.012469282840811058,-0.012469282840811058,,,,,,,42.764914516388586,-0.06025800631159939,-0.08140030510535112,0.021142298793751735,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-26T00:00:00.000000,42.69,541800.0,0.010597061371864225,0.010597061371864225,,,,,,,53.96528804114044,-0.03609692663776798,-0.07233962941183449,0.03624270277406651,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-27T00:00:00.000000,42.62,571200.0,-0.0016410740993992867,-0.0016410740993992867,,,,,,,52.25233261199492,-0.02233999040740997,-0.06233970161094959,0.039999711203539616,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-28T00:00:00.000000,42.69,1149100.0,0.0016410740993992867,0.0016410740993992867,,,,,,,53.83056449061312,-0.005723131646796276,-0.05101638761811893,0.04529325597132265,,,
SPDR Gold Shares - GLD US Equity Equity,2005-01-31T00:00:00.000000,42.22,1692400.0,-0.011070658349695783,-0.011070658349695783,,,,,,,43.44668193720999,-0.030131881829831286,-0.046839486460461405,0.01670760463063012,,,
SPDR Gold Shares - GLD US Equity Equity,2005-02-01T00:00:00.000000,42.1,1088900.0,-0.002846301731838974,-0.002846301731838974,,,,,,,41.258361666140225,-0.05848481280708029,-0.04916855172978518,-0.009316261077295107,42.399499999999996,42.97079492798387,41.828205072016125
SPDR Gold Shares - GLD US Equity Equity,2005-02-02T00:00:00.000000,42.16,956500.0,0.001424163544771151,0.001424163544771151,0.20572875263082344,0.20572875263082344,0.006922530402577159,,0.10989176333101804,,42.809438519166015,-0.0752458292387459,-0.054384007231577325,-0.020861822007168573,42.37049999999999,42.927729046740005,41.81327095325998
