series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-06T00:00:00.000000,3641.06,42096220000.0,,,,,,,,,,0.0,0.0,0.0,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-07T00:00:00.000000,3643.79,32019120000.0,0.0007495007111462115,0.0007495007111462115,,,,,,,,0.21777777777788287,0.04355555555557658,0.1742222222223063,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-08T00:00:00.000000,3559.26,29500310000.0,-0.02347169066951338,-0.02347169066951338,,,,,,,,-6.357214308325638,-1.2365984172206663,-5.120615891104972,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-09T00:00:00.000000,3546.72,34998270000.0,-0.003529425362131633,-0.003529425362131633,,,,,,,,-12.436456377969535,-3.47657000937044,-8.959886368599093,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-12T00:00:00.000000,3513.58,26656720000.0,-0.00938777201706742,-0.00938777201706742,,,,,,,,-19.701316046460306,-6.721519216788414,-12.979796829671892,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-13T00:00:00.000000,3514.04,18715400000.0,0.00013091203014781172,0.00013091203014781172,,,,,,,,-25.13194608819549,-10.40360459106983,-14.728341497125662,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-14T00:00:00.000000,3502.42,19601250000.0,-0.0033122145991999474,-0.0033122145991999474,,,,,,,,-30.02726083783773,-14.32833584042341,-15.69892499741432,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-15T00:00:00.000000,3604.12,23781230000.0,0.028623477388993734,0.028623477388993734,,,,,,,,-25.407609877154755,-16.544190647769682,-8.863419229385073,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-16T00:00:00.000000,3635.15,28268160000.0,0.008572740079456409,0.008572740079456409,,,,,,,,-19.023352174315733,-17.040022953078893,-1.9833292212368399,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-19T00:00:00.000000,3355.16,32950530000.0,-0.08015091630722537,-0.04488697251874285,,,,,,,,-36.14003514588876,-20.860025391640868,-15.280009754247892,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-20T00:00:00.000000,3396.22,29784320000.0,0.012163589146000575,0.012163589146000575,,,,,,,,-45.86324789973196,-25.860669893259086,-20.002578006472874,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-21T00:00:00.000000,3548.89,33792820000.0,0.04397183009022143,0.03501675161886908,,,,,,,,-40.77968811542405,-28.844473537692082,-11.93521457773197,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-22T00:00:00.000000,3567.61,26885360000.0,0.005261025273171072,0.005261025273171072,,,,,,,,-34.83878300674496,-30.04333543150266,-4.795447575242303,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-23T00:00:00.000000,3571.73,28017220000.0,0.0011541684405997898,0.0011541684405997898,,,,,,,49.866623270874015,-29.458543585338703,-29.926377062269868,0.4678334769311654,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-26T00:00:00.000000,3607.99,23976620000.0,0.010100758326503367,0.010100758326503367,,,,,,,53.19297207614654,-22.01501077842113,-28.344103805500122,6.329093027078994,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-27T00:00:00.000000,3574.93,28766920000.0,-0.009205235043220128,-0.009205235043220128,,,,,,,49.93951639053246,-18.56956472424463,-26.389195989249025,7.819631265004396,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-28T00:00:00.000000,3525.32,21622020000.0,-0.01397438324888256,-0.01397438324888256,,,,,,,45.44740242127829,-19.616015083801358,-25.034559808159493,5.418544724358135,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-29T00:00:00.000000,3481.8,21161890000.0,-0.012421810843328274,-0.012421810843328274,,,,,,,41.887823912306004,-23.684020179365234,-24.764451882400643,1.0804317030354085,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-01-30T00:00:00.000000,3434.39,19647920000.0,-0.013710075235254138,-0.013710075235254138,,,,,,,38.36277403840511,-30.383294596922497,-25.888220425305015,-4.495074171617482,,,
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-02T00:00:00.000000,3353.96,19518370000.0,-0.02369758893576268,-0.02369758893576268,,,,,,,33.25055797031459,-41.701833874530166,-29.050943115150048,-12.650890759380118,3528.9070000000006,3704.697595652897,3353.1164043471044
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-03T00:00:00.000000,3437.45,19284610000.0,0.024588180160893813,0.024588180160893813,0.9860045484900883,0.9860045484900883,0.024937187357347148,,0.3958655768697873,,41.90499923329912,-43.43422978861645,-31.927600449843332,-11.506629338773116,3518.7265000000007,3690.7113953312632,3346.741604668738
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-04T00:00:00.000000,3401.77,19130440000.0,-0.010434033033991597,-0.010434033033991597,-0.41774668603561393,-0.41774668603561393,0.024976937897484768,,0.3964965971318951,,39.54527597169979,-47.142810863314935,-34.97064253253765,-12.172168330777282,3506.625500000001,3675.5905103268046,3337.6604896731974
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-05T00:00:00.000000,3366.95,25043060000.0,-0.010288594344540769,-0.010288594344540769,-0.41838272382977865,-0.41838272382977865,0.024591346053587867,,0.3903755163727389,,37.33570383841375,-52.28881813422322,-38.43427765287477,-13.854540481348451,3497.010000000001,3675.0095729149234,3319.010427085079
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-06T00:00:00.000000,3312.42,19266420000.0,-0.01632824997651916,-0.01632824997651916,-0.6589877401103522,-0.6589877401103522,0.024777775036884418,,0.3933349847346026,,34.12041973950204,-60.074677755200355,-42.76235767333989,-17.312320081860463,3485.295000000001,3679.6120698680525,3290.9779301319495
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-09T00:00:00.000000,3345.92,17235380000.0,0.010062653056250426,0.010062653056250426,0.4039207452731315,0.4039207452731315,0.02491244427033836,,0.3954727925404276,,37.671617507504756,-62.81773383710288,-46.77343290609249,-16.04430093101039,3476.912000000001,3680.343453822193,3273.480546177809
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-10T00:00:00.000000,3406.94,15930910000.0,0.01807283458891007,0.01807283458891007,0.7135058398138407,0.7135058398138407,0.025329623922385015,,0.40209531420853906,,43.631933108729264,-59.38328793161827,-49.295403911197646,-10.087884020420624,3471.5570000000016,3676.506166904229,3266.6078330957744
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-11T00:00:00.000000,3434.12,14461380000.0,0.007946178813204696,0.007946178813204696,0.3126778736209755,0.3126778736209755,0.025413307060022296,,0.40342374283524607,,46.10422668315264,-53.847544980807015,-50.20583212511953,-3.641712855687487,3468.142000000001,3673.2019524760362,3263.082047523966
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-12T00:00:00.000000,3442.87,15608170000.0,0.00254471933848599,0.00254471933848599,0.10401236454165569,0.10401236454165569,0.02446554647324512,,0.38837850994499973,,46.91148176326139,-48.19877150104503,-49.80442000030463,1.6056484992596012,3460.079500000001,3655.0607967521714,3265.098203247831
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-13T00:00:00.000000,3469.83,20109000000.0,0.0078001755300292075,0.0078001755300292075,0.3190503932570818,0.3190503932570818,0.02444809877963086,,0.38810153639546985,,49.4250355522314,-41.073165253356365,-48.058169050914984,6.985003797558619,3451.8135000000016,3628.7243970223817,3274.9026029776214
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-16T00:00:00.000000,3499.48,16564130000.0,0.008508784624781995,0.008508784624781995,0.5232442304990347,0.5232442304990347,0.016261592825719064,,0.25814478323186857,,52.11048810376664,-32.65711289116871,-44.977957818965734,12.320844927797026,3459.0295000000015,3631.0464784123233,3287.0125215876797
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-17T00:00:00.000000,3522.32,16532830000.0,0.006505477385104541,0.006505477385104541,0.40341398260101285,0.40341398260101285,0.016126058256980724,,0.2559932386542643,,54.13098147488983,-23.86918454026818,-40.756203163226225,16.887018622958045,3465.3345000000018,3636.9014810552767,3293.767518944727
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-25T00:00:00.000000,3478.73,16553930000.0,-0.012452578764156286,-0.012452578764156286,-0.9581876438814664,-0.9581876438814664,0.012995970928734649,,0.20630464273954202,,49.811587161819865,-20.189306948647754,-36.64282392031053,16.45351697166278,3461.8265000000015,3629.01321204753,3294.639787952473
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-26T00:00:00.000000,3566.3,22932840000.0,0.024861359126850502,0.024861359126850502,1.753505351432713,1.753505351432713,0.01417809139078895,,0.2250702233134407,,57.20032976377651,-10.090493371752473,-31.33235781059892,21.24186443884645,3461.7610000000013,3628.774149044273,3294.7478509557295
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-02-27T00:00:00.000000,3572.84,22278640000.0,0.0018321539651697805,0.0018321539651697805,0.12919003161944023,0.12919003161944023,0.014181852440185345,,0.22512992812166965,,57.70117376211046,-1.541616713253461,-25.37420959112983,23.83259287787637,3461.8165000000017,3628.9841835144266,3294.648816485577
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-03-02T00:00:00.000000,3601.27,24817610000.0,0.007925763286456444,0.007925763286456444,0.5617683806766863,0.5617683806766863,0.014108596281103164,,0.22396702264805823,,59.89807755459089,7.441709634154449,-18.811025746072975,26.252735380227424,3461.4805000000015,3627.433722385106,3295.527277614897
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-03-03T00:00:00.000000,3507.9,26186650000.0,-0.026268993196147505,-0.026268993196147505,-1.7322091210310366,-1.7322091210310366,0.015165024174743873,,0.24073729555592888,,50.60261753705288,6.946803386293141,-13.659459919599753,20.606263305892895,3458.1290000000017,3616.9911196145313,3299.266880385472
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-03-04T00:00:00.000000,3530.82,19966400000.0,0.006512570754306779,0.006512570754306779,0.4362425390076013,0.4362425390076013,0.014928784270149549,,0.23698710333209166,,52.54928901323803,8.30826654382281,-9.265914626915242,17.57418117073805,3458.4040000000014,3617.7740826973113,3299.0339173026914
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-03-05T00:00:00.000000,3496.34,21750880000.0,-0.009813431517549986,-0.009813431517549986,-0.6619573404101166,-0.6619573404101166,0.01482487000064092,,0.235337515443347,,49.39563101610369,6.529717547085966,-6.106788192115001,12.636505739200967,3459.131000000001,3619.082049867404,3299.1799501325986
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-03-06T00:00:00.000000,3478.52,18151800000.0,-0.005109791099258132,-0.005109791099258132,-0.35187698165448006,-0.35187698165448006,0.014521527026952872,,0.23052209502132268,,47.799045804191344,3.6403162812998744,-4.157367297432026,7.797683578731901,3461.3375000000015,3621.068886742014,3301.606113257989
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-03-09T00:00:00.000000,3537.75,23394040000.0,0.01688401588059918,0.01688401588059918,1.2272844584866704,1.2272844584866704,0.013757214771071394,,0.21838901410295578,,53.21225035531779,6.059955559885566,-2.113902725968508,8.173858285854074,3470.527000000001,3625.318578051875,3315.7354219481267
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-03-10T00:00:00.000000,3520.61,19426760000.0,-0.004856661799715667,-0.004856661799715667,-0.3784709187212599,-0.3784709187212599,0.012832324914487157,,0.20370684279906726,,51.546429284193,6.519331569491442,-0.38725586687651803,6.90658743636796,3474.6850000000013,3630.2014534872874,3319.1685465127152
Shanghai Shenzhen CSI 300 Inde - SHSZ300 INDEX Index,2015-03-11T00:00:00.000000,3524.65,18894780000.0,0.001146870503806241,0.001146870503806241,0.09147260409528882,0.09147260409528882,0.012537857811629844,,0.1990323224583665,,51.9284265844083,7.127226373945632,1.115640581287912,6.01158579265772,3480.8290000000006,3633.9064994500986,3327.7515005499026
