series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-06T00:00:00.000000,2629.4024,17343999345.0,,,,,,,,,,0.0,0.0,0.0,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-07T00:00:00.000000,2635.2305,12831771957.0,0.002214058412621789,0.002214058412621789,,,,,,,,0.4649196581194701,0.09298393162389403,0.3719357264955761,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-08T00:00:00.000000,2558.1067,11836791547.0,-0.029703239886401,-0.029703239886401,,,,,,,,-5.328451204130488,-0.9913030955269824,-4.337148108603506,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-09T00:00:00.000000,2569.0186,15620951022.0,0.004256543710876137,0.004256543710876137,,,,,,,,-8.936228931487221,-2.5802882627190304,-6.355940668768191,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-12T00:00:00.000000,2543.8521,11918358585.0,-0.009844451277395194,-0.009844451277395194,,,,,,,,-13.668582091877397,-4.797947028550704,-8.870635063326693,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-13T00:00:00.000000,2527.8281,7707907994.0,-0.006319031440521705,-0.006319031440521705,,,,,,,,-18.498766680879726,-7.5381109590165085,-10.960655721863217,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-14T00:00:00.000000,2534.2303,8412231017.0,0.0025294861922571243,0.0025294861922571243,,,,,,,,-21.561570371056405,-10.342802841424488,-11.218767529631917,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-15T00:00:00.000000,2632.8899,11192316734.0,0.03819210247306071,0.034855366876102245,,,,,,,,-15.845205508705021,-11.443283374880595,-4.401922133824426,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-16T00:00:00.000000,2653.0344,13495117968.0,0.007621977304400396,0.007621977304400396,,,,,,,,-9.579031266022412,-11.07043295310896,1.4914016870865474,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-19T00:00:00.000000,2410.2,14016357016.0,-0.09599430991345592,-0.04580580861279682,,,,,,,,-23.931877870575136,-13.642721936602195,-10.28915593397294,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-20T00:00:00.000000,2403.7244,13747663579.0,-0.002690363773014681,-0.002690363773014681,,,,,,,,-35.42082973601646,-17.99834349648505,-17.42248623953141,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-21T00:00:00.000000,2542.3179,14880047662.0,0.056056856118551046,0.034855366876102245,,,,,,,,-32.962597382888816,-20.991194273765803,-11.971403109123013,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-22T00:00:00.000000,2544.3086,11370877748.0,0.0007827191957705537,0.0007827191957705537,,,,,,,,-30.50218744943686,-22.893392908900015,-7.608794540536845,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-23T00:00:00.000000,2564.5139,12455134906.0,0.007910004839910556,0.007910004839910556,,,,,,,48.77953333063193,-26.61509376995855,-23.637733081111723,-2.977360688846826,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-26T00:00:00.000000,2562.3626,9597946822.0,-0.0008392244776178615,-0.0008392244776178615,,,,,,,48.541142812116846,-23.437957767290754,-23.59777801834753,0.15982025105677522,,,
Shanghai Stock Exchange SSE 50 - SSE50 Index Index,2015-01-27T00:00:00.000000,2522.1033,11654287616.0,-0.01583652725493767,-0.01583652725493767,,,,,,,44.18888780521319,-23.893217505743905,-23.656865915826806,-0.23635158991709915,,,
