series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-04-21T00:00:00.000000,1650499200000000.0,,,,,,,,,,0.0,0.0,0.0,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-04-22T00:00:00.000000,1650585600000000.0,0.000052346428674354684,0.000052346428674354684,,,,,,,,6892307692.5,1378461538.5,5513846154.0,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-04-25T00:00:00.000000,1650844800000000.0,0.00015702284714791404,0.00015662115983872127,,,,,,,,32890642121.5,7680897655.1,25209744466.4,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-04-26T00:00:00.000000,1650931200000000.0,0.000052335470378750415,0.000052335470378750415,,,,,,,,59777193117.25,18100156747.530003,41677036369.72,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-04-27T00:00:00.000000,1651017600000000.0,0.000052332731520721154,0.000052332731520721154,,,,,,,,87053240842.0,31890773566.424004,55162467275.576,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-04-28T00:00:00.000000,1651104000000000.0,0.00005232999294690899,0.00005232999294690899,,,,,,,,114323611671.0,48377341187.3392,65946270483.6608,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-04-29T00:00:00.000000,1651190400000000.0,0.000052327254657313915,0.000052327254657313915,,,,,,,,141278761332.75,66957625216.421364,74321136116.32864,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-02T00:00:00.000000,1651449600000000.0,0.00015696533714759653,0.00015662115983872127,,,,,,,,181464377035.25,89858975580.1871,91605401455.0629,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-03T00:00:00.000000,1651536000000000.0,0.00005231630438373713,0.00005231630438373713,,,,,,,,217773171366.0,115441814737.3497,102331356628.6503,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-04T00:00:00.000000,1651622400000000.0,0.000052313567536543815,0.000052313567536543815,,,,,,,,250630794601.25,142479610710.12976,108151183891.12024,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-05T00:00:00.000000,1651708800000000.0,0.00005231083097356759,0.00005231083097356759,,,,,,,,280410063009.25,170065701169.95383,110344361839.29617,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-06T00:00:00.000000,1651795200000000.0,0.00005230809468770303,0.00005230809468770303,,,,,,,,307438150075.25,197540190951.01306,109897959124.23694,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-09T00:00:00.000000,1652054400000000.0,0.00015690786925404154,0.00015662115983872127,,,,,,,,345787356180.25,227189623996.86047,118597732183.38953,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-10T00:00:00.000000,1652140800000000.0,0.00005229715242904831,0.00005229715242904831,,,,,,,,378784741519.75,257508647501.43842,121276094018.31158,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-11T00:00:00.000000,1652227200000000.0,0.000052294417585585506,0.000052294417585585506,,,,,,,,407213066312.5,287449531263.65076,119763535048.84924,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-12T00:00:00.000000,1652313600000000.0,0.00005229168301923437,0.00005229168301923437,,,,,,,,431737673300.25,316307159670.97064,115430513629.27936,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-13T00:00:00.000000,1652400000000000.0,0.000052288948744205754,0.000052288948744205754,,,,,,,,452924329221.75,343630593581.1265,109293735640.62347,,,
TII 0 1_8 04_15_27 - TII 0.125 04_15_27 Govt Govt,2022-05-16T00:00:00.000000,1652659200000000.0,0.0001568504434175111,0.00015662115983872127,,,,,,,,485038953328.75,371912265530.65125,113126687798.09875,,,
