series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-03T00:00:00.000000,82.606,,,,,,,,,,0.0,0.0,0.0,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-04T00:00:00.000000,82.742,0.0016450157325023085,0.0016450157325023085,,,,,,,,0.0108490028490138,0.00216980056980276,0.00867920227921104,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-05T00:00:00.000000,83.101,0.00432940263682724,0.00432940263682724,,,,,,,,0.047863475134136024,0.011308535482669415,0.03655493965146661,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-06T00:00:00.000000,83.049,-0.0006259404357242815,-0.0006259404357242815,,,,,,,,0.07216981695144398,0.02348079177642433,0.04868902517501965,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-10T00:00:00.000000,83.754,0.008453135711057769,0.008453135711057769,,,,,,,,0.1466301153330818,0.048110656487755823,0.09851945884532597,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-11T00:00:00.000000,84.071,0.0037777491673161023,0.0037777491673161023,,,,,,,,0.2285847067678901,0.08420546654378269,0.14437924022410742,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-12T00:00:00.000000,83.877,-0.002310239910982226,-0.002310239910982226,,,,,,,,0.27471340710265224,0.12230705465555661,0.15240635244709563,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-13T00:00:00.000000,83.957,0.0009533229984253211,0.0009533229984253211,,,,,,,,0.3141052560019091,0.1606666949248271,0.15343856107708198,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-16T00:00:00.000000,83.539,-0.004991174329672887,-0.004991174329672887,,,,,,,,0.3080435392591596,0.1901420637916936,0.11790147546746602,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-17T00:00:00.000000,83.505,-0.00040707838018150255,-0.00040707838018150255,,,,,,,,0.2970716125888089,0.21152797355111666,0.08554363903769222,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-18T00:00:00.000000,82.787,-0.008635466069833342,-0.007653652775523767,,,,,,,,0.2278135889856685,0.21478509663802703,0.013028492347641474,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-19T00:00:00.000000,82.499,-0.0034848721786957526,-0.0034848721786957526,,,,,,,,0.14798107945060224,0.2014242932005421,-0.05344321374993985,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-20T00:00:00.000000,82.48,-0.0002303323463470619,-0.0002303323463470619,,,,,,,,0.08223217791231718,0.17758587014289712,-0.09535369223057993,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-23T00:00:00.000000,82.69,0.002542836025370754,0.002542836025370754,,,,,,,43.894578476709775,0.046534523682439044,0.1513756008508055,-0.10484107716836646,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-24T00:00:00.000000,82.906,0.0026087601451889597,0.0026087601451889597,,,,,,,49.03137270085315,0.035266737335035714,0.12815382814765156,-0.09288709081261584,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-25T00:00:00.000000,82.891,-0.00018094416715541684,-0.00018094416715541684,,,,,,,48.69793090263888,0.02484021826130345,0.10749110617038195,-0.0826508879090785,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-26T00:00:00.000000,82.957,0.0007959095495158053,0.0007959095495158053,,,,,,,50.299494371789045,0.02165317091565555,0.09032351911943667,-0.06867034820378112,,,
TWLO 3 5_8 03_15_29 - TWLO 3.625 03_15_29 Corp Corp (Conv),2023-10-27T00:00:00.000000,82.895,-0.000747654570195877,-0.000747654570195877,,,,,,,48.759562490178645,0.013963567771170915,0.07505152884978353,-0.06108796107861261,,,
