series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Tencent Holdings Ltd - 700 HK Equity Equity,2010-01-05T00:00:00.000000,31.672,24423510.0,,,,,,,,,,0.0,0.0,0.0,,,
Tencent Holdings Ltd - 700 HK Equity Equity,2010-01-06T00:00:00.000000,31.746,23279845.0,0.0023337233462199514,0.0023337233462199514,,,,,,,,0.0059031339031321295,0.001180626780626426,0.004722507122505703,,,
Tencent Holdings Ltd - 700 HK Equity Equity,2010-01-07T00:00:00.000000,30.529,27930995.0,-0.039089681607249016,-0.039089681607249016,,,,,,,,-0.08662179690100302,-0.016379857955699465,-0.07024193894530356,,,
Tencent Holdings Ltd - 700 HK Equity Equity,2010-01-08T00:00:00.000000,30.953,19976110.0,0.013792873423462026,0.013792873423462026,,,,,,,,-0.12430233474582408,-0.037964353313724386,-0.0863379814320997,,,
Tencent Holdings Ltd - 700 HK Equity Equity,2010-01-11T00:00:00.000000,31.488,17769565.0,0.01713659590358052,0.01713659590358052,,,,,,,,-0.10972951015421017,-0.05231738468182155,-0.05741212547238862,,,
Tencent Holdings Ltd - 700 HK Equity Equity,2010-01-12T00:00:00.000000,31.082,15724875.0,-0.01297764737642293,-0.01297764737642293,,,,,,,,-0.12944904062910823,-0.06774371587127889,-0.06170532475782933,,,
Tencent Holdings Ltd - 700 HK Equity Equity,2010-01-13T00:00:00.000000,31.506,30554385.0,0.01354913039035699,0.01354913039035699,,,,,,,,-0.10960025065212875,-0.07611502282744886,-0.033485227824679886,,,
Tencent Holdings Ltd - 700 HK Equity Equity,2010-01-14T00:00:00.000000,31.783,18943535.0,0.00875355176256587,0.00875355176256587,,,,,,,,-0.07070333257156491,-0.07503268477627208,0.0043293522047071625,,,
Tencent Holdings Ltd - 700 HK Equity Equity,2010-01-15T00:00:00.000000,32.336,20422645.0,0.01724960501492223,0.01724960501492223,,,,,,,,0.004691156894079285,-0.05908791644220181,0.06377907333628109,,,
Tencent Holdings Ltd - 700 HK Equity Equity,2010-01-18T00:00:00.000000,31.285,27818215.0,-0.033042411210938205,-0.033042411210938205,,,,,,,,-0.020133002719948223,-0.05129693369775109,0.031163930977802866,,,
