series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Total authorized - NHSPATOT INDEX Index,2000-02-29T00:00:00.000000,1692.0,,,,,,,,,,0.0,0.0,0.0,,,
Total authorized - NHSPATOT INDEX Index,2000-03-31T00:00:00.000000,1651.0,-0.024530096246039967,-0.024530096246039967,,,,,,,,-3.270655270655425,-0.654131054131085,-2.61652421652434,,,
Total authorized - NHSPATOT INDEX Index,2000-04-30T00:00:00.000000,1597.0,-0.033254295705115844,-0.033254295705115844,,,,,,,,-10.103554354266862,-2.5440157141582405,-7.559538640108622,,,
Total authorized - NHSPATOT INDEX Index,2000-05-31T00:00:00.000000,1543.0,-0.034398295851851834,-0.034398295851851834,,,,,,,,-19.64951740434094,-5.96511605219478,-13.68440135214616,,,
Total authorized - NHSPATOT INDEX Index,2000-06-30T00:00:00.000000,1572.0,0.018620120625991277,0.018620120625991277,,,,,,,,-24.59123184637224,-9.690339211030272,-14.900892635341966,,,
Total authorized - NHSPATOT INDEX Index,2000-07-31T00:00:00.000000,1542.0,-0.01926841886587738,-0.01926841886587738,,,,,,,,-30.575865875355476,-13.867444543895314,-16.708421331460162,,,
Total authorized - NHSPATOT INDEX Index,2000-08-31T00:00:00.000000,1552.0,0.00646414661988981,0.00646414661988981,,,,,,,,-34.118517996349965,-17.917659234386246,-16.20085876196372,,,
Total authorized - NHSPATOT INDEX Index,2000-09-30T00:00:00.000000,1570.0,0.011531197599189191,0.011531197599189191,,,,,,,,-35.0693876866294,-21.34800492483488,-13.72138276179452,,,
Total authorized - NHSPATOT INDEX Index,2000-10-31T00:00:00.000000,1577.0,0.004448688620684926,0.004448688620684926,,,,,,,,-34.856315362071655,-24.049667012282235,-10.80664834978942,,,
Total authorized - NHSPATOT INDEX Index,2000-11-30T00:00:00.000000,1614.0,0.02319126186685594,0.02319126186685594,,,,,,,,-31.34058843699586,-25.507851297224963,-5.832737139770895,,,
Total authorized - NHSPATOT INDEX Index,2000-12-31T00:00:00.000000,1543.0,-0.044986996466733764,-0.044986996466733764,,,,,,,,-33.89276149071702,-27.18483333592338,-6.707928154793642,,,
Total authorized - NHSPATOT INDEX Index,2001-01-31T00:00:00.000000,1699.0,0.09631126930877176,0.09631126930877176,,,,,,,,-23.06164053291195,-26.360194775321098,3.2985542424091463,,,
Total authorized - NHSPATOT INDEX Index,2001-02-28T00:00:00.000000,1656.0,-0.025634786726727476,-0.025634786726727476,,,,,,,,-17.743108266450463,-24.63677747354697,6.893669207096508,,,
Total authorized - NHSPATOT INDEX Index,2001-03-31T00:00:00.000000,1659.0,0.001809955245239081,0.001809955245239081,,,,,,,52.92965243423911,-13.134650128721887,-22.336352004581958,9.20170187586007,,,
Total authorized - NHSPATOT INDEX Index,2001-04-30T00:00:00.000000,1666.0,0.004210532536343514,0.004210532536343514,,,,,,,53.84041345023417,-8.815947597695413,-19.63227112320465,10.816323525509237,,,
