series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-03-24T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-03-25T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-03-26T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-03-27T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-03-28T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-03-31T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-01T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-02T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-03T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-04T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-07T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-09T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-10T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-11T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-14T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-15T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-16T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-17T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-21T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-22T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-23T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-24T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-25T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-28T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-29T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-04-30T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-05-01T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-05-02T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-05-05T00:00:00.000000,,,,,,,,,,,,,,,,,
US 10YR FUT OPTN  Dec25C   112 - TYZ5C 112 Comdty Comdty,2025-05-06T00:00:00.000000,,,,,,,,,,,,,,,,,
