series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-04T00:00:00.000000,-0.077,,,,,,,,,,0.0,0.0,0.0,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-05T00:00:00.000000,-0.037,NaN,NaN,,,,,,,,0.0031908831908832036,0.0006381766381766407,0.002552706552706563,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-06T00:00:00.000000,0.007,NaN,NaN,,,,,,,,0.009164471067604991,0.002343435524062311,0.006821035543542681,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-07T00:00:00.000000,0.034,1.5804503755608477,1.5804503755608477,,,,,,,,0.01589404024660234,0.005053556468570317,0.010840483778032024,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-08T00:00:00.000000,0.087,0.9395475940384221,0.9395475940384221,,,,,,,,0.025213286295713053,0.009085502433998863,0.01612778386171419,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-11T00:00:00.000000,0.086,-0.01156082240107592,-0.01156082240107592,,,,,,,,0.03214758691771474,0.01369791933074204,0.018449667586972703,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-12T00:00:00.000000,-0.002,NaN,NaN,,,,,,,,0.03019414624358257,0.01699716471331015,0.01319698153027242,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-13T00:00:00.000000,0.086,NaN,NaN,,,,,,,,0.035339522966201714,0.020665636363888462,0.014673886602313252,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-14T00:00:00.000000,0.078,-0.09763846956391564,-0.09763846956391564,,,,,,,,0.03832989478060474,0.024198488047231716,0.014131406733373021,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-15T00:00:00.000000,0.009,-2.1594842493533726,-1.0360919316867756,,,,,,,,0.034731697258776846,0.026305129889540743,0.008426567369236103,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-18T00:00:00.000000,0.018,0.6931471805599454,0.6931471805599454,,,,,,,,0.032234742536447,0.027491052418921996,0.004743690117525005,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-19T00:00:00.000000,0.142,2.065455299705096,2.065455299705096,,,,,,,,0.03980282937751111,0.02995340781063982,0.00984942156687129,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-20T00:00:00.000000,0.057,-0.9127757897667106,-0.9127757897667106,,,,,,,,0.03849802186692019,0.0316623306218959,0.00683569124502429,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-21T00:00:00.000000,-0.15,NaN,NaN,,,,,,,38.38621906468492,0.02052419237153505,0.02943470297182373,-0.00891051060028868,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-22T00:00:00.000000,-0.361,NaN,NaN,,,,,,,28.35380734369521,-0.010623670536490742,0.021423028270160835,-0.03204669880665158,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-25T00:00:00.000000,-0.291,NaN,NaN,,,,,,,34.47243863455766,-0.029322153777405643,0.01127399186064754,-0.04059614563805318,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-26T00:00:00.000000,-0.234,NaN,NaN,,,,,,,39.03787958816887,-0.03909079843877879,0.0012010338007622731,-0.04029183223954106,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-27T00:00:00.000000,-0.138,NaN,NaN,,,,,,,45.87729914703671,-0.038640696125737464,-0.006767312184537674,-0.03187338394119979,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-28T00:00:00.000000,-0.185,NaN,NaN,,,,,,,43.31511710626086,-0.04159698979927219,-0.013733247707484578,-0.027863742091787613,,,
US Financial Conditions FCON - BFCIUS INDEX Index,2010-01-29T00:00:00.000000,-0.25,NaN,NaN,,,,,,,39.988891603919484,-0.04862431971672225,-0.020711462109332113,-0.027912857607390137,-0.05605,0.23629620788229477,-0.34839620788229475
US Financial Conditions FCON - BFCIUS INDEX Index,2010-02-01T00:00:00.000000,-0.117,NaN,NaN,NaN,NaN,NaN,,NaN,,48.67395450876489,-0.042966252618237555,-0.0251624202111132,-0.017803832407124354,-0.058050000000000004,0.23544471437901748,-0.35154471437901746
US Financial Conditions FCON - BFCIUS INDEX Index,2010-02-02T00:00:00.000000,-0.045,NaN,NaN,NaN,NaN,NaN,,NaN,,52.66756501341497,-0.03230006041722262,-0.026589948252335086,-0.0057101121648875375,-0.05845,0.23494570907779677,-0.3518457090777968
US Financial Conditions FCON - BFCIUS INDEX Index,2010-02-03T00:00:00.000000,-0.007,NaN,NaN,NaN,NaN,NaN,,NaN,,54.67216914713429,-0.020543926237883592,-0.02538074384944479,0.004836817611561198,-0.059149999999999994,0.2336544254770535,-0.35195442547705347
US Financial Conditions FCON - BFCIUS INDEX Index,2010-02-04T00:00:00.000000,-0.278,NaN,NaN,NaN,NaN,NaN,,NaN,,41.25369798896412,-0.032717394601787395,-0.026848073999913312,-0.005869320601874083,-0.07475,0.23015369489052567,-0.37965369489052564
