series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-02T00:00:00.000000,789004800000000.0,,,,,,,,,,0.0,0.0,0.0,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-03T00:00:00.000000,789091200000000.0,0.00010949904199009097,0.00010949904199009097,,,,,,,,6892307692.25,1378461538.45,5513846153.8,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-04T00:00:00.000000,789177600000000.0,0.0001094870532654113,0.0001094870532654113,,,,,,,,19106026736.875,4923974578.135,14182052158.74,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-05T00:00:00.000000,789264000000000.0,0.00010947506716263433,0.00010947506716263433,,,,,,,,35349755028.25,11009130668.158,24340624360.092,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-06T00:00:00.000000,789350400000000.0,0.00010946308368886548,0.00010946308368886548,,,,,,,,54565784259.125,19720461386.351402,34845322872.7736,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-09T00:00:00.000000,789609600000000.0,0.00032831737640748315,0.00030935808444354507,,,,,,,,89676168593.75,33711602827.831123,55964565765.91888,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-10T00:00:00.000000,789696000000000.0,0.00010941517599150075,0.00010941517599150075,,,,,,,,123054661521.5,51580214566.5649,71474446954.93509,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-11T00:00:00.000000,789782400000000.0,0.00010940320562724537,0.00010940320562724537,,,,,,,,154695877786.5,72203347210.55193,82492530575.94807,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-12T00:00:00.000000,789868800000000.0,0.00010939123787068183,0.00010939123787068183,,,,,,,,184615396196.125,94685757007.66653,89929639188.45847,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-13T00:00:00.000000,789955200000000.0,0.000109379272736021,0.000109379272736021,,,,,,,,212845042856.625,118317614177.45822,94527428679.16678,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-16T00:00:00.000000,790214400000000.0,0.0003280660535764923,0.00030935808444354507,,,,,,,,253213625934.125,145296816528.7916,107916809405.3334,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-17T00:00:00.000000,790300800000000.0,0.00010933143835956116,0.00010933143835956116,,,,,,,,288848115514.125,174007076325.85828,114841039188.26672,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-18T00:00:00.000000,790387200000000.0,0.00010931948630599209,0.00010931948630599209,,,,,,,,320367466432.75,203279154347.23663,117088312085.51337,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-19T00:00:00.000000,790473600000000.0,0.00010930753686722028,0.00010930753686722028,,,,,,,,348303510982.375,232284025674.2643,116019485308.11069,,,
US Generic Govt 10 Yr - USGG10YR Index Index,1995-01-20T00:00:00.000000,790560000000000.0,0.00010929559002903488,0.00010929559002903488,,,,,,,,373113762285.0,260449972996.41147,112663789288.58853,,,
