series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-02-28T00:00:00.000000,95.4,,,,,,,,,,0.0,0.0,0.0,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-03-31T00:00:00.000000,93.0,-0.02547908530098475,-0.02547908530098475,,,,,,,,-0.19145299145299077,-0.03829059829059816,-0.1531623931623926,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-04-30T00:00:00.000000,95.9,0.03070648873613635,0.03070648873613635,,,,,,,,-0.10793094211898335,-0.0522186670562752,-0.05571227506270815,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-05-31T00:00:00.000000,90.7,-0.05574862476830145,-0.05574862476830145,,,,,,,,-0.45607827164795367,-0.13299058797461089,-0.3230876836733428,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-06-30T00:00:00.000000,96.1,0.05783195885515546,0.05783195885515546,,,,,,,,-0.29287656946524976,-0.16496778427273867,-0.1279087851925111,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-07-31T00:00:00.000000,93.1,-0.031715131693225374,-0.031715131693225374,,,,,,,,-0.4009906025760728,-0.2121723479334055,-0.18881825464266727,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-08-31T00:00:00.000000,91.9,-0.012973154921379404,-0.012973154921379404,,,,,,,,-0.5768521316221609,-0.28510830467115655,-0.2917438269510043,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-09-30T00:00:00.000000,87.2,-0.05249669844670812,-0.05249669844670812,,,,,,,,-1.08299034233778,-0.44468471220448125,-0.6383056301332988,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-10-31T00:00:00.000000,90.0,0.03160533941533128,0.03160533941533128,,,,,,,,-1.2438337798803616,-0.6045145257396574,-0.6393192541407042,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-11-30T00:00:00.000000,91.3,0.01434111727065801,0.01434111727065801,,,,,,,,-1.2519722704920184,-0.7340060746901296,-0.5179661958018889,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2015-12-31T00:00:00.000000,92.6,0.014138354051210555,0.014138354051210555,,,,,,,,-1.1403773868345581,-0.8152803371190154,-0.32509704971554276,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-01-31T00:00:00.000000,92.0,-0.0065005646030931175,-0.0065005646030931175,,,,,,,,-1.0878129920962607,-0.8697868681144645,-0.21802612398179622,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-02-29T00:00:00.000000,91.7,-0.0032661977866208503,-0.0032661977866208503,,,,,,,,-1.0581649564227291,-0.9074624857761174,-0.15070247064661169,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-03-31T00:00:00.000000,91.0,-0.007662872745569871,-0.007662872745569871,,,,,,,43.592122555795406,-1.078718034383101,-0.9417135954975142,-0.1370044388855869,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-04-30T00:00:00.000000,89.0,-0.022223136784710107,-0.022223136784710107,,,,,,,39.01101740508122,-1.242071949772182,-1.0017852663524478,-0.24028668341973414,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-05-31T00:00:00.000000,94.7,0.062077630459892674,0.062077630459892674,,,,,,,53.88517432852876,-0.90120026582035,-0.9816682662460283,0.08046800042567837,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-06-30T00:00:00.000000,93.5,-0.012752563897390878,-0.012752563897390878,,,,,,,51.06180183091023,-0.7195919633985994,-0.9292530056765427,0.20966104227794324,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-07-31T00:00:00.000000,90.0,-0.038151765964376416,-0.038151765964376416,,,,,,,43.845775271793265,-0.8483080573599153,-0.9130640160132173,0.06475595865330197,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-08-31T00:00:00.000000,89.8,-0.0022246950221109785,-0.0022246950221109785,,,,,,,43.46775435936603,-0.9554410875876016,-0.9215394303280943,-0.033901657259507334,,,
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-09-30T00:00:00.000000,91.2,0.015469921772131912,0.015469921772131912,,,,,,,46.91776172999419,-0.9168080931781049,-0.9205931628980965,0.003785069719991596,92.00500000000001,96.69518011100676,87.31481988899326
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-10-31T00:00:00.000000,87.2,-0.04485056616535221,-0.04485056616535221,-1.3392757145165384,-1.3392757145165384,0.03348867277978135,,0.5316161994775175,,39.500508433277055,-1.1951804412256166,-0.9755106185636006,-0.21966982266201607,91.595,96.46573970390119,86.7242602960988
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-11-30T00:00:00.000000,93.8,0.07296052509724493,0.07296052509724493,1.9579700897173453,1.9579700897173453,0.037263350181093724,,0.5915373455777261,,52.768523946050685,-0.873162418285915,-0.9550409785080635,0.08187856022214846,91.635,96.56707546789931,86.7029245321007
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2016-12-31T00:00:00.000000,98.2,0.045841359348241184,0.045841359348241184,1.204581004477998,1.204581004477998,0.03805585442392594,,0.6041179604147117,,59.19357034148626,-0.2599213756034118,-0.8160170579271332,0.5560956823237214,91.75,97.18264983323303,86.31735016676697
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-01-31T00:00:00.000000,98.5,0.003050332817623236,0.003050332817623236,0.0856372008740514,0.0856372008740514,0.035619249420697795,,0.5654380551236872,,59.59713228335232,0.24743182166186273,-0.603327282009334,0.8507591036711968,92.14,98.32330519689076,85.95669480310924
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-02-28T00:00:00.000000,96.3,-0.02258822937396321,-0.02258822937396321,-0.6697532439696781,-0.6697532439696781,0.03372619629295271,,0.5353867683558082,,55.279627545477695,0.46661245403022633,-0.389339334801422,0.8559517888316484,92.15,98.36085636946368,85.93914363053634
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-03-31T00:00:00.000000,96.9,0.006211200092640645,0.006211200092640645,0.1887957651693718,0.1887957651693718,0.032899043509098176,,0.5222561249818051,,56.211340982007265,0.680880898717362,-0.17529528809766526,0.8561761868150273,92.34,98.89612208871316,85.78387791128685
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-04-30T00:00:00.000000,97.0,0.0010314596066622883,0.0010314596066622883,0.03153145922744589,0.03153145922744589,0.032712079679600624,,0.5192881661997163,,56.37447743741913,0.8489729177888279,0.029558353079633365,0.8194145647091945,92.595,99.46812845339386,85.72187154660614
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-05-31T00:00:00.000000,97.1,0.001030396793896493,0.001030396793896493,0.034302131915018956,0.034302131915018956,0.030038855790340567,,0.47685205254104235,,56.54880888874768,0.9789712470580554,0.21944093187531777,0.7595303151827376,93.09,99.74982455909343,86.43017544090658
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-06-30T00:00:00.000000,95.0,-0.021864483696738546,-0.021864483696738546,-0.7297656490557203,-0.7297656490557203,0.029960965859423608,,0.4756155882199887,,51.86189016187662,0.9021440549236104,0.3559815564849763,0.5461624984386341,93.34,99.88583837258533,86.79416162741468
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-07-31T00:00:00.000000,93.4,-0.016985546365743787,-0.016985546365743787,-0.5635760928306316,-0.5635760928306316,0.030138869589786448,,0.4784397223870933,,48.55953448188031,0.7040356388077385,0.42559237294952873,0.2784432658582097,93.44500000000001,99.9200452142304,86.96995478576962
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-08-31T00:00:00.000000,96.8,0.03575564904773465,0.03575564904773465,1.1532271967647123,1.1532271967647123,0.031004861095926543,,0.49218691136353904,,55.10206149673606,0.8120243653402497,0.502878771427673,0.3091455939125767,93.655,100.2852258435784,87.0247741564216
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-09-30T00:00:00.000000,95.1,-0.01771802473118722,-0.01771802473118722,-0.5665925139900592,-0.5665925139900592,0.03127119454228808,,0.4964148237528873,,51.5702725061402,0.7517645429330742,0.5526559257287533,0.19910861720432083,93.81,100.42223745872269,87.19776254127731
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-10-31T00:00:00.000000,100.7,0.05721683017317236,0.05721683017317236,1.7025100733410234,1.7025100733410234,0.0336073372305454,,0.533499939234632,,60.5421630090426,1.142708960785754,0.6706665327401534,0.4720424280456005,94.26,101.46596244348008,87.05403755651993
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-11-30T00:00:00.000000,98.5,-0.022089251546473676,-0.022089251546473676,-0.648953258157813,-0.648953258157813,0.03403827821001862,,0.5403409152032284,,56.141902375412556,1.2604835450203637,0.7886299351961955,0.47185360982416824,94.635,101.9069431993616,87.3630568006384
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2017-12-31T00:00:00.000000,95.9,-0.026750566288650468,-0.026750566288650468,-0.781356607202675,-0.781356607202675,0.0342360530928635,,0.5434804941367232,,51.38832787308342,1.1309851874261625,0.857100985642189,0.27388420178397355,94.98,101.76468864429316,88.19531135570685
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-01-31T00:00:00.000000,95.7,-0.002087683430484155,-0.002087683430484155,-0.06655643063044839,-0.06655643063044839,0.03136711825902931,,0.4979375655488692,,51.03039348190919,1.0006832242121675,0.8858174333561848,0.1148657908559827,95.03,101.82073672462475,88.23926327537525
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-02-28T00:00:00.000000,99.7,0.04094737850888386,0.04094737850888386,1.2618465901241718,1.2618465901241718,0.032450361897680795,,0.5151335252118564,,57.41853105505288,1.2062793131560596,0.9499098093161598,0.25636950383989987,95.34,102.39747830319001,88.28252169681
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-03-31T00:00:00.000000,101.4,0.016907414189290648,0.016907414189290648,0.5443027904823946,0.5443027904823946,0.031062516093856983,,0.49310215608172236,,59.81767508169265,1.4892246328339525,1.0577727740197185,0.431451858814234,95.91000000000001,102.99293724382731,88.82706275617271
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-04-30T00:00:00.000000,98.8,-0.02597548640326064,-0.02597548640326064,-0.8159057113701214,-0.8159057113701214,0.03183638261293812,,0.5053869062264098,,54.73802373288517,1.4865268105550058,1.143523581326776,0.3430032292282299,96.36000000000001,102.9337596388569,89.78624036114313
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-05-31T00:00:00.000000,98.0,-0.008130126083250033,-0.008130126083250033,-0.25521091957431047,-0.25521091957431047,0.031856497742381126,,0.5057062240069863,,53.2399159546083,1.4036549918401136,1.1955498634294435,0.20810512841067008,96.70000000000002,102.83908959477033,90.5609104052297
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-06-30T00:00:00.000000,98.2,0.0020387366898475534,0.0020387366898475534,0.06850622648383355,0.06850622648383355,0.02975987431344894,,0.4724233588915498,,53.58194702321411,1.3386852764157169,1.2241769460266982,0.11450833038901864,97.25000000000001,101.47947054046008,93.02052945953994
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-07-31T00:00:00.000000,97.9,-0.0030596658239554486,-0.0030596658239554486,-0.12110507847454745,-0.12110507847454745,0.02526455424079095,,0.40106236503621073,,52.95622244478747,1.2485957811240667,1.229060713046172,0.019535068077894735,97.45500000000001,101.36583515108155,93.54416484891847
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-08-31T00:00:00.000000,96.2,-0.017517191864803827,-0.017517191864803827,-0.7486058072811971,-0.7486058072811971,0.023399754175596296,,0.3714595817320382,,49.43334850191777,1.02817129585425,1.1888828296077876,-0.16071153375353764,97.35500000000002,101.28784415631792,93.42215584368212
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-09-30T00:00:00.000000,100.1,0.039740328649513934,0.039740328649513934,1.582526019052894,1.582526019052894,0.025111959090124546,,0.3986399921165843,,56.571070076751646,1.1548681088667507,1.1820798854595802,-0.027211776592829473,97.43500000000002,101.52775354485715,93.34224645514288
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-10-31T00:00:00.000000,98.6,-0.015098424712585157,-0.015098424712585157,-0.6088413060197249,-0.6088413060197249,0.024798620861141124,,0.393665901935747,,53.44625703345651,1.1213129839179459,1.1699265051512535,-0.048613521233307644,97.55000000000001,101.63772231006504,93.46227768993498
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-11-30T00:00:00.000000,97.5,-0.011218883604787955,-0.011218883604787955,-0.45022320093265317,-0.45022320093265317,0.024918492830995034,,0.39556881046415227,,51.212224984107294,0.9944955728165468,1.1348403186843123,-0.14034474586776557,97.58000000000001,101.65642774471506,93.50357225528496
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2018-12-31T00:00:00.000000,98.3,0.008171649149319116,0.008171649149319116,0.3271215691061292,0.3271215691061292,0.024980465738313813,,0.39655259986888713,,52.75881385916775,0.9476215832320776,1.0973965715938654,-0.14977498836178782,97.64500000000001,101.72394465195093,93.56605534804909
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-01-31T00:00:00.000000,91.2,-0.07496913007283457,-0.07496913007283457,-2.4853361060726153,-2.4853361060726153,0.03016458413397554,,0.4788479281211036,,40.490821373930565,0.33371607477435816,0.9446604722299641,-0.6109443974556059,97.35000000000001,102.34536627391026,92.35463372608976
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-02-28T00:00:00.000000,93.8,0.02810995893189272,0.02810995893189272,0.9186825337944386,0.9186825337944386,0.030598120567058164,,0.4857301056384393,,45.48953279345039,0.05634035077159183,0.7669964479382897,-0.7106560971666979,97.29,102.43091943445654,92.14908056554347
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-03-31T00:00:00.000000,98.4,0.04787594804602868,0.04787594804602868,1.4881761775147044,1.4881761775147044,0.032170887270875984,,0.5106970030501877,,53.01005821041671,0.20533269976347412,0.6546636983033266,-0.4493309985398525,97.54,102.36074464656278,92.71925535343723
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-04-30T00:00:00.000000,97.2,-0.012270092591814219,-0.012270092591814219,-0.3914120714102311,-0.3914120714102311,0.0313482733110553,,0.4976384112740141,,51.03208813918886,0.22399812760880877,0.568530584164423,-0.34453245655561426,97.56000000000002,102.3711274529376,92.74887254706243
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-05-31T00:00:00.000000,100.0,0.028399474521698664,0.028399474521698664,0.8971543438405866,0.8971543438405866,0.0316550599310757,,0.5025084978868304,,55.229793933986755,0.45943117646076814,0.5467107026236921,-0.087279526162924,97.80500000000002,102.58763305589675,93.0223669441033
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-06-30T00:00:00.000000,98.2,-0.018163970627671944,-0.018163970627671944,-0.6222568829999882,-0.6222568829999882,0.0291904696017196,,0.4633843393160443,,52.13569136603208,0.49506184235374917,0.5363809305697036,-0.041319088215954425,97.68000000000002,102.27088341458399,93.08911658541605
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-07-31T00:00:00.000000,98.4,0.0020345886977874983,0.0020345886977874983,0.0706948486341235,0.0706948486341235,0.028779872042974126,,0.45686630513981974,,52.45441455109362,0.5332902917872531,0.5357628028132135,-0.0024725110259604666,97.67500000000003,102.2623395569225,93.08766044307755
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-08-31T00:00:00.000000,89.8,-0.09145582875005331,-0.09145582875005331,-2.6189374785180592,-2.6189374785180592,0.034920966804371414,,0.5543531622378524,,40.09179495430219,-0.12887591212424354,0.40283505982572215,-0.5317109719499657,97.37000000000002,103.1184460142664,91.62155398573364
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-09-30T00:00:00.000000,93.2,0.0371627463833919,0.0371627463833919,1.0301328438265598,1.0301328438265598,0.03607568344811349,,0.5726837206823845,,45.55504701368691,-0.37497335493665673,0.24727337687324635,-0.6222467318099031,97.24500000000002,103.24937559749377,91.24062440250627
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-10-31T00:00:00.000000,95.5,0.02437852579513855,0.02437852579513855,0.6918972344622253,0.6918972344622253,0.03523431599504322,,0.559327426430098,,48.94678012165393,-0.3800357576536868,0.12181154996785973,-0.5018473076215465,97.03500000000001,102.97124903719292,91.0987509628071
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-11-30T00:00:00.000000,96.8,0.013520746795847138,0.013520746795847138,0.3847031218863339,0.3847031218863339,0.035145924289748914,,0.5579242516090802,,50.811972575696956,-0.27596743205984353,0.04225575356231907,-0.3182231856221626,96.805,102.37426717280682,91.23573282719319
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2019-12-31T00:00:00.000000,99.3,0.02549857676859535,0.02549857676859535,0.7242426492546982,0.7242426492546982,0.03520722895128499,,0.5588974329408808,,54.271885331156604,0.008142708300681534,0.03543314450999156,-0.02729043620931003,96.83000000000001,102.44130437974044,91.21869562025958
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2020-01-31T00:00:00.000000,99.8,0.005022612266291304,0.005022612266291304,0.14282894988731895,0.14282894988731895,0.03516522574907789,,0.5582306527770308,,54.954339327631494,0.2705293686024959,0.08245238932849243,0.18807697927400346,96.92,102.66643138688816,91.17356861311184
Univ. of Michigan Sentiment - CONSSENT INDEX Index,2020-02-29T00:00:00.000000,101.0,0.011952333523841396,0.011952333523841396,0.33905659048400233,0.33905659048400233,0.03525173631569725,0.032636039373567884,0.5596039654473555,0.518081063763437,56.627362079132595,0.5687465028150172,0.17971121202579737,0.3890352907892198,97.06,103.06820491626195,91.05179508373806
