series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-14T00:00:00.000000,19.71,,,,,,,,,,0.0,0.0,0.0,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-15T00:00:00.000000,19.79,0.004050638449845767,0.004050638449845767,,,,,,,,0.006381766381764464,0.0012763532763528929,0.0051054131054115715,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-16T00:00:00.000000,19.62,-0.00862730547725743,-0.00862730547725743,,,,,,,,-0.0022522544459882,0.0005706317318846742,-0.002822886177872874,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-17T00:00:00.000000,19.55,-0.0035741677058420684,-0.0035741677058420684,,,,,,,,-0.014575179545271766,-0.002458530523546614,-0.012116649021725151,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-20T00:00:00.000000,19.29,-0.013388459513737239,-0.013388459513737239,,,,,,,,-0.04480453477069091,-0.010927731372975473,-0.033876803397715434,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-21T00:00:00.000000,19.28,-0.0005185377352381337,-0.0005185377352381337,,,,,,,,-0.06877563034877099,-0.022497311168134575,-0.046278319180636414,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-22T00:00:00.000000,19.08,-0.010427623162259092,-0.010427623162259092,,,,,,,,-0.10272705132477711,-0.03854325919946308,-0.06418379212531403,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-23T00:00:00.000000,19.08,0.0,0.0,,,,,,,,-0.12815648882649455,-0.056465905124869376,-0.07169058370162518,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-24T00:00:00.000000,19.3,0.01146442989069918,0.01146442989069918,,,,,,,,-0.12906950693950137,-0.07098662548779577,-0.05808288145170559,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-27T00:00:00.000000,19.33,0.0015531973093998452,0.0015531973093998452,,,,,,,,-0.12592079455579608,-0.08197345930139584,-0.04394733525440024,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-28T00:00:00.000000,19.17,-0.008311736162686323,-0.008311736162686323,,,,,,,,-0.13478239260781422,-0.09253524596267951,-0.04224714664513471,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-29T00:00:00.000000,19.2,0.0015637219761828192,0.0015637219761828192,,,,,,,,-0.13779609600916132,-0.10158741597197588,-0.03620868003718544,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-11-30T00:00:00.000000,19.01,-0.009945122533398187,-0.009945122533398187,,,,,,,,-0.15374362891894577,-0.11201865856136986,-0.04172497035757591,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-12-01T00:00:00.000000,19.05,0.0021019450723720468,0.0021019450723720468,,,,,,,28.909137070906795,-0.1612951874218389,-0.12187396433346367,-0.03942122308837523,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-12-04T00:00:00.000000,19.1,0.0026212334798745296,0.0026212334798745296,,,,,,,32.74504713293494,-0.16138492485377043,-0.12977615643752505,-0.03160876841624538,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-12-05T00:00:00.000000,19.62,0.026861119084632623,0.018974054994385536,,,,,,,58.07904830410258,-0.11813460603429604,-0.12744784635687925,0.00931324032258321,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-12-06T00:00:00.000000,19.46,-0.00818837737935807,-0.00818837737935807,,,,,,,51.63412626281939,-0.09566629805853566,-0.12109153669721054,0.02542523863867488,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-12-07T00:00:00.000000,19.4,-0.00308801068857667,-0.00308801068857667,,,,,,,49.419441287329185,-0.0817590334272893,-0.11322503604322628,0.03146600261593699,,,
Vanguard Balanced Index Fund - VBIAX US Equity US,2000-12-08T00:00:00.000000,19.7,0.015345569674660275,0.015345569674660275,,,,,,,58.909541561909954,-0.04599967756603007,-0.09977996434778705,0.053780286781756975,,,
