series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-14T00:00:00.000000,34.44,,,,,,,,,,0.0,0.0,0.0,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-15T00:00:00.000000,34.78,0.009823829366606862,0.009823829366606862,,,,,,,,0.02712250712250608,0.005424501424501216,0.02169800569800486,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-16T00:00:00.000000,33.97,-0.023564726753644294,-0.023564726753644294,,,,,,,,-0.016552138375494962,0.0010291734645019807,-0.017581311839996942,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-17T00:00:00.000000,34.0,0.0008827424436690379,0.0008827424436690379,,,,,,,,-0.04818837472435433,-0.008814336173269283,-0.03937403855108505,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-20T00:00:00.000000,33.22,-0.023208420431012566,-0.023208420431012566,,,,,,,,-0.13464766673870798,-0.033981002286357025,-0.10066666445235095,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-21T00:00:00.000000,33.37,0.004505188578133534,0.004505188578133534,,,,,,,,-0.18888616997800511,-0.06496203582468665,-0.12392413415331846,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-22T00:00:00.000000,32.54,-0.02518719097239064,-0.02518719097239064,,,,,,,,-0.2954390010631798,-0.11105742887238529,-0.18438157219079448,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-23T00:00:00.000000,32.54,0.0,0.0,,,,,,,,-0.3755537376562543,-0.1639566906291591,-0.21159704702709523,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-24T00:00:00.000000,33.3,0.02308729519550612,0.02308729519550612,,,,,,,,-0.37341509837554554,-0.20584837217843638,-0.16756672619710916,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-27T00:00:00.000000,33.52,0.0065848786274842475,0.0065848786274842475,,,,,,,,-0.3499342260231302,-0.23466554294737518,-0.115268683075755,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-28T00:00:00.000000,32.86,-0.019886163004760427,-0.019886163004760427,,,,,,,,-0.3801992493820805,-0.26377228423431626,-0.11642696514776424,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-29T00:00:00.000000,32.98,0.003645204522330747,0.003645204522330747,,,,,,,,-0.3900057577187894,-0.28901897893121087,-0.10098677878757856,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-11-30T00:00:00.000000,32.03,-0.029228353510385663,-0.029228353510385663,,,,,,,,-0.46902788524504757,-0.3250207601939782,-0.14400712505106938,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-01T00:00:00.000000,32.01,-0.0006246096392952261,-0.0006246096392952261,,,,,,,27.71043890794178,-0.5271902029907594,-0.36545464875333444,-0.16173555423742492,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-04T00:00:00.000000,32.26,0.00777971871529104,0.00777971871529104,,,,,,,32.59890661764433,-0.5468080849511736,-0.4017253359929023,-0.14508274895827133,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-05T00:00:00.000000,34.13,0.05634869022155309,0.03397984838670043,,,,,,,56.36714784927378,-0.40677300004892203,-0.40273486880410625,-0.004038131244815779,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-06T00:00:00.000000,33.32,-0.024018945619973753,-0.024018945619973753,,,,,,,48.40471365793664,-0.3570386970622721,-0.3935956344557395,0.03655693739346738,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-07T00:00:00.000000,32.94,-0.011470092549147992,-0.011470092549147992,,,,,,,45.18029019374613,-0.3443176483170376,-0.38374003722799915,0.03942238891096156,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-08T00:00:00.000000,33.86,0.027546651955494994,0.027546651955494994,,,,,,,53.29251241000989,-0.25703685345034444,-0.35839940047246827,0.10136254702212383,,,
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-11T00:00:00.000000,34.27,0.012035959181528444,0.012035959181528444,,,,,,,56.38973584372085,-0.15301871669210954,-0.3173232637163965,0.16430454702428698,33.317,34.93049701938939,31.703502980610608
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-12T00:00:00.000000,33.75,-0.015289918567978678,-0.015289918567978678,-0.7126157372491441,-0.7126157372491441,0.021456049549229965,,0.340604227350852,,51.70660567997626,-0.11126070394201548,-0.27611075176152033,0.16485004781950485,33.282500000000006,34.8227375073168,31.742262492683206
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-13T00:00:00.000000,33.24,-0.015226447331291304,-0.015226447331291304,-0.707506639144546,-0.707506639144546,0.021521278372315725,,0.3416397028160421,,47.53678401245244,-0.11796014461994986,-0.24448063033320627,0.12652048571325641,33.20550000000001,34.575040453082835,31.83595954691718
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-14T00:00:00.000000,32.78,-0.013935396671564071,-0.013935396671564071,-0.6597038678331675,-0.6597038678331675,0.02112371527748598,,0.3353285843397819,,44.0835917185818,-0.15855987569673857,-0.22729647940591274,0.06873660370917417,33.146,34.47859383001323,31.813406169986774
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-15T00:00:00.000000,31.73,-0.032555967720579115,-0.032555967720579115,-1.4666400821572365,-1.4666400821572365,0.022197653068838488,,0.3523768182566182,,37.40432301312107,-0.27232251542132957,-0.23630168660899614,-0.03602082881233343,33.032500000000006,34.44322396494216,31.62177603505785
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-18T00:00:00.000000,31.58,-0.00473859676760835,-0.00473859676760835,-0.21825316430647007,-0.21825316430647007,0.021711468801224043,,0.34465888227585884,,36.55229622024929,-0.3703152101865044,-0.2631043913244978,-0.10721081886200656,32.950500000000005,34.49923768632763,31.40176231367238
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-19T00:00:00.000000,31.0,-0.018536804342349722,-0.018536804342349722,-0.8453219785997609,-0.8453219785997609,0.021928690855826476,,0.348107175490398,,33.38556235197119,-0.48913780340495094,-0.3083110737405884,-0.18082672966436253,32.83200000000001,34.59363321351123,31.070366786488787
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-20T00:00:00.000000,29.6,-0.04621284315513163,-0.0383498053748661,-1.9695128409168199,-1.9695128409168199,0.02346409842832976,,0.3724810150782124,,27.248918747274843,-0.6883391194204904,-0.38431668287656884,-0.3040224365439216,32.68500000000001,34.963933268462085,30.40606673153793
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-21T00:00:00.000000,29.8,0.006734032181344052,0.006734032181344052,0.2855384335924547,0.2855384335924547,0.023583627943254214,,0.3743784873031461,,29.249644111122862,-0.8206097901515186,-0.4715753043315588,-0.34903448581995977,32.54800000000001,35.16760704164379,29.928392958356227
Vanguard Growth Index Fund - VIGAX US Equity US,2000-12-22T00:00:00.000000,30.83,0.03397984838670043,0.03397984838670043,1.3946395537690077,1.3946395537690077,0.024364609690632987,,0.38677618819541554,,38.612715982648105,-0.832723736847889,-0.5438049908348248,-0.2889187460130642,32.42450000000001,35.126432836439484,29.722567163560537
