series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-13T00:00:00.000000,10.42,,,,,,,,,,0.0,0.0,0.0,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-14T00:00:00.000000,10.37,-0.00481001408378523,-0.00481001408378523,,,,,,,,-0.0039886039886045666,-0.0007977207977209133,-0.0031908831908836533,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-15T00:00:00.000000,10.28,-0.00871676221441664,-0.007280323368125785,,,,,,,,-0.014247611626529988,-0.0034876989634827285,-0.01075991266304726,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-16T00:00:00.000000,10.22,-0.005853675251460633,-0.005853675251460633,,,,,,,,-0.026909254515201653,-0.008172010073826513,-0.018737244441375138,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-19T00:00:00.000000,10.27,0.0048804391649084344,0.0048804391649084344,,,,,,,,-0.032534082937774045,-0.01304442464661602,-0.019489658291158025,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-20T00:00:00.000000,10.24,-0.0029254043291051524,-0.0029254043291051524,,,,,,,,-0.03896340340631177,-0.01822822039855517,-0.020735183007756598,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-21T00:00:00.000000,10.2,-0.003913899321136505,-0.003913899321136505,,,,,,,,-0.046747476099254115,-0.023932071538694963,-0.022815404560559152,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-22T00:00:00.000000,10.2,0.0,0.0,,,,,,,,-0.05231337378062584,-0.02960833198708114,-0.022705041793544697,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-23T00:00:00.000000,10.18,-0.0019627091678486863,-0.0019627091678486863,,,,,,,,-0.057673397618961175,-0.03522134511345715,-0.022452052505504028,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-26T00:00:00.000000,10.17,-0.0009828010619079564,-0.0009828010619079564,,,,,,,,-0.06201332059635867,-0.040579740210037456,-0.021433580386321212,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-27T00:00:00.000000,10.19,0.0019646371741646185,0.0019646371741646185,,,,,,,,-0.06311139904763508,-0.04508607197755698,-0.018025327070078097,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-28T00:00:00.000000,10.19,0.0,0.0,,,,,,,,-0.06325249869980176,-0.048719357322005934,-0.014533141377795829,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-29T00:00:00.000000,10.25,0.005870858349783958,0.005870858349783958,,,,,,,,-0.05785589587799933,-0.05054666503320462,-0.007309230844794713,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-11-30T00:00:00.000000,10.26,0.00097513415820627,0.00097513415820627,,,,,,,41.62447623493666,-0.05217074100760577,-0.05087148022808485,-0.0012992607795209166,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-03T00:00:00.000000,10.26,0.0,0.0,,,,,,,41.62447623493666,-0.047122021482282506,-0.05012158847892439,0.0029995669966418823,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-04T00:00:00.000000,10.29,0.002919710103334694,0.002919710103334694,,,,,,,48.56134422777123,-0.0402363065096516,-0.04814453208506984,0.007908225575418239,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-05T00:00:00.000000,10.19,-0.009765702611324922,-0.007280323368125785,,,,,,,34.04049689561661,-0.04236019014636838,-0.04698766369732955,0.004627473550961166,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-06T00:00:00.000000,10.15,-0.003933141746836899,-0.003933141746836899,,,,,,,30.156119724898872,-0.04673234752389632,-0.046936600462642905,0.00020425293874658246,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-07T00:00:00.000000,10.09,-0.005928871122278689,-0.005928871122278689,,,,,,,25.4625494026954,-0.05441158937211377,-0.04843159824453708,-0.005979991127576689,,,
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-10T00:00:00.000000,10.1,0.0009905894816961691,0.0009905894816961691,,,,,,,27.488224742290043,-0.05901029350536646,-0.05054733729670296,-0.008462956208663504,10.225999999999999,10.385657528215434,10.066342471784564
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-11T00:00:00.000000,10.12,0.0019782400121055588,0.0019782400121055588,0.4663348363251497,0.4663348363251497,0.004242102150666352,,0.06734128396077252,,31.497940735294222,-0.0603453432564276,-0.05250693848864789,-0.007838404767779708,10.211,10.348787021006443,10.073212978993558
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-12T00:00:00.000000,10.16,0.003944778291016693,0.003944778291016693,0.9112229115368297,0.9112229115368297,0.004329103494954487,,0.06872238748506082,,38.788378968085475,-0.05751274299578846,-0.053508099390076,-0.004004643605712455,10.2005,10.317744683416963,10.083255316583037
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-13T00:00:00.000000,10.12,-0.003944778291016693,-0.003944778291016693,-0.9857323813884963,-0.9857323813884963,0.0040018755247343135,,0.06352780449769864,,34.799855665630474,-0.05782893660360067,-0.05437226683278094,-0.00345666977081973,10.192499999999999,10.308734789610858,10.07626521038914
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-14T00:00:00.000000,10.08,-0.003960401216096976,-0.003960401216096976,-1.0163581490192268,-1.0163581490192268,0.003896659086089598,,0.06185754531475982,,31.330401550783407,-0.06060853060853866,-0.05561951958793248,-0.004989011020606178,10.185500000000001,10.311235729544352,10.05976427045565
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-17T00:00:00.000000,10.07,-0.0009925559127514916,-0.0009925559127514916,-0.2704897559132876,-0.2704897559132876,0.0036694769064366368,,0.05825114001675582,,30.51142606198121,-0.06289330049151509,-0.057074275768649006,-0.0058190247228660855,10.1755,10.304704040999585,10.046295959000414
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-18T00:00:00.000000,10.09,0.0019841276350467396,0.0019841276350467396,0.536710021984835,0.536710021984835,0.003696833585684007,,0.05868541383666644,,34.215205725105335,-0.062371188001064226,-0.05813365821513205,-0.004237529785932177,10.168,10.298843417870556,10.037156582129443
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-19T00:00:00.000000,10.13,0.003956483895074303,0.003956483895074303,1.0524468713375832,1.0524468713375832,0.0037593193564687028,,0.059677344696525386,,40.98966313164874,-0.05806045954842176,-0.05811901848179,0.00005855893336823709,10.1645,10.295484129211303,10.033515870788698
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-20T00:00:00.000000,10.13,0.0,0.0,0.0,0.0,0.0037593193564687028,,0.059677344696525386,,40.98966313164874,-0.05402145053796481,-0.05729950489302497,0.0032780543550601574,10.161,10.291730739750898,10.030269260249101
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-21T00:00:00.000000,10.12,-0.0009876544012725752,-0.0009876544012725752,-0.26383069334692405,-0.26383069334692405,0.003743515922060893,,0.05942647295270267,,39.801282838877306,-0.051039076520789095,-0.056047419218577796,0.005008342697788701,10.158,10.289645456875204,10.026354543124794
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-24T00:00:00.000000,10.1,-0.0019782400121055588,-0.0019782400121055588,-0.5261673599163095,-0.5261673599163095,0.0037597163237571623,,0.059683646356868736,,37.46197974208699,-0.049716258398836644,-0.054781187054629574,0.00506492865579293,10.1545,10.288503142147226,10.020496857852775
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-25T00:00:00.000000,10.1,0.0,0.0,0.0,0.0,0.003721658853289707,,0.059079502742558306,,37.46197974208699,-0.048113295387063104,-0.053447608721116285,0.005334313334053181,10.15,10.285024364273221,10.01497563572678
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-26T00:00:00.000000,10.08,-0.001982161203991417,-0.001982161203991417,-0.5306151154370842,-0.5306151154370842,0.003735591290795871,,0.05930067333134785,,35.07135537196439,-0.047904554618442674,-0.052338997900581566,0.004434443282138892,10.1445,10.281609253402051,10.00739074659795
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-27T00:00:00.000000,10.11,0.002971770389157413,0.002971770389157413,0.8433251930932372,0.8433251930932372,0.0035238724201481996,,0.05593974045378871,,41.139051414372844,-0.04480192803768723,-0.0508315839280027,0.006029655890315469,10.1375,10.265952325787438,10.00904767421256
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-28T00:00:00.000000,10.1,-0.000989609185165996,-0.000989609185165996,-0.2825517728727096,-0.2825517728727096,0.003502399489851433,,0.0555988682528783,,39.803763121193846,-0.04265825276173807,-0.04919691769474978,0.006538664933011709,10.1295,10.24511733616209,10.01388266383791
Vanguard Total Bond Market Ind - VBTLX US Equity US,2001-12-31T00:00:00.000000,10.14,0.0039525743158232984,0.0039525743158232984,1.080773140413404,1.080773140413404,0.0036571729700012796,,0.05805582108102521,,47.18788718702143,-0.03730171796990511,-0.04681787774978085,0.009516159779875737,10.123500000000002,10.221753163870636,10.025246836129368
Vanguard Total Bond Market Ind - VBTLX US Equity US,2002-01-02T00:00:00.000000,10.1,-0.0039525743158232984,-0.0039525743158232984,-1.0879645950541244,-1.0879645950541244,0.0036329990275342228,,0.05767207164117032,,41.68160169602116,-0.03587079506496771,-0.04462846121281822,0.008757666147850514,10.114,10.173612785630276,10.054387214369726
Vanguard Total Bond Market Ind - VBTLX US Equity US,2002-01-03T00:00:00.000000,10.12,0.0019782400121055588,0.0019782400121055588,0.6531210405747756,0.6531210405747756,0.003028902591110247,,0.048082338009101236,,45.12925612323108,-0.03274547603614053,-0.04225186417748269,0.009506388141342158,10.110500000000002,10.158392423310493,10.06260757668951
Vanguard Total Bond Market Ind - VBTLX US Equity US,2002-01-04T00:00:00.000000,10.12,0.0,0.0,0.0,0.0,0.0029089595694003468,,0.04617830156744913,,45.12925612323108,-0.029923696443344028,-0.03978623063065496,0.00986253418731093,10.109000000000002,10.153438011230229,10.064561988769775
