series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-14T00:00:00.000000,31.01,,,,,,,,,,0.0,0.0,0.0,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-15T00:00:00.000000,31.2,0.006108361703078824,0.006108361703078824,,,,,,,,0.015156695156694155,0.0030313390313388314,0.012125356125355324,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-16T00:00:00.000000,30.7,-0.01615544022228521,-0.01615544022228521,,,,,,,,-0.013027166987278349,-0.00018036217238460474,-0.012846804814893744,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-17T00:00:00.000000,30.56,-0.004570690294831703,-0.004570690294831703,,,,,,,,-0.04612817388655088,-0.00936992451521786,-0.03675824937133303,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-20T00:00:00.000000,29.84,-0.02384218896275936,-0.02384218896275936,,,,,,,,-0.12897223144140568,-0.033290385900455424,-0.09568184554095026,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-21T00:00:00.000000,29.85,0.0003350645030506527,0.0003350645030506527,,,,,,,,-0.1916110545235128,-0.0649545196250669,-0.1266565348984459,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-22T00:00:00.000000,29.24,-0.020647204957033427,-0.020647204957033427,,,,,,,,-0.2871644224137846,-0.10939650018281044,-0.17776792223097415,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-23T00:00:00.000000,29.24,0.0,0.0,,,,,,,,-0.3587556431550105,-0.15926832877725047,-0.19948731437776004,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-24T00:00:00.000000,29.83,0.019976963645079504,0.019976963645079504,,,,,,,,-0.3636917204519179,-0.20015300711218398,-0.1635387133397339,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-27T00:00:00.000000,29.93,0.003346723337950497,0.003346723337950497,,,,,,,,-0.3554371745112981,-0.23120984059200683,-0.12422733391929125,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-28T00:00:00.000000,29.46,-0.015827910830123137,-0.015827910830123137,,,,,,,,-0.3824122490648172,-0.2614503222865689,-0.1209619267782483,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-29T00:00:00.000000,29.51,0.0016957779203639056,0.0016957779203639056,,,,,,,,-0.39519998839802994,-0.28820025550886114,-0.10699973288916881,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-11-30T00:00:00.000000,28.93,-0.019850069966804718,-0.019850069966804718,,,,,,,,-0.44698297518732133,-0.3199567994445532,-0.12702617574276814,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-01T00:00:00.000000,29.08,0.005171533677275075,0.005171533677275075,,,,,,,28.151536395467474,-0.47049405628791163,-0.3500642508132249,-0.12042980547468674,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-04T00:00:00.000000,29.19,0.003775532200704923,0.003775532200704923,,,,,,,31.177899287218395,-0.47477773457141836,-0.37500694756486364,-0.09977078700655473,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-05T00:00:00.000000,30.48,0.043244545952422,0.033444173587552584,,,,,,,55.07600924974943,-0.3698173373910123,-0.3739690255300934,0.004151688139081122,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-06T00:00:00.000000,29.95,-0.01754140625698719,-0.01754140625698719,,,,,,,47.74103925317499,-0.3256481676640206,-0.36430485395687884,0.03865668629285823,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-07T00:00:00.000000,29.79,-0.005356557836267317,-0.005356557836267317,,,,,,,45.759748105779906,-0.30009513534043464,-0.35146291023359,0.05136777489315536,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-08T00:00:00.000000,30.59,0.02650039143762095,0.02650039143762095,,,,,,,55.66672094934759,-0.2128374019206376,-0.32373780857099954,0.11090040665036194,,,
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-11T00:00:00.000000,30.96,0.012022890558714305,0.012022890558714305,,,,,,,59.36356629057921,-0.11253191389178596,-0.28149662963515687,0.1689647157433709,29.967000000000002,31.359069266274155,28.57493073372585
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-12T00:00:00.000000,30.65,-0.010063386339306035,-0.010063386339306035,-0.5882510991896831,-0.5882510991896831,0.017107297127312415,,0.27156992282014997,,55.20962033991397,-0.05739192282768002,-0.23667568827366153,0.1792837654459815,29.949,31.292755930219318,28.605244069780685
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-13T00:00:00.000000,30.32,-0.01082510160804917,-0.01082510160804917,-0.6301890990296681,-0.6301890990296681,0.017177545001519526,,0.27268507325184776,,51.10965018104264,-0.039861822446084716,-0.1973129151081462,0.15745109266206148,29.905,31.128532418429238,28.681467581570764
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-14T00:00:00.000000,29.8,-0.017299167262812443,-0.017299167262812443,-1.003958004519234,-1.003958004519234,0.01723096701748646,,0.2735331214645531,,45.38964048313274,-0.06715462901382097,-0.17128125788928117,0.1041266288754602,29.859999999999996,31.025233204579095,28.694766795420897
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-15T00:00:00.000000,29.23,-0.019312814388204202,-0.019312814388204202,-1.0923983010717189,-1.0923983010717189,0.017679279040673155,,0.2806498542032264,,40.0928048965527,-0.13324267257528177,-0.1636735408264813,0.030430868251199533,29.7935,30.94221598798496,28.644784012015045
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-18T00:00:00.000000,29.44,0.007158714737521166,0.007158714737521166,0.42032582440550403,0.42032582440550403,0.017031346450450034,,0.27036424320284064,,42.74381439795757,-0.16675048251573799,-0.16428892916433266,-0.0024615533514053267,29.773500000000002,30.932688009817547,28.614311990182458
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-19T00:00:00.000000,28.98,-0.015748356968139365,-0.015748356968139365,-0.9072818378733082,-0.9072818378733082,0.017357734179991872,,0.2755454877829449,,38.70357920087958,-0.22779790645751774,-0.1769907246229697,-0.05080718183454805,29.73,30.941228171820057,28.518771828179943
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-20T00:00:00.000000,27.8,-0.041569916195944856,-0.03501902629958131,-2.174692685548401,-2.174692685548401,0.01911530602562449,,0.3034460758721812,,30.68981584356746,-0.3671621513525558,-0.21502500996888693,-0.15213714138366888,29.657999999999998,31.13410582989629,28.181894170103707
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-21T00:00:00.000000,27.95,0.005381178904516837,0.005381178904516837,0.2804093178662376,0.2804093178662376,0.019190442548288632,,0.3046388311922661,,32.60027366038325,-0.4602006662833986,-0.2640601412317893,-0.19614052505160934,29.5935,31.24841643929652,27.938583560703478
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-22T00:00:00.000000,28.79,0.02961090502297603,0.02961090502297603,1.4890192186103017,1.4890192186103017,0.019886180549510853,,0.315683329565613,,42.207245252363165,-0.46084109061629874,-0.3034163311086912,-0.15742475950760754,29.541499999999996,31.230140374914477,27.852859625085514
Vanguard Total Stock Market In - VTSAX US Equity US,2000-12-26T00:00:00.000000,28.97,0.006232707157174833,0.006232707157174833,0.31264041868577264,0.31264041868577264,0.019935704997373283,,0.31646950580278366,,44.04769620726897,-0.441732122892887,-0.3310794894655304,-0.1106526334273566,29.4935,31.190199892826342,27.79680010717366
