series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-13T00:00:00.000000,974073600000000.0,,,,,,,,,,0.0,0.0,0.0,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-14T00:00:00.000000,974160000000000.0,0.00008869572936021086,0.00008869572936021086,,,,,,,,6892307692.375,1378461538.4750001,5513846153.9,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-15T00:00:00.000000,974246400000000.0,0.00008868786312632437,0.00008868786312632437,,,,,,,,19106026736.875,4923974578.155001,14182052158.72,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-16T00:00:00.000000,974332800000000.0,0.00008867999828510165,0.00008867999828510165,,,,,,,,35349755028.25,11009130668.174002,24340624360.075996,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-17T00:00:00.000000,974419200000000.0,0.00008867213483654268,0.00008867213483654268,,,,,,,,54565784259.125,19720461386.364204,34845322872.760796,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-20T00:00:00.000000,974678400000000.0,0.00026596923779464987,0.00026596923779464987,,,,,,,,89676168593.75,33711602827.841362,55964565765.90864,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-21T00:00:00.000000,974764800000000.0,0.00008864069500447158,0.00008864069500447158,,,,,,,,123054661521.5,51580214566.57309,71474446954.92691,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-22T00:00:00.000000,974851200000000.0,0.00008863283851923143,0.00008863283851923143,,,,,,,,154695877786.5,72203347210.55847,82492530575.94153,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-23T00:00:00.000000,974937600000000.0,0.00008862498344086589,0.00008862498344086589,,,,,,,,184615396196.0,94685757007.64679,89929639188.35321,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-24T00:00:00.000000,975024000000000.0,0.00008861712974805869,0.00008861712974805869,,,,,,,,212845042856.5,118317614177.41743,94527428679.08257,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-27T00:00:00.000000,975283200000000.0,0.00026580428101397047,0.00026580428101397047,,,,,,,,253213625934.125,145296816528.75897,107916809405.36603,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-28T00:00:00.000000,975369600000000.0,0.0000885857289034675,0.0000885857289034675,,,,,,,,288848115514.0,174007076325.8072,114841039188.19281,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-29T00:00:00.000000,975456000000000.0,0.00008857788215976825,0.00008857788215976825,,,,,,,,320367466432.625,203279154347.17075,117088312085.45425,,,
Vanguard Value Index Fund - VVIAX US Equity US,2000-11-30T00:00:00.000000,975542400000000.0,0.0000885700368158382,0.0000885700368158382,,,,,,,,348303510982.125,232284025674.16162,116019485307.96338,,,
