series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
Verizon Communications Inc - VZ US Equity Equity,2000-01-04T00:00:00.000000,51.988,4501900.0,,,,,,,,,,0.0,0.0,0.0,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-05T00:00:00.000000,53.7247,5727500.0,0.03285993580108704,0.03285993580108704,,,,,,,,0.13854017094016768,0.02770803418803354,0.11083213675213414,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-06T00:00:00.000000,53.1084,4232000.0,-0.011537750693189519,-0.011537750693189519,,,,,,,,0.1963407017800094,0.06143456770642872,0.13490613407358068,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-07T00:00:00.000000,52.7163,4536100.0,-0.007410402189948151,-0.007410402189948151,,,,,,,,0.20810988461145286,0.09076963108743355,0.1173402535240193,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-10T00:00:00.000000,52.4362,4036200.0,-0.005327513135533923,-0.005327513135533923,,,,,,,,0.19261497219038404,0.11113869930802364,0.0814762728823604,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-11T00:00:00.000000,51.9425,3328800.0,-0.009459854964953163,-0.009459854964953163,,,,,,,,0.13889656533979178,0.11669027251437727,0.022206292825414503,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-12T00:00:00.000000,50.1953,3856500.0,-0.0342159407202689,-0.0342159407202689,,,,,,,,-0.044151150173803444,0.08452198797674114,-0.1286731381505446,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-13T00:00:00.000000,49.8032,3402900.0,-0.007842157822210094,-0.007842157822210094,,,,,,,,-0.21834008796738402,0.023949572787916103,-0.24228966075530012,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-14T00:00:00.000000,50.4754,2860400.0,0.013406849888381256,0.013406849888381256,,,,,,,,-0.29870190432453825,-0.04058072263457477,-0.25812118168996345,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-18T00:00:00.000000,52.6603,4372400.0,0.042375762092890845,0.04057436009311699,,,,,,,,-0.18396541395679122,-0.06925766089901805,-0.11470775305777317,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-19T00:00:00.000000,51.6519,2664300.0,-0.01933487002652079,-0.01933487002652079,,,,,,,,-0.17241784556090067,-0.08988969783139458,-0.08252814772950609,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-20T00:00:00.000000,52.8843,2477200.0,0.023579527475967144,0.023579527475967144,,,,,,,,-0.06309461852068665,-0.08453068196925301,0.021436063448566356,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-21T00:00:00.000000,53.8367,5132100.0,0.017848882313785452,0.017848882313785452,,,,,,,,0.09925143820336757,-0.0477742579347289,0.14702569613809646,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-24T00:00:00.000000,53.8927,3515000.0,0.001039642011261499,0.001039642011261499,,,,,,,61.761256929449104,0.22978180813584004,0.007736955279384894,0.22204485285645514,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-25T00:00:00.000000,52.4362,3975400.0,-0.02739784024833325,-0.02739784024833325,,,,,,,51.398908942142285,0.21324256169393152,0.04883807656229422,0.1644044851316373,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-26T00:00:00.000000,51.7639,3646000.0,-0.012904197388724725,-0.012904197388724725,,,,,,,47.4421153349845,0.14422357873580438,0.06791517699699626,0.07630840173880812,,,
Verizon Communications Inc - VZ US Equity Equity,2000-01-27T00:00:00.000000,52.2121,2810500.0,0.008621273680197383,0.008621273680197383,,,,,,,50.19480688571022,0.12425914959498385,0.07918397151659379,0.045075178078390066,,,
