series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
WBD 5.05 03_15_42 - 55903VBW2 Corp Corp,2025-06-26T00:00:00.000000,1750896000000000.0,,,,,,,,,,0.0,0.0,0.0,,,
WBD 5.05 03_15_42 - 55903VBW2 Corp Corp,2025-06-27T00:00:00.000000,1750982400000000.0,0.000049344945857399125,0.000049344945857399125,,,,,,,,6892307692.25,1378461538.45,5513846153.8,,,
WBD 5.05 03_15_42 - 55903VBW2 Corp Corp,2025-06-30T00:00:00.000000,1751241600000000.0,0.00014802022970172857,0.00014802022970172857,,,,,,,,32890642121.5,7680897655.06,25209744466.44,,,
WBD 5.05 03_15_42 - 55903VBW2 Corp Corp,2025-07-01T00:00:00.000000,1751328000000000.0,0.000049335208082368354,0.000049335208082368354,,,,,,,,59777193117.25,18100156747.498,41677036369.752,,,
WBD 5.05 03_15_42 - 55903VBW2 Corp Corp,2025-07-02T00:00:00.000000,1751414400000000.0,0.00004933277423901927,0.00004933277423901927,,,,,,,,87053240842.0,31890773566.398403,55162467275.60159,,,
WBD 5.05 03_15_42 - 55903VBW2 Corp Corp,2025-07-03T00:00:00.000000,1751500800000000.0,0.000049330340630149294,0.000049330340630149294,,,,,,,,114323611670.75,48377341187.26872,65946270483.48128,,,
WBD 5.05 03_15_42 - 55903VBW2 Corp Corp,2025-07-07T00:00:00.000000,1751846400000000.0,0.00019729703132043142,0.00019674388927626296,,,,,,,,161955684409.5,71093009831.71498,90862674577.78502,,,
WBD 5.05 03_15_42 - 55903VBW2 Corp Corp,2025-07-08T00:00:00.000000,1751932800000000.0,0.00004931817622377821,0.00004931817622377821,,,,,,,,204320918784.0,97738591622.172,106582327161.828,,,
WBD 5.05 03_15_42 - 55903VBW2 Corp Corp,2025-07-09T00:00:00.000000,1752019200000000.0,0.00004931574406441541,0.00004931574406441541,,,,,,,,242076918151.25,126606256927.9876,115470661223.2624,,,
WBD 5.05 03_15_42 - 55903VBW2 Corp Corp,2025-07-10T00:00:00.000000,1752105600000000.0,0.00004931331213953172,0.00004931331213953172,,,,,,,,275791425710.75,156443290684.54007,119348135026.20993,,,
