series,date,adj_close,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
YoY % NSA - CPI YOY Index Index,1985-02-28T00:00:00.000000,3.5,,,,,,,,,,0.0,0.0,0.0,,,
YoY % NSA - CPI YOY Index Index,1985-03-31T00:00:00.000000,3.7,0.055569851154810834,0.055569851154810834,,,,,,,,0.015954415954416046,0.0031908831908832092,0.012763532763532837,,,
YoY % NSA - CPI YOY Index Index,1985-04-30T00:00:00.000000,3.7,0.0,0.0,,,,,,,,0.028272497788167428,0.008207206110340053,0.020065291677827377,,,
YoY % NSA - CPI YOY Index Index,1985-05-31T00:00:00.000000,3.8,0.02666824708216109,0.02666824708216109,,,,,,,,0.04557843087400526,0.015681451063073094,0.029896979810932166,,,
YoY % NSA - CPI YOY Index Index,1985-06-30T00:00:00.000000,3.8,0.0,0.0,,,,,,,,0.0586177980395588,0.024268720458370238,0.03434907758118856,,,
YoY % NSA - CPI YOY Index Index,1985-07-31T00:00:00.000000,3.6,-0.054067221270275745,-0.054067221270275745,,,,,,,,0.05221140139673519,0.02985725664604323,0.02235414475069196,,,
YoY % NSA - CPI YOY Index Index,1985-08-31T00:00:00.000000,3.3,-0.08701137698962969,-0.08701137698962969,,,,,,,,0.02266551911079917,0.02841890913899442,-0.005753390028195249,,,
YoY % NSA - CPI YOY Index Index,1985-09-30T00:00:00.000000,3.1,-0.06252035698133396,-0.06252035698133396,,,,,,,,-0.016695676630156253,0.019395991985164285,-0.03609166861532054,,,
YoY % NSA - CPI YOY Index Index,1985-10-31T00:00:00.000000,3.2,0.03174869831458027,0.03174869831458027,,,,,,,,-0.03936674820349584,0.007643443947432261,-0.047010192150928096,,,
YoY % NSA - CPI YOY Index Index,1985-11-30T00:00:00.000000,3.5,0.0896121586896872,0.0896121586896872,,,,,,,,-0.03274873592387895,-0.0004349920268299813,-0.03231374389704897,,,
YoY % NSA - CPI YOY Index Index,1985-12-31T00:00:00.000000,3.8,0.08223809823697192,0.08223809823697192,,,,,,,,-0.0032588546686360687,-0.0009997645551911988,-0.00225909011344487,,,
YoY % NSA - CPI YOY Index Index,1986-01-31T00:00:00.000000,3.9,0.02597548640326064,0.02597548640326064,,,,,,,,0.027860099074572986,0.004772208170761638,0.02308789090381135,,,
YoY % NSA - CPI YOY Index Index,1986-02-28T00:00:00.000000,3.1,-0.22957444164450003,-0.22957444164450003,,,,,,,,-0.011894112084731567,0.0014389441196629976,-0.013333056204394565,,,
YoY % NSA - CPI YOY Index Index,1986-03-31T00:00:00.000000,2.3,-0.2984929885559967,-0.2984929885559967,,,,,,,27.629137307674497,-0.10672269220003017,-0.020193383144275635,-0.08652930905575454,,,
YoY % NSA - CPI YOY Index Index,1986-04-30T00:00:00.000000,1.6,-0.36290549368936825,-0.36290549368936825,,,,,,,21.61359833734282,-0.2356428311256913,-0.06328327274055877,-0.1723595583851325,,,
