series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-11T00:00:00.000000,101.12,43500.0,,,,,,,,,,0.0,0.0,0.0,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-12T00:00:00.000000,101.32,86500.0,0.001975894734926875,0.001975894734926875,,,,,,,,0.01595441595441116,0.003190883190882232,0.012763532763528929,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-13T00:00:00.000000,100.93,15600.0,-0.0038566178827057485,-0.0038566178827057485,,,,,,,,-0.002838613322950323,0.001984983888115721,-0.004823597211066044,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-14T00:00:00.000000,101.01,49500.0,0.0007923145903241391,0.0007923145903241391,,,,,,,,-0.011148381408361274,-0.0006416891711796778,-0.010506692237181597,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-17T00:00:00.000000,100.84,27300.0,-0.001684419521373215,-0.001684419521373215,,,,,,,,-0.031093089949266073,-0.0067319693267969575,-0.024361120622469114,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-18T00:00:00.000000,100.77,134000.0,-0.0006944100274086651,-0.0006944100274086651,,,,,,,,-0.0519489944761915,-0.015775374356675868,-0.03617362011951564,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-19T00:00:00.000000,100.65,30200.0,-0.0011915402065101333,-0.0011915402065101333,,,,,,,,-0.0772697288551285,-0.028074245256366398,-0.04919548359876211,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-20T00:00:00.000000,99.71,30200.0,-0.009383179245099349,-0.009383179245099349,,,,,,,,-0.17121309933598639,-0.056702016072290404,-0.11451108326369598,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-21T00:00:00.000000,100.04,37000.0,0.003304133168716916,0.003304133168716916,,,,,,,,-0.21653952236985674,-0.08866951733180367,-0.12787000503805307,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-24T00:00:00.000000,99.99,28700.0,-0.0004999250216606299,-0.0004999250216606299,,,,,,,,-0.25357259429246426,-0.1216501327239358,-0.13192246156852847,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-25T00:00:00.000000,100.18,47700.0,0.0018983869417130705,0.0018983869417130705,,,,,,,,-0.2645406980005731,-0.15022824577926328,-0.11431245222130984,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-26T00:00:00.000000,100.2,47000.0,0.00019962072129331432,0.00019962072129331432,,,,,,,,-0.2685237912419609,-0.17388735487180282,-0.09463643637015809,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-27T00:00:00.000000,100.48,47600.0,0.002790514069124228,0.002790514069124228,,,,,,,,-0.24624816581865616,-0.1883595170611735,-0.057888648757482675,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-09-28T00:00:00.000000,100.71,43200.0,0.0022863969401649697,0.0022863969401649697,,,,,,,49.94475169728654,-0.2076419274862218,-0.19221599914618315,-0.015425928340038642,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-10-01T00:00:00.000000,100.6,36200.0,-0.0010928419944145062,-0.0010928419944145062,,,,,,,47.1744532683111,-0.18380351366467096,-0.19053350204988073,0.006729988385209773,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-10-02T00:00:00.000000,100.85,15600.0,0.0024820067345823205,0.0024820067345823205,,,,,,,53.48877212820054,-0.1430890468396484,-0.18104461100783428,0.03795556416818588,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-10-03T00:00:00.000000,100.79,38200.0,-0.0005951200334344264,-0.0005951200334344264,,,,,,,51.885796492117436,-0.11434592842300617,-0.16770487449086868,0.05335894606786251,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-10-04T00:00:00.000000,100.96,79400.0,0.0016852544261158897,0.0016852544261158897,,,,,,,55.91685598894894,-0.07696205013732538,-0.14955630962016003,0.07259425948283466,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-10-05T00:00:00.000000,100.51,50800.0,-0.004467173756253828,-0.004467173756253828,,,,,,,45.1367211959977,-0.0826930623051112,-0.13618366015715028,0.05349059785203908,,,
iShares National Muni Bond ETF - MUB US Equity Equity,2007-10-08T00:00:00.000000,100.76,14800.0,0.0024842264477609177,0.0024842264477609177,,,,,,,50.8104254159688,-0.06629778052996471,-0.12220648423171317,0.055908703701748455,100.621,101.44798946725298,99.79401053274701
iShares National Muni Bond ETF - MUB US Equity Equity,2007-10-09T00:00:00.000000,100.5,23200.0,-0.002583723985279285,-0.002583723985279285,-0.8360168819114506,-0.8360168819114506,0.0030905165208768453,,0.049060428821860146,,45.53618852879619,-0.07343768477414869,-0.11245272434020029,0.039015039566051596,100.58999999999999,101.38405687188605,99.79594312811393
